airport_id,date,metar
KMIA,2014-01-01,KMIA 010053Z 04009G15KT 10SM OVC025 23/18 A3021 RMK AO2 SLP229 T02330183
KMIA,2014-01-01,KMIA 010153Z 04009G15KT 10SM OVC023 23/18 A3021 RMK AO2 SLP231 T02330183
KMIA,2014-01-01,KMIA 010253Z 05009G19KT 10SM -RA OVC025 23/18 A3023 RMK AO2 RAB44 SLP236 P0000 60000 T02280178 51013
KMIA,2014-01-01,KMIA 010353Z 07010KT 10SM OVC028 23/17 A3021 RMK AO2 RAE09 SLP229 P0000 T02330172
KMIA,2014-01-01,KMIA 010453Z 07010KT 10SM OVC028 24/18 A3019 RMK AO2 SLP223 T02390178 402500194
KMIA,2014-01-01,KMIA 010553Z 06009KT 8SM -RA OVC023 23/19 A3018 RMK AO2 RAB52 SLP220 P0000 60000 T02330189 10244 20228 56016
KMIA,2014-01-01,KMIA 010653Z 07010KT 10SM BKN023 OVC027 24/19 A3016 RMK AO2 RAE11 SLP214 P0000 T02390194
KMIA,2014-01-01,KMIA 010753Z 07008KT 10SM BKN023 OVC029 24/20 A3015 RMK AO2 RAB37E47 SLP209 P0000 T02390200
KMIA,2014-01-01,KMIA 010853Z 09010KT 9SM -RA BKN025 OVC040 24/21 A3014 RMK AO2 RAB04E19B53 SLP207 P0000 60000 T02390206 56013
KMIA,2014-01-01,KMIA 010953Z 09012KT 9SM FEW021 BKN029 OVC046 24/20 A3013 RMK AO2 RAE0854 SLP204 T02390200
KMIA,2014-01-01,KMIA 011053Z 09008KT 9SM SCT020 BKN029 OVC044 24/21 A3014 RMK AO2 SLP207 T02390206
KMIA,2014-01-01,KMIA 011153Z 09008KT 9SM BKN020 BKN040 24/21 A3015 RMK AO2 SLP211 60000 T02440206 10244 20228 53004
KMIA,2014-01-01,KMIA 011253Z 09009KT 10SM SCT018 BKN050 BKN250 24/21 A3018 RMK AO2 RAB13E33 SLP218 P0000 T02390211
KMIA,2014-01-01,KMIA 011353Z 09011KT 10SM FEW019 SCT060 SCT250 25/21 A3018 RMK AO2 SLP221 T02500211
KMIA,2014-01-01,KMIA 011453Z 10009KT 10SM SCT018 BKN035 BKN250 26/22 A3019 RMK AO2 RAB1355E05 SLP223 P0000 60000 T02610217 51013
KMIA,2014-01-01,KMIA 011553Z 09013KT 10SM BKN020 BKN060 BKN250 27/22 A3018 RMK AO2 RAB25E38 SLP219 P0008 T02670222
KMIA,2014-01-01,KMIA 011653Z 11010KT 10SM BKN021 27/22 A3016 RMK AO2 SLP212 T02720222
KMIA,2014-01-01,KMIA 011753Z 12012G17KT 10SM SCT022 BKN075 BKN250 27/21 A3012 RMK AO2 SLP201 TCU DSNT E 60008 T02720211 10278 20239 58023
KMIA,2014-01-01,KMIA 011853Z 14010G20KT 10SM SCT020 BKN250 28/22 A3009 RMK AO2 SLP189 T02780217
KMIA,2014-01-01,KMIA 011953Z 13013G18KT 10SM SCT023 BKN250 27/22 A3008 RMK AO2 SLP185 T02720217
KMIA,2014-01-01,KMIA 012053Z 13008KT 10SM SCT020 BKN250 27/21 A3008 RMK AO2 SLP185 T02670211 56015
KMIA,2014-01-01,KMIA 012153Z 13009KT 10SM SCT020 BKN250 26/21 A3008 RMK AO2 SLP185 T02610211
KMIA,2014-01-01,KMIA 012253Z 13008KT 10SM FEW020 SCT250 25/21 A3007 RMK AO2 SLP183 T02500211
KMIA,2014-01-01,KMIA 012353Z 11006KT 10SM FEW020 SCT250 25/22 A3008 RMK AO2 SLP187 T02500217 10278 20250 53001
