,Year,Month,Day,price,n_author,n_channels,n_activities,n_words_ave,Sentiment_value
0,2019,8,20,0.0203223737888215,3,1,3,3.0,0.0
1,2019,8,21,0.0175253799167993,2,1,2,3.0,0.0
2,2019,8,22,0.0174807347843656,13,1,16,3.125,0.01953125
3,2019,8,23,0.0208074196620814,1,1,1,3.0,0.0
4,2019,8,24,0.020373953831077,1,1,1,3.0,0.0
5,2019,8,25,0.0196675352507065,1,1,1,3.0,0.0
6,2019,8,26,0.0190695286932346,4,1,4,3.0,0.0
7,2019,8,27,0.0188243067573705,1,1,1,3.0,0.0
8,2019,8,28,0.018278889495851,5,1,5,3.0,0.0
9,2019,8,29,0.0172497808402372,2,1,2,3.0,0.0
10,2019,8,30,0.0173284678583964,2,1,2,3.0,0.0
11,2019,9,2,0.0174690594399683,1,1,1,3.0,0.0
12,2019,9,3,0.0205069322632604,2,1,2,3.0,0.0
13,2019,9,4,0.0203362322583685,1,1,1,3.0,0.0
14,2019,9,6,0.0190933099721039,1,1,1,3.0,0.0
15,2019,9,7,0.0177295826755135,2,1,2,3.0,0.0
16,2019,9,9,0.0184272877667339,2,1,2,3.0,0.0
17,2019,9,10,0.0197291808273792,1,1,1,3.0,0.0
18,2019,9,11,0.0229660555197312,1,1,1,3.0,0.0
19,2019,9,13,0.0324095148126166,5,1,5,3.0,0.0
20,2019,9,14,0.0340871763900011,2,1,2,3.0,0.0
21,2019,9,15,0.0291550907554334,1,1,1,3.0,0.0
22,2019,9,17,0.0314012588985903,2,1,2,3.0,0.0
23,2019,9,18,0.0369092528765569,1,1,1,3.0,0.0
24,2019,9,19,0.0321747533876618,1,1,1,3.0,0.0
25,2019,9,23,0.0343650199748322,1,1,1,3.0,0.0
26,2019,9,26,0.0310353720939577,2,1,2,3.0,0.0
27,2019,9,27,0.0297304044362632,1,1,1,2.0,0.0
28,2019,9,28,0.032643123804526,1,1,1,4.0,0.0
29,2019,9,29,0.0335549656522081,2,1,2,3.0,0.0
30,2019,9,30,0.0338968181599793,2,1,2,3.0,0.0
31,2019,10,1,0.0375210963231739,1,1,1,3.0,0.0
32,2019,10,3,0.0364083728415449,1,1,5,6.2,0.02
33,2019,10,4,0.0361880604000436,2,1,4,5.25,0.125
34,2019,10,5,0.036047511933489,2,1,2,3.0,0.0
35,2019,10,6,0.0373711377845732,1,1,1,3.0,0.0
36,2019,10,7,0.0342922870180352,2,1,2,8.0,0.2125
37,2019,10,8,0.0339235017991081,1,1,1,3.0,0.0
38,2019,10,9,0.0318766079863759,2,1,2,3.0,0.0
39,2019,10,12,0.0285650641954407,1,1,1,3.0,0.0
40,2019,10,13,0.0311591085372749,1,1,1,3.0,0.0
41,2019,10,14,0.0295208486862468,2,1,2,3.0,0.0
42,2019,10,15,0.0287825391516966,1,1,1,3.0,0.0
43,2019,10,17,0.0268941073965485,1,1,1,3.0,0.0
44,2019,10,18,0.0253184776339341,2,1,2,3.0,0.0
45,2019,10,20,0.0231420201539664,2,1,2,3.0,0.0
46,2019,10,21,0.0230278452925157,2,1,2,3.0,0.0
47,2019,10,22,0.0258523496312451,1,1,1,3.0,0.0
48,2019,10,24,0.0236340097817384,1,1,1,3.0,0.0
49,2019,10,25,0.0212663920328196,2,1,2,3.0,0.0
50,2019,10,26,0.0241234216713671,1,1,1,3.0,0.0
51,2019,10,27,0.0237966330050336,1,1,1,3.0,0.0
52,2019,10,29,0.0212801345391076,1,1,1,3.0,0.0
53,2019,10,30,0.0280540577934499,1,1,1,3.0,0.0
54,2019,10,31,0.0325713410568152,1,1,1,3.0,0.0
55,2019,11,2,0.0340016295276792,1,1,1,3.0,0.0
56,2019,11,3,0.034185895174019,3,1,3,3.0,0.0
57,2019,11,6,0.0401975381586032,1,1,1,3.0,0.0
58,2019,11,7,0.0386227074816849,1,1,1,3.0,0.0
59,2019,11,8,0.0367574797264325,3,1,3,3.0,0.0
60,2019,11,9,0.0345588551541951,2,1,2,3.0,0.0
61,2019,11,10,0.0362374236991211,1,1,1,3.0,0.0
62,2019,11,11,0.0358766770469093,1,1,1,3.0,0.0
63,2019,11,12,0.0329998650398579,2,1,2,3.0,0.0
64,2019,11,13,0.0314832949190071,4,1,5,8.2,0.0
65,2019,11,14,0.0313963735020061,1,1,1,3.0,0.0
66,2019,11,15,0.0299142179695441,4,1,4,3.0,0.0
67,2019,11,16,0.030478995897974,1,1,2,15.5,0.0
68,2019,11,17,0.0286476109782665,2,1,3,2.6666666666666665,0.0
69,2019,11,18,0.0276354483070961,5,1,8,5.0,0.020833333333333325
70,2019,11,19,0.0263972625908037,1,1,1,3.0,0.0
71,2019,11,23,0.0238361273820425,2,1,2,3.0,0.0
72,2019,11,24,0.0207281846121731,2,1,3,5.0,0.0
73,2019,11,25,0.0199962535437271,4,1,4,3.0,0.0
74,2019,11,27,0.0191296224466625,1,1,1,3.0,0.0
75,2019,11,28,0.0215440488176453,3,1,4,5.5,0.175
76,2019,11,29,0.0229576560287086,3,1,3,7.666666666666667,0.0
77,2019,11,30,0.0239507857523992,3,1,4,4.0,0.05
78,2019,12,1,0.0222565454262953,3,1,8,8.5,0.2138888888888889
79,2019,12,2,0.0202184766551009,2,1,2,3.0,0.0
80,2019,12,4,0.023065112784629,2,1,2,3.0,0.0
81,2019,12,6,0.0288910829084186,3,1,8,6.0,0.16249999999999998
82,2019,12,7,0.0347177209958466,3,1,3,2.3333333333333335,0.0
83,2019,12,8,0.0308154900756748,2,1,2,3.0,0.0
84,2019,12,9,0.0326045464159316,2,1,2,3.0,0.0
85,2019,12,10,0.0320969961036322,1,1,1,3.0,0.0
86,2019,12,11,0.0313912412097138,6,1,10,7.3,0.04
87,2019,12,12,0.033285365359421,2,1,2,3.0,0.0
88,2019,12,13,0.0387642181232456,2,1,19,3.0,0.0
89,2019,12,15,0.0371346445958903,4,1,4,3.0,0.0
90,2019,12,16,0.0420836535838225,6,1,6,3.0,0.0
91,2019,12,17,0.0420984096730443,4,1,4,3.0,0.0
92,2019,12,18,0.0371248402078031,1,1,1,3.0,0.0
93,2019,12,19,0.0463318304382637,3,1,5,14.4,0.32
94,2019,12,20,0.0425262068718638,1,1,1,3.0,0.0
95,2019,12,22,0.0368426922488199,1,1,1,3.0,0.0
96,2019,12,23,0.0381326572352644,2,1,2,1.5,0.0
97,2019,12,24,0.0424373642607517,1,1,1,1.0,0.0
98,2019,12,26,0.0360377514092133,1,1,1,3.0,0.0
99,2019,12,27,0.0352438456250388,2,1,2,3.0,0.0
100,2019,12,30,0.0300064451703774,5,1,5,3.0,0.0
101,2019,12,31,0.035477255574772,11,1,11,3.0,0.0
102,2020,1,1,0.0367587819034254,1,1,1,3.0,0.0
103,2020,1,2,0.0392458433744605,1,1,1,3.0,0.0
104,2020,1,3,0.0352565485902894,2,1,2,3.0,0.0
105,2020,1,4,0.036666504627153,2,1,2,3.0,0.0
106,2020,1,7,0.0350995227586555,1,1,1,3.0,0.0
107,2020,1,8,0.031845335190763,8,1,8,3.0,0.0
108,2020,1,9,0.0326622188220209,2,1,2,3.0,0.0
109,2020,1,10,0.0326697912882063,2,1,2,10.5,0.24261363636363634
110,2020,1,11,0.0348051645004341,2,1,2,3.0,0.0
111,2020,1,12,0.0346519267670623,2,1,3,9.0,0.125
112,2020,1,13,0.0354410651602958,1,1,1,3.0,0.0
113,2020,1,14,0.0315719849518678,1,1,1,20.0,0.0
114,2020,1,16,0.0352533019887539,1,1,1,27.0,0.025
115,2020,1,17,0.0382846018496392,3,1,3,3.0,0.0
116,2020,1,18,0.039612300177361,2,1,2,3.0,0.0
117,2020,1,23,0.0351178802921179,3,1,4,2.25,0.0
118,2020,1,24,0.0351983324155077,1,1,1,151.0,0.2349999999999999
119,2020,1,28,0.040361385879808,2,1,6,6.333333333333333,0.13958333333333334
120,2020,1,29,0.0426019435187721,1,1,1,22.0,0.0499999999999999
121,2020,1,30,0.0457798061471195,2,1,2,3.0,0.0
122,2020,1,31,0.0424710404426896,2,1,2,3.0,0.0
123,2020,2,2,0.0491324128948266,1,1,1,3.0,0.0
124,2020,2,3,0.0535973650686777,1,1,1,3.0,0.0
125,2020,2,5,0.0508984355811653,1,1,1,3.0,0.0
126,2020,2,7,0.0568555948243383,1,1,1,3.0,0.0
127,2020,2,10,0.0547797556153231,1,1,2,26.0,0.0
128,2020,2,14,0.060297459313015,2,1,2,3.0,0.0
129,2020,2,15,0.0604981266835456,1,1,1,3.0,0.0
130,2020,2,18,0.0599940608414196,1,1,1,3.0,0.0
131,2020,2,19,0.0671584545470723,2,1,2,3.0,0.0
132,2020,2,20,0.0687698737576097,11,1,28,6.035714285714286,0.10892857142857142
133,2020,2,21,0.073064769436005,4,1,20,7.95,0.16958333333333336
134,2020,2,22,0.06965460336748,1,1,1,3.0,0.0
135,2020,2,23,0.0680076071152658,2,1,3,50.0,0.11785714285714287
136,2020,2,24,0.07031591722791,8,1,31,29.580645161290324,0.21501897520042682
137,2020,2,25,0.0640891201723691,1,1,1,3.0,0.0
138,2020,2,26,0.0603655443000742,1,1,1,3.0,0.0
139,2020,2,28,0.0580796433921263,1,1,1,3.0,0.0
140,2020,2,29,0.0563984900327476,2,1,3,2.6666666666666665,0.0
141,2020,3,6,0.0711169461655355,2,1,2,4.5,0.25
142,2020,3,9,0.0561107751797721,1,1,1,3.0,0.0
143,2020,3,11,0.0553671438836941,1,1,1,3.0,0.0
144,2020,3,12,0.052954631355485,2,1,3,12.0,0.0
145,2020,3,13,0.0239430068311054,1,1,1,3.0,0.0
146,2020,3,16,0.0259239483814469,1,1,1,3.0,0.0
147,2020,3,24,0.0340220028885171,2,1,2,3.0,0.0
148,2020,3,29,0.0457427345635793,2,1,2,3.0,0.0
149,2020,3,30,0.044702955759702,1,1,1,3.0,0.0
150,2020,4,4,0.046122623687719,1,1,1,36.0,0.0125
151,2020,4,6,0.0543606143994912,1,1,1,18.0,0.375
152,2020,4,7,0.0549010108814694,1,1,1,3.0,0.0
153,2020,4,8,0.0560446839527451,1,1,1,3.0,0.0
154,2020,4,11,0.0502861798272822,2,1,2,3.0,0.0
155,2020,4,16,0.050281218368318,1,1,1,3.0,0.0
156,2020,4,19,0.0558640226466304,2,1,4,9.75,0.22291666666666665
157,2020,4,21,0.0497014626120297,1,1,1,3.0,0.0
158,2020,4,22,0.0507018306886246,5,1,5,3.0,0.0
