,funding_round_id,funded_object_id,investor_object_id
0,0,13907,2633
1,0,13907,4913
2,2,16495,6570
3,3,16495,2633
4,3,16495,7379
5,3,16495,8209
6,3,16495,5927
7,4,19800,5763
8,5,21350,8209
9,6,21350,8855
10,7,665,5666
11,8,1039,7197
12,8,1039,9487
13,10,1973,4153
14,11,3066,9337
15,11,3066,2634
16,11,3066,3190
17,11,3066,3677
18,12,3066,3506
19,12,3066,2634
20,12,3066,3190
21,13,1973,4153
22,13,1973,3822
23,14,5272,8456
24,14,5272,8347
25,16,7552,4603
26,17,8059,4675
27,17,8059,4752
28,18,10574,4675
29,18,10574,5927
30,19,10574,4675
31,19,10574,8983
32,19,10574,3089
33,20,11911,5143
34,20,11911,8209
35,20,11911,4659
36,21,12150,5213
37,21,12150,5392
38,21,12150,5302
39,22,12150,5392
40,23,12746,3704
41,23,12746,8699
42,24,12746,3704
43,24,12746,8699
44,25,10574,4675
45,25,10574,3089
46,26,10574,5411
47,27,12892,5666
48,27,12892,4752
49,27,12892,5764
50,27,12892,5851
51,28,13463,5941
52,28,13463,5392
53,28,13463,5232
54,29,13908,6113
55,29,13908,6184
56,30,13908,6726
57,30,13908,6266
58,30,13908,6356
59,30,13908,6113
60,31,14519,3506
61,32,14804,6266
62,32,14804,3768
63,33,14804,5666
64,33,14804,6424
65,33,14804,4147
66,34,14804,6424
67,35,17058,6645
68,36,17058,6717
69,37,15396,6866
70,37,15396,6794
71,39,17205,5851
72,40,17205,5851
73,40,17205,6950
74,41,17816,7197
75,41,17816,7030
76,41,17816,7379
77,41,17816,4913
78,41,17816,5411
79,42,17816,6570
80,42,17816,7197
81,43,17816,6570
82,43,17816,7197
83,43,17816,7030
84,43,17816,4913
85,44,17334,7475
86,44,17334,7380
87,44,17334,7290
88,45,18866,7565
89,46,19344,6950
90,47,19684,7821
91,48,20023,4780
92,48,20023,6950
93,49,6125,7982
94,50,6125,7904
95,50,6125,7982
96,53,20541,8347
97,53,20541,8274
98,53,20541,5763
99,54,20541,8347
100,54,20541,8274
101,54,20541,8414
102,54,20541,5763
103,55,20541,8347
104,55,20541,5763
105,56,20789,2633
106,56,20789,5927
107,57,20789,2633
108,58,20890,4752
109,58,20890,5764
110,59,21009,5666
111,59,21009,6645
112,60,21009,6645
113,60,21009,5411
114,61,21225,8485
115,61,21225,3822
116,62,21326,3507
117,62,21326,3532
118,63,21351,6717
119,63,21351,8274
120,64,21387,3395
121,64,21387,6632
122,65,21425,5392
123,66,21117,4675
124,68,18679,4675
125,69,18679,4675
126,70,19800,7110
127,71,18220,3309
128,72,18584,5392
129,72,18584,4752
130,73,19801,8561
131,74,21490,8855
132,74,21490,8752
133,74,21490,8635
134,74,21490,8699
135,75,21490,8752
136,75,21490,8635
137,75,21490,8699
138,76,21534,8856
139,76,21534,8801
140,76,21534,8911
141,77,21534,8856
142,77,21534,8801
143,78,13907,2633
144,78,13907,4913
145,78,13907,7244
146,78,13907,5927
147,79,9730,8956
148,79,9730,3822
149,79,9730,5179
150,80,92,4675
151,81,147,8993
152,81,147,3768
153,82,147,9085
154,82,147,9046
155,82,147,9141
156,83,212,9194
157,83,212,9293
158,83,212,7380
159,83,212,9338
160,84,212,4575
161,85,191,9439
162,85,191,9377
163,86,251,5666
164,86,251,4147
165,86,251,6915
166,87,318,5764
167,88,326,7197
168,89,326,6717
169,90,15788,9534
170,91,15788,5927
171,92,488,4723
172,92,488,3412
173,92,488,9587
174,93,585,9670
175,93,585,9623
176,93,585,9726
177,93,585,8993
178,95,585,8993
179,96,618,9779
180,96,618,9825
181,97,618,2633
182,97,618,9779
183,97,618,9825
184,98,618,2633
185,98,618,9779
186,98,618,9954
187,98,618,9908
188,98,618,9865
189,98,618,9825
190,99,411,5666
191,99,411,9594
192,100,720,4752
193,101,691,5666
194,101,691,10005
195,101,691,4675
196,102,691,10005
197,102,691,10049
198,102,691,4675
199,103,791,2918
200,104,766,10094
201,105,910,4752
202,106,910,6570
203,106,910,4752
204,107,1197,2918
205,108,1040,2696
206,108,1040,8635
207,108,1040,8274
208,108,1040,8209
209,109,1040,2696
210,109,1040,8209
211,110,956,7821
212,111,956,7821
213,112,1115,5213
214,112,1115,5666
215,112,1115,10144
216,113,2314,7197
217,113,2314,2752
218,113,2314,2635
219,113,2314,4913
220,114,2314,7197
221,114,2314,2752
222,114,2314,2635
223,114,2314,4913
224,114,2314,3089
225,115,2504,5392
226,115,2504,5302
227,115,2504,9865
228,115,2504,9054
229,116,2603,3139
230,116,2603,10005
231,116,2603,3822
232,117,2603,3139
233,117,2603,10005
234,117,2603,3822
235,118,2603,10005
236,118,2603,3822
237,118,2603,8456
238,119,20230,3822
239,119,20230,9214
240,120,2717,2918
241,120,2717,10049
242,121,1892,3027
243,122,1892,6570
244,122,1892,5392
245,122,1892,9338
246,123,1892,6570
247,123,1892,5392
248,123,1892,9338
249,123,1892,3027
250,123,1892,5411
251,124,3279,3232
252,124,3279,4752
253,124,3279,3191
254,125,3181,7380
255,125,3181,3268
256,125,3181,9338
257,126,3181,3299
258,126,3181,7380
259,126,3181,3268
260,126,3181,9338
261,126,3181,3768
262,127,3515,4629
263,128,3515,3395
264,129,4068,7197
265,129,4068,6570
266,130,12990,7290
267,131,4174,4675
268,132,4174,3447
269,132,4174,4675
270,133,4490,4675
271,133,4490,9046
272,134,4490,5392
273,136,4836,4675
274,137,4836,2633
275,138,4836,6717
276,138,4836,5934
277,139,4942,3565
278,141,5188,3232
279,142,5188,3588
280,143,4712,3617
281,144,5273,3632
282,144,5273,3664
283,144,5273,3704
284,144,5273,3744
285,144,5273,8699
286,145,5340,3776
287,146,5415,3823
288,151,5492,5392
289,152,5862,3926
290,152,5862,3859
291,152,5862,3891
292,153,5862,3926
293,153,5862,3859
