,latitude,longitude,zip_code,id,name,labels,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,state_code.1,is_CA,is_NY,is_MA,is_TX,is_otherstate,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500
0,42.35888,-71.05682,92101,c:6669,Bandsintown,1,2.2493,3.0027,4.6685,6.7041,3,3,375000,3,CA,1,0,0,0,0,music,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0
1,37.238916,-121.973718,95032,c:16283,TriCipher,1,5.126,9.9973,7.0055,7.0055,9,4,40100000,1,CA,1,0,0,0,0,enterprise,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,4.75,1
2,32.901049,-117.192656,92121,c:65620,Plixi,1,1.0329,1.0329,1.4575,2.2055,5,1,2600000,2,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.0,1
3,37.320309,-122.05004,95014,c:42668,Solidcore Systems,1,3.1315,5.3151,6.0027,6.0027,5,3,40000000,1,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3.3333,1
4,37.779281,-122.419236,94105,c:65806,Inhale Digital,0,0.0,1.6685,0.0384,0.0384,2,2,1300000,1,CA,1,0,0,0,0,games_video,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1.0,1
5,37.406914,-122.09037,94043,c:22898,Matisse Networks,0,4.5452,4.5452,5.0027,5.0027,3,1,7500000,1,CA,1,0,0,0,0,network_hosting,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3.0,1
6,37.3915589,-122.0702643,94041,c:16191,RingCube Technologies,1,1.7205,5.211,3.0,6.6082,6,3,26000000,2,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1.6667,1
7,38.057107,-122.513742,94901,c:5192,ClairMail,1,1.6466,6.7616,5.6055,7.3616,25,3,34100000,3,CA,1,0,0,0,0,finance,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,3.5,1
8,42.712207,-73.203599,1267,c:1043,VoodooVox,1,3.5863,11.1123,8.0055,9.9945,13,3,9650000,4,MA,0,0,1,0,0,mobile,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,4.0,1
9,37.427235,-122.145783,94306,c:498,Doostang,1,1.6712,4.6849,2.9178,6.1151,14,3,5750000,4,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1.0,1
