,id,normalized_name,region,investment_rounds,invested_companies,milestones,relationships
0,f:1,greylock,SF Bay,307,196,0,71
1,f:10,mission ventures,San Diego,58,33,0,11
2,f:100,kapor enterprises,TBD,2,1,0,1
3,f:1000,speed ventures,unknown,0,0,1,1
4,f:10000,3x5 special opportunity,unknown,4,4,0,0
5,f:10001,salem,Los Angeles,1,1,0,3
6,f:10002,3t,Paris,3,3,0,0
7,f:10003,merieux developpement,Lyon,2,2,0,0
8,f:10004,aquasourca,unknown,1,1,0,0
9,f:10005,texas entrepreneur networks,Texas - Other,1,1,0,0
10,f:10007,precedent investments,unknown,1,1,0,0
11,f:10008,navitrio,Raanana,1,1,0,0
12,f:1001,burch investment group,Nashville,1,1,0,1
13,f:10011,draw,unknown,0,0,0,1
14,f:10012,the bollard group,Boston,1,1,0,1
15,f:10013,ej funds,unknown,1,1,0,0
16,f:10014,kuzari group,New York,2,2,0,0
17,f:10015,imi vc,Moscow,2,2,4,3
18,f:10019,eurofin ventures,unknown,1,1,0,5
19,f:1002,alven,Paris,43,36,1,7
20,f:10020,east valley ventures,Saint John,2,2,0,0
21,f:10021,national research foundation,Singapore - Other,7,7,1,0
22,f:10022,venture,unknown,3,3,0,3
23,f:10023,yumedeals,Hyderabad,0,0,0,1
24,f:10024,tron,Boston,1,1,0,0
25,f:10027,branford castle private equity,New York,1,1,0,0
26,f:10028,startup alliance,unknown,1,1,0,0
27,f:10029,redpoint eventures brazil,Sao Paulo,0,0,0,4
28,f:1003,alten,unknown,1,1,0,1
29,f:10030,canyon creek,Los Angeles,3,3,1,2
30,f:10031,karlin ventures,Los Angeles,13,13,1,0
31,f:10032,n ab,unknown,0,0,0,1
32,f:10033,n aa,unknown,0,0,0,2
33,f:10036,sharespost investment management,SF Bay,0,0,2,2
34,f:10038,b dash ventures,Tokyo,2,2,1,0
35,f:10039,biglobe,Tokyo,1,1,0,0
36,f:10040,gumi ventures,unknown,1,1,0,0
37,f:10041,musigraphics advertising,Houston,0,0,0,1
38,f:10042,riyadh valley company,Riyadh,0,0,0,0
39,f:10043,altimeter,Boston,3,3,0,6
40,f:10044,archimedia investments,unknown,1,1,0,0
41,f:10046,launchtime,unknown,1,1,0,1
42,f:10047,chp,Shanghai,0,0,0,1
43,f:10048,camp one ventures,California - Other,1,1,0,2
44,f:10049,biotechnology value,SF Bay,2,2,0,0
