,Full Name,Gender,Number of News Articles,Number of Founded Organizations,Number of Portfolio Companies,Number of Investments_x,Number of Partner Investments,Number of Lead Investments_x,Number of Exits_x,Number of Events_x,Operating Status,Founded Date,Closed Date,Company Type,Number of Founders,Success,Founder
0,Elon Musk,1,14445,7,11,21,0,9,6,2,1,2003,0,1,4,1,0
1,JB Straubel,1,100,2,1,1,0,0,0,1,1,2003,0,1,4,1,1
2,Mark Zuckerberg,1,19678,10,6,7,0,0,0,5,1,2004,0,1,5,1,1
3,Ross Mason,1,128,1,6,7,0,0,1,5,1,2006,0,1,2,1,1
4,Rahul Gandhi,1,861,1,0,0,0,0,0,0,1,2013,0,0,3,1,1
5,Sam Rosen,1,15,3,1,1,0,0,0,1,1,2013,0,0,3,1,1
6,Adam LeVasseur,1,1,1,0,0,0,0,0,0,1,2013,0,0,3,1,1
7,Tony Fadell,1,1569,2,5,6,0,0,0,7,1,2010,0,1,2,1,1
8,Matt Rogers,1,310,1,2,2,0,0,0,4,1,2010,0,1,2,1,1
9,Marc Benioff,1,3669,1,73,101,0,3,17,19,1,1999,0,1,2,1,1
10,Adam Gross,1,29,2,1,1,0,0,1,3,1,1999,0,1,2,1,0
11,Parker Harris,1,107,1,1,2,0,0,1,2,1,1999,0,1,2,1,1
12,Jack Ma,1,2237,4,1,1,2,1,1,0,1,1999,0,1,2,1,1
13,Eddie Wu,1,5,1,1,1,0,0,0,0,1,1999,0,1,2,1,1
14,Jonathan Lu,1,90,1,0,0,0,0,0,0,1,1999,0,1,2,1,0
15,Gwyneth Paltrow,0,575,1,1,1,0,0,0,1,1,2008,0,1,1,1,1
16,Eric Kwan,1,0,1,21,20,0,0,2,0,1,2014,0,1,3,1,0
17,Robin Chan,1,48,1,3,3,0,0,2,0,1,2014,0,1,3,1,0
18,Derek Jeter,1,451,1,2,3,0,0,1,2,1,2014,0,1,1,1,1
19,Arianna Huffington,0,1330,3,1,1,0,0,0,12,1,2016,0,1,1,0,1
20,Pierre Trudeau,1,436,1,0,0,0,0,0,0,1,2000,0,0,1,1,1
21,John Legend,1,234,1,3,3,0,0,0,0,1,2013,0,1,5,0,1
22,Sergey Sundukovskiy,1,0,3,0,0,0,0,0,0,1,2013,0,1,5,0,1
23,Rob Wright,1,2,2,2,2,0,0,1,0,1,2013,0,1,5,0,0
24,Jon Snyder,1,17,1,0,0,0,0,0,0,1,2013,0,1,5,0,1
25,Reese Witherspoon,0,271,1,0,0,0,0,0,0,1,2013,0,1,1,0,1
26,Reed Hastings,1,2764,2,2,3,0,3,1,6,1,1997,0,1,3,1,1
27,Naval Ravikant,1,723,6,98,112,1,7,37,12,1,2010,0,1,3,1,1
28,Martin Shkreli,1,1155,2,1,1,0,0,0,0,1,2014,0,1,1,0,1
29,Jessica Alba,0,581,1,3,3,0,0,0,8,1,2011,0,1,4,1,1
30,Brian Lee,1,146,6,22,23,0,0,7,4,1,2011,0,1,4,0,1
31,Sean Kane,1,6,1,0,0,0,0,0,1,1,2011,0,1,4,1,1
32,Christopher Gavigan,1,11,1,0,0,0,0,0,2,1,2011,0,1,4,1,1
33,Stewart Butterfield,1,816,2,11,12,0,0,3,13,1,2009,0,1,4,1,1
34,Cal Henderson,1,77,1,0,0,0,0,0,2,1,2009,0,1,4,1,1
35,Serguei Mourachov,1,17,1,0,0,0,0,0,0,1,2009,0,1,4,1,1
36,Eric Costello,1,23,1,0,0,0,0,0,0,1,2009,0,1,4,1,1
