Category: All categories

Week,bitcoin: (Worldwide)
2019-04-14,11
2019-04-21,11
2019-04-28,10
2019-05-05,14
2019-05-12,22
2019-05-19,16
2019-05-26,19
2019-06-02,15
2019-06-09,13
2019-06-16,20
2019-06-23,30
2019-06-30,21
2019-07-07,19
2019-07-14,19
2019-07-21,16
2019-07-28,15
2019-08-04,17
2019-08-11,16
2019-08-18,14
2019-08-25,13
2019-09-01,13
2019-09-08,12
2019-09-15,12
2019-09-22,14
2019-09-29,12
2019-10-06,11
2019-10-13,11
2019-10-20,13
2019-10-27,12
2019-11-03,11
2019-11-10,10
2019-11-17,12
2019-11-24,12
2019-12-01,10
2019-12-08,10
2019-12-15,11
2019-12-22,10
2019-12-29,10
2020-01-05,13
2020-01-12,13
2020-01-19,11
2020-01-26,12
2020-02-02,12
2020-02-09,16
2020-02-16,13
2020-02-23,13
2020-03-01,12
2020-03-08,23
2020-03-15,24
2020-03-22,18
2020-03-29,15
2020-04-05,15
2020-04-12,15
2020-04-19,15
2020-04-26,19
2020-05-03,21
2020-05-10,25
2020-05-17,17
2020-05-24,16
2020-05-31,15
2020-06-07,14
2020-06-14,13
2020-06-21,12
2020-06-28,12
2020-07-05,12
2020-07-12,13
2020-07-19,12
2020-07-26,20
2020-08-02,19
2020-08-09,16
2020-08-16,15
2020-08-23,13
2020-08-30,14
2020-09-06,14
2020-09-13,12
2020-09-20,11
2020-09-27,11
2020-10-04,11
2020-10-11,11
2020-10-18,15
2020-10-25,16
2020-11-01,19
2020-11-08,18
2020-11-15,26
2020-11-22,29
2020-11-29,25
2020-12-06,19
2020-12-13,32
2020-12-20,32
2020-12-27,50
2021-01-03,84
2021-01-10,75
2021-01-17,50
2021-01-24,47
2021-01-31,41
2021-02-07,73
2021-02-14,70
2021-02-21,77
2021-02-28,52
2021-03-07,49
2021-03-14,51
2021-03-21,42
2021-03-28,42
2021-04-04,39
2021-04-11,51
2021-04-18,66
2021-04-25,48
2021-05-02,41
2021-05-09,56
2021-05-16,100
2021-05-23,66
2021-05-30,49
2021-06-06,52
2021-06-13,37
2021-06-20,47
2021-06-27,34
2021-07-04,27
2021-07-11,27
2021-07-18,30
2021-07-25,37
2021-08-01,30
2021-08-08,34
2021-08-15,30
2021-08-22,31
2021-08-29,26
2021-09-05,36
2021-09-12,26
2021-09-19,33
2021-09-26,26
2021-10-03,31
2021-10-10,34
2021-10-17,47
2021-10-24,34
2021-10-31,30
2021-11-07,36
2021-11-14,35
2021-11-21,33
2021-11-28,35
2021-12-05,37
2021-12-12,32
2021-12-19,30
2021-12-26,29
2022-01-02,37
2022-01-09,36
2022-01-16,38
2022-01-23,49
2022-01-30,37
2022-02-06,36
2022-02-13,30
2022-02-20,39
2022-02-27,35
2022-03-06,30
2022-03-13,27
2022-03-20,27
2022-03-27,28
2022-04-03,25
2022-04-10,24
2022-04-17,21
2022-04-24,22
2022-05-01,23
2022-05-08,52
2022-05-15,36
2022-05-22,28
2022-05-29,25
2022-06-05,23
2022-06-12,64
2022-06-19,48
2022-06-26,37
2022-07-03,32
2022-07-10,29
2022-07-17,29
2022-07-24,26
2022-07-31,23
2022-08-07,21
2022-08-14,21
2022-08-21,21
2022-08-28,21
2022-09-04,21
2022-09-11,21
2022-09-18,22
2022-09-25,19
2022-10-02,18
2022-10-09,17
2022-10-16,16
2022-10-23,18
2022-10-30,16
2022-11-06,32
2022-11-13,29
2022-11-20,22
2022-11-27,20
2022-12-04,18
2022-12-11,18
2022-12-18,17
2022-12-25,17
2023-01-01,17
2023-01-08,19
2023-01-15,23
2023-01-22,20
2023-01-29,20
2023-02-05,18
2023-02-12,18
2023-02-19,18
2023-02-26,17
2023-03-05,18
2023-03-12,26
2023-03-19,26
2023-03-26,22
2023-04-02,20
2023-04-09,24
2023-04-16,21
2023-04-23,20
2023-04-30,19
2023-05-07,18
2023-05-14,16
2023-05-21,16
2023-05-28,16
2023-06-04,18
2023-06-11,17
2023-06-18,20
2023-06-25,19
2023-07-02,20
2023-07-09,19
2023-07-16,18
2023-07-23,17
2023-07-30,16
2023-08-06,16
2023-08-13,18
2023-08-20,18
2023-08-27,18
2023-09-03,16
2023-09-10,15
2023-09-17,15
2023-09-24,14
2023-10-01,16
2023-10-08,15
2023-10-15,17
2023-10-22,25
2023-10-29,20
2023-11-05,21
2023-11-12,21
2023-11-19,19
2023-11-26,19
2023-12-03,29
2023-12-10,24
2023-12-17,23
2023-12-24,22
2023-12-31,27
2024-01-07,40
2024-01-14,25
2024-01-21,22
2024-01-28,18
2024-02-04,19
2024-02-11,28
2024-02-18,22
2024-02-25,41
2024-03-03,49
2024-03-10,45
2024-03-17,37
2024-03-24,32
2024-03-31,29
2024-04-07,29
2024-04-14,38
