Category: All categories

Week,bnb: (Worldwide)
2019-04-14,60
2019-04-21,57
2019-04-28,58
2019-05-05,55
2019-05-12,57
2019-05-19,61
2019-05-26,63
2019-06-02,65
2019-06-09,66
2019-06-16,67
2019-06-23,67
2019-06-30,66
2019-07-07,69
2019-07-14,66
2019-07-21,65
2019-07-28,66
2019-08-04,63
2019-08-11,70
2019-08-18,65
2019-08-25,59
2019-09-01,56
2019-09-08,54
2019-09-15,54
2019-09-22,49
2019-09-29,52
2019-10-06,52
2019-10-13,52
2019-10-20,51
2019-10-27,49
2019-11-03,51
2019-11-10,48
2019-11-17,45
2019-11-24,42
2019-12-01,45
2019-12-08,44
2019-12-15,43
2019-12-22,49
2019-12-29,60
2020-01-05,63
2020-01-12,64
2020-01-19,59
2020-01-26,58
2020-02-02,58
2020-02-09,57
2020-02-16,58
2020-02-23,54
2020-03-01,52
2020-03-08,47
2020-03-15,29
2020-03-22,21
2020-03-29,20
2020-04-05,19
2020-04-12,21
2020-04-19,22
2020-04-26,26
2020-05-03,27
2020-05-10,34
2020-05-17,40
2020-05-24,43
2020-05-31,46
2020-06-07,54
2020-06-14,56
2020-06-21,58
2020-06-28,61
2020-07-05,61
2020-07-12,61
2020-07-19,63
2020-07-26,61
2020-08-02,62
2020-08-09,59
2020-08-16,55
2020-08-23,50
2020-08-30,49
2020-09-06,46
2020-09-13,43
2020-09-20,41
2020-09-27,40
2020-10-04,38
2020-10-11,38
2020-10-18,35
2020-10-25,33
2020-11-01,27
2020-11-08,31
2020-11-15,32
2020-11-22,28
2020-11-29,31
2020-12-06,42
2020-12-13,34
2020-12-20,33
2020-12-27,41
2021-01-03,40
2021-01-10,40
2021-01-17,39
2021-01-24,40
2021-01-31,46
2021-02-07,58
2021-02-14,68
2021-02-21,67
2021-02-28,56
2021-03-07,57
2021-03-14,57
2021-03-21,55
2021-03-28,69
2021-04-04,78
2021-04-11,93
2021-04-18,98
2021-04-25,79
2021-05-02,85
2021-05-09,100
2021-05-16,80
2021-05-23,76
2021-05-30,75
2021-06-06,71
2021-06-13,67
2021-06-20,74
2021-06-27,66
2021-07-04,71
2021-07-11,68
2021-07-18,72
2021-07-25,75
2021-08-01,70
2021-08-08,72
2021-08-15,73
2021-08-22,66
2021-08-29,67
2021-09-05,63
2021-09-12,64
2021-09-19,65
2021-09-26,58
2021-10-03,63
2021-10-10,66
2021-10-17,63
2021-10-24,68
2021-10-31,73
2021-11-07,73
2021-11-14,69
2021-11-21,69
2021-11-28,68
2021-12-05,65
2021-12-12,63
2021-12-19,62
2021-12-26,72
2022-01-02,86
2022-01-09,85
2022-01-16,79
2022-01-23,82
2022-01-30,79
2022-02-06,84
2022-02-13,75
2022-02-20,75
2022-02-27,72
2022-03-06,75
2022-03-13,68
2022-03-20,66
2022-03-27,61
2022-04-03,64
2022-04-10,62
2022-04-17,62
2022-04-24,61
2022-05-01,60
2022-05-08,64
2022-05-15,60
2022-05-22,61
2022-05-29,57
2022-06-05,60
2022-06-12,60
2022-06-19,59
2022-06-26,57
2022-07-03,57
2022-07-10,56
2022-07-17,57
2022-07-24,56
2022-07-31,56
2022-08-07,58
2022-08-14,50
2022-08-21,49
2022-08-28,48
2022-09-04,44
2022-09-11,44
2022-09-18,46
2022-09-25,44
2022-10-02,46
2022-10-09,43
2022-10-16,41
2022-10-23,39
2022-10-30,43
2022-11-06,48
2022-11-13,40
2022-11-20,38
2022-11-27,40
2022-12-04,36
2022-12-11,41
2022-12-18,38
2022-12-25,43
2023-01-01,47
2023-01-08,48
2023-01-15,50
2023-01-22,46
2023-01-29,47
2023-02-05,46
2023-02-12,45
2023-02-19,47
2023-02-26,44
2023-03-05,45
2023-03-12,48
2023-03-19,47
2023-03-26,45
2023-04-02,47
2023-04-09,46
2023-04-16,47
2023-04-23,47
2023-04-30,45
2023-05-07,45
2023-05-14,46
2023-05-21,46
2023-05-28,46
2023-06-04,48
2023-06-11,49
2023-06-18,48
2023-06-25,54
2023-07-02,54
2023-07-09,58
2023-07-16,53
2023-07-23,55
2023-07-30,54
2023-08-06,49
2023-08-13,51
2023-08-20,47
2023-08-27,45
2023-09-03,43
2023-09-10,43
2023-09-17,43
2023-09-24,43
2023-10-01,41
2023-10-08,42
2023-10-15,40
2023-10-22,42
2023-10-29,38
2023-11-05,39
2023-11-12,40
2023-11-19,40
2023-11-26,37
2023-12-03,40
2023-12-10,40
2023-12-17,41
2023-12-24,49
2023-12-31,53
2024-01-07,50
2024-01-14,52
2024-01-21,54
2024-01-28,56
2024-02-04,56
2024-02-11,54
2024-02-18,56
2024-02-25,59
2024-03-03,63
2024-03-10,65
2024-03-17,61
2024-03-24,58
2024-03-31,59
2024-04-07,57
2024-04-14,54
