Category: All categories

Week,chainlink: (Worldwide)
2019-04-14,4
2019-04-21,4
2019-04-28,4
2019-05-05,5
2019-05-12,7
2019-05-19,11
2019-05-26,9
2019-06-02,6
2019-06-09,13
2019-06-16,12
2019-06-23,31
2019-06-30,27
2019-07-07,16
2019-07-14,11
2019-07-21,9
2019-07-28,10
2019-08-04,9
2019-08-11,9
2019-08-18,9
2019-08-25,8
2019-09-01,7
2019-09-08,7
2019-09-15,8
2019-09-22,8
2019-09-29,7
2019-10-06,15
2019-10-13,8
2019-10-20,10
2019-10-27,8
2019-11-03,7
2019-11-10,9
2019-11-17,8
2019-11-24,6
2019-12-01,6
2019-12-08,6
2019-12-15,6
2019-12-22,5
2019-12-29,6
2020-01-05,8
2020-01-12,9
2020-01-19,7
2020-01-26,8
2020-02-02,9
2020-02-09,18
2020-02-16,16
2020-02-23,13
2020-03-01,16
2020-03-08,13
2020-03-15,10
2020-03-22,7
2020-03-29,8
2020-04-05,14
2020-04-12,16
2020-04-19,14
2020-04-26,14
2020-05-03,14
2020-05-10,13
2020-05-17,13
2020-05-24,10
2020-05-31,13
2020-06-07,10
2020-06-14,13
2020-06-21,16
2020-06-28,11
2020-07-05,28
2020-07-12,50
2020-07-19,27
2020-07-26,27
2020-08-02,47
2020-08-09,100
2020-08-16,61
2020-08-23,32
2020-08-30,30
2020-09-06,23
2020-09-13,20
2020-09-20,24
2020-09-27,17
2020-10-04,14
2020-10-11,15
2020-10-18,16
2020-10-25,16
2020-11-01,16
2020-11-08,18
2020-11-15,23
2020-11-22,24
2020-11-29,19
2020-12-06,16
2020-12-13,19
2020-12-20,24
2020-12-27,31
2021-01-03,46
2021-01-10,54
2021-01-17,50
2021-01-24,46
2021-01-31,48
2021-02-07,55
2021-02-14,57
2021-02-21,45
2021-02-28,37
2021-03-07,36
2021-03-14,37
2021-03-21,28
2021-03-28,33
2021-04-04,36
2021-04-11,55
2021-04-18,43
2021-04-25,39
2021-05-02,65
2021-05-09,53
2021-05-16,45
2021-05-23,39
2021-05-30,28
2021-06-06,24
2021-06-13,21
2021-06-20,22
2021-06-27,18
2021-07-04,18
2021-07-11,16
2021-07-18,17
2021-07-25,20
2021-08-01,21
2021-08-08,21
2021-08-15,22
2021-08-22,21
2021-08-29,22
2021-09-05,29
2021-09-12,21
2021-09-19,19
2021-09-26,21
2021-10-03,20
2021-10-10,21
2021-10-17,26
2021-10-24,27
2021-10-31,25
2021-11-07,30
2021-11-14,22
2021-11-21,22
2021-11-28,21
2021-12-05,24
2021-12-12,18
2021-12-19,16
2021-12-26,19
2022-01-02,34
2022-01-09,29
2022-01-16,21
2022-01-23,21
2022-01-30,20
2022-02-06,18
2022-02-13,17
2022-02-20,17
2022-02-27,17
2022-03-06,15
2022-03-13,17
2022-03-20,18
2022-03-27,20
2022-04-03,16
2022-04-10,16
2022-04-17,16
2022-04-24,16
2022-05-01,16
2022-05-08,21
2022-05-15,16
2022-05-22,13
2022-05-29,14
2022-06-05,18
2022-06-12,18
2022-06-19,14
2022-06-26,14
2022-07-03,12
2022-07-10,12
2022-07-17,12
2022-07-24,12
2022-07-31,12
2022-08-07,14
2022-08-14,12
2022-08-21,10
2022-08-28,10
2022-09-04,11
2022-09-11,12
2022-09-18,12
2022-09-25,16
2022-10-02,13
2022-10-09,12
2022-10-16,11
2022-10-23,12
2022-10-30,13
2022-11-06,15
2022-11-13,13
2022-11-20,11
2022-11-27,13
2022-12-04,13
2022-12-11,10
2022-12-18,9
2022-12-25,9
2023-01-01,9
2023-01-08,10
2023-01-15,11
2023-01-22,10
2023-01-29,10
2023-02-05,10
2023-02-12,10
2023-02-19,10
2023-02-26,10
2023-03-05,9
2023-03-12,11
2023-03-19,12
2023-03-26,11
2023-04-02,11
2023-04-09,12
2023-04-16,13
2023-04-23,11
2023-04-30,9
2023-05-07,10
2023-05-14,9
2023-05-21,9
2023-05-28,8
2023-06-04,12
2023-06-11,12
2023-06-18,10
2023-06-25,10
2023-07-02,10
2023-07-09,11
2023-07-16,17
2023-07-23,13
2023-07-30,10
2023-08-06,10
2023-08-13,10
2023-08-20,9
2023-08-27,11
2023-09-03,10
2023-09-10,10
2023-09-17,13
2023-09-24,16
2023-10-01,14
2023-10-08,10
2023-10-15,12
2023-10-22,26
2023-10-29,17
2023-11-05,31
2023-11-12,22
2023-11-19,16
2023-11-26,18
2023-12-03,23
2023-12-10,17
2023-12-17,16
2023-12-24,19
2023-12-31,16
2024-01-07,16
2024-01-14,17
2024-01-21,16
2024-01-28,19
2024-02-04,24
2024-02-11,24
2024-02-18,18
2024-02-25,24
2024-03-03,25
2024-03-10,24
2024-03-17,19
2024-03-24,18
2024-03-31,17
2024-04-07,17
2024-04-14,16
