Category: All categories

Week,fetch.ai: (Worldwide)
2019-04-14,0
2019-04-21,0
2019-04-28,0
2019-05-05,0
2019-05-12,0
2019-05-19,0
2019-05-26,0
2019-06-02,0
2019-06-09,0
2019-06-16,0
2019-06-23,0
2019-06-30,0
2019-07-07,0
2019-07-14,0
2019-07-21,0
2019-07-28,0
2019-08-04,0
2019-08-11,0
2019-08-18,0
2019-08-25,0
2019-09-01,0
2019-09-08,0
2019-09-15,0
2019-09-22,0
2019-09-29,0
2019-10-06,0
2019-10-13,0
2019-10-20,0
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,0
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,5
2020-08-02,0
2020-08-09,5
2020-08-16,9
2020-08-23,0
2020-08-30,0
2020-09-06,5
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,5
2021-02-07,6
2021-02-14,9
2021-02-21,10
2021-02-28,8
2021-03-07,10
2021-03-14,13
2021-03-21,12
2021-03-28,12
2021-04-04,9
2021-04-11,9
2021-04-18,10
2021-04-25,11
2021-05-02,10
2021-05-09,0
2021-05-16,10
2021-05-23,6
2021-05-30,9
2021-06-06,10
2021-06-13,0
2021-06-20,6
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,13
2021-08-01,7
2021-08-08,19
2021-08-15,50
2021-08-22,30
2021-08-29,29
2021-09-05,51
2021-09-12,27
2021-09-19,21
2021-09-26,12
2021-10-03,25
2021-10-10,26
2021-10-17,21
2021-10-24,22
2021-10-31,32
2021-11-07,26
2021-11-14,14
2021-11-21,15
2021-11-28,17
2021-12-05,20
2021-12-12,17
2021-12-19,23
2021-12-26,20
2022-01-02,26
2022-01-09,21
2022-01-16,26
2022-01-23,23
2022-01-30,16
2022-02-06,20
2022-02-13,16
2022-02-20,8
2022-02-27,12
2022-03-06,6
2022-03-13,6
2022-03-20,12
2022-03-27,6
2022-04-03,9
2022-04-10,6
2022-04-17,8
2022-04-24,5
2022-05-01,5
2022-05-08,4
2022-05-15,5
2022-05-22,0
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,8
2022-07-03,0
2022-07-10,0
2022-07-17,0
2022-07-24,0
2022-07-31,4
2022-08-07,4
2022-08-14,0
2022-08-21,0
2022-08-28,0
2022-09-04,8
2022-09-11,4
2022-09-18,7
2022-09-25,0
2022-10-02,0
2022-10-09,0
2022-10-16,0
2022-10-23,0
2022-10-30,5
2022-11-06,0
2022-11-13,4
2022-11-20,0
2022-11-27,0
2022-12-04,12
2022-12-11,11
2022-12-18,9
2022-12-25,5
2023-01-01,9
2023-01-08,30
2023-01-15,23
2023-01-22,16
2023-01-29,16
2023-02-05,51
2023-02-12,21
2023-02-19,21
2023-02-26,15
2023-03-05,14
2023-03-12,13
2023-03-19,9
2023-03-26,13
2023-04-02,7
2023-04-09,11
2023-04-16,15
2023-04-23,12
2023-04-30,10
2023-05-07,6
2023-05-14,10
2023-05-21,6
2023-05-28,6
2023-06-04,4
2023-06-11,4
2023-06-18,9
2023-06-25,6
2023-07-02,9
2023-07-09,6
2023-07-16,7
2023-07-23,0
2023-07-30,0
2023-08-06,0
2023-08-13,6
2023-08-20,7
2023-08-27,9
2023-09-03,6
2023-09-10,6
2023-09-17,0
2023-09-24,0
2023-10-01,7
2023-10-08,0
2023-10-15,4
2023-10-22,11
2023-10-29,17
2023-11-05,9
2023-11-12,10
2023-11-19,15
2023-11-26,10
2023-12-03,13
2023-12-10,16
2023-12-17,14
2023-12-24,18
2023-12-31,15
2024-01-07,12
2024-01-14,7
2024-01-21,14
2024-01-28,9
2024-02-04,14
2024-02-11,14
2024-02-18,49
2024-02-25,58
2024-03-03,100
2024-03-10,53
2024-03-17,44
2024-03-24,68
2024-03-31,45
2024-04-07,30
2024-04-14,26
