Category: All categories

Week,litecoin: (Worldwide)
2019-04-14,17
2019-04-21,16
2019-04-28,16
2019-05-05,18
2019-05-12,28
2019-05-19,21
2019-05-26,29
2019-06-02,24
2019-06-09,46
2019-06-16,34
2019-06-23,36
2019-06-30,26
2019-07-07,26
2019-07-14,25
2019-07-21,22
2019-07-28,20
2019-08-04,26
2019-08-11,20
2019-08-18,17
2019-08-25,16
2019-09-01,15
2019-09-08,15
2019-09-15,15
2019-09-22,16
2019-09-29,13
2019-10-06,12
2019-10-13,11
2019-10-20,12
2019-10-27,13
2019-11-03,12
2019-11-10,12
2019-11-17,12
2019-11-24,12
2019-12-01,10
2019-12-08,10
2019-12-15,13
2019-12-22,12
2019-12-29,12
2020-01-05,14
2020-01-12,19
2020-01-19,13
2020-01-26,19
2020-02-02,19
2020-02-09,20
2020-02-16,17
2020-02-23,15
2020-03-01,12
2020-03-08,18
2020-03-15,19
2020-03-22,15
2020-03-29,13
2020-04-05,13
2020-04-12,13
2020-04-19,14
2020-04-26,15
2020-05-03,15
2020-05-10,16
2020-05-17,13
2020-05-24,12
2020-05-31,14
2020-06-07,11
2020-06-14,11
2020-06-21,10
2020-06-28,10
2020-07-05,12
2020-07-12,12
2020-07-19,13
2020-07-26,20
2020-08-02,19
2020-08-09,16
2020-08-16,19
2020-08-23,13
2020-08-30,15
2020-09-06,13
2020-09-13,11
2020-09-20,11
2020-09-27,10
2020-10-04,10
2020-10-11,10
2020-10-18,14
2020-10-25,15
2020-11-01,14
2020-11-08,16
2020-11-15,28
2020-11-22,29
2020-11-29,23
2020-12-06,18
2020-12-13,31
2020-12-20,42
2020-12-27,55
2021-01-03,99
2021-01-10,73
2021-01-17,49
2021-01-24,48
2021-01-31,53
2021-02-07,84
2021-02-14,100
2021-02-21,77
2021-02-28,51
2021-03-07,58
2021-03-14,51
2021-03-21,37
2021-03-28,46
2021-04-04,56
2021-04-11,84
2021-04-18,72
2021-04-25,56
2021-05-02,92
2021-05-09,95
2021-05-16,74
2021-05-23,59
2021-05-30,43
2021-06-06,30
2021-06-13,25
2021-06-20,29
2021-06-27,23
2021-07-04,20
2021-07-11,19
2021-07-18,22
2021-07-25,22
2021-08-01,22
2021-08-08,29
2021-08-15,28
2021-08-22,25
2021-08-29,27
2021-09-05,30
2021-09-12,34
2021-09-19,23
2021-09-26,20
2021-10-03,25
2021-10-10,22
2021-10-17,30
2021-10-24,27
2021-10-31,27
2021-11-07,49
2021-11-14,34
2021-11-21,27
2021-11-28,25
2021-12-05,27
2021-12-12,22
2021-12-19,23
2021-12-26,23
2022-01-02,23
2022-01-09,24
2022-01-16,24
2022-01-23,23
2022-01-30,21
2022-02-06,23
2022-02-13,19
2022-02-20,21
2022-02-27,19
2022-03-06,17
2022-03-13,16
2022-03-20,18
2022-03-27,18
2022-04-03,17
2022-04-10,15
2022-04-17,14
2022-04-24,15
2022-05-01,15
2022-05-08,19
2022-05-15,16
2022-05-22,14
2022-05-29,13
2022-06-05,13
2022-06-12,18
2022-06-19,16
2022-06-26,12
2022-07-03,12
2022-07-10,11
2022-07-17,13
2022-07-24,11
2022-07-31,10
2022-08-07,12
2022-08-14,11
2022-08-21,10
2022-08-28,10
2022-09-04,10
2022-09-11,10
2022-09-18,10
2022-09-25,9
2022-10-02,9
2022-10-09,8
2022-10-16,8
2022-10-23,9
2022-10-30,11
2022-11-06,13
2022-11-13,11
2022-11-20,15
2022-11-27,12
2022-12-04,11
2022-12-11,10
2022-12-18,9
2022-12-25,10
2023-01-01,10
2023-01-08,12
2023-01-15,12
2023-01-22,11
2023-01-29,13
2023-02-05,11
2023-02-12,11
2023-02-19,9
2023-02-26,9
2023-03-05,9
2023-03-12,10
2023-03-19,11
2023-03-26,11
2023-04-02,9
2023-04-09,10
2023-04-16,11
2023-04-23,10
2023-04-30,9
2023-05-07,9
2023-05-14,11
2023-05-21,10
2023-05-28,11
2023-06-04,10
2023-06-11,11
2023-06-18,11
2023-06-25,14
2023-07-02,17
2023-07-09,14
2023-07-16,12
2023-07-23,12
2023-07-30,18
2023-08-06,10
2023-08-13,10
2023-08-20,10
2023-08-27,9
2023-09-03,8
2023-09-10,9
2023-09-17,8
2023-09-24,7
2023-10-01,8
2023-10-08,7
2023-10-15,8
2023-10-22,10
2023-10-29,8
2023-11-05,10
2023-11-12,10
2023-11-19,8
2023-11-26,8
2023-12-03,12
2023-12-10,10
2023-12-17,10
2023-12-24,11
2023-12-31,11
2024-01-07,12
2024-01-14,9
2024-01-21,8
2024-01-28,8
2024-02-04,8
2024-02-11,10
2024-02-18,9
2024-02-25,15
2024-03-03,19
2024-03-10,19
2024-03-17,12
2024-03-24,16
2024-03-31,15
2024-04-07,13
2024-04-14,11
