Category: All categories

Week,monero: (Worldwide)
2019-04-14,23
2019-04-21,22
2019-04-28,23
2019-05-05,24
2019-05-12,29
2019-05-19,26
2019-05-26,28
2019-06-02,25
2019-06-09,24
2019-06-16,30
2019-06-23,40
2019-06-30,28
2019-07-07,29
2019-07-14,26
2019-07-21,22
2019-07-28,22
2019-08-04,27
2019-08-11,23
2019-08-18,23
2019-08-25,24
2019-09-01,23
2019-09-08,22
2019-09-15,23
2019-09-22,23
2019-09-29,19
2019-10-06,21
2019-10-13,23
2019-10-20,22
2019-10-27,23
2019-11-03,23
2019-11-10,23
2019-11-17,25
2019-11-24,27
2019-12-01,27
2019-12-08,22
2019-12-15,25
2019-12-22,21
2019-12-29,24
2020-01-05,26
2020-01-12,24
2020-01-19,23
2020-01-26,23
2020-02-02,25
2020-02-09,30
2020-02-16,25
2020-02-23,21
2020-03-01,20
2020-03-08,23
2020-03-15,22
2020-03-22,21
2020-03-29,29
2020-04-05,31
2020-04-12,25
2020-04-19,26
2020-04-26,30
2020-05-03,30
2020-05-10,31
2020-05-17,30
2020-05-24,24
2020-05-31,24
2020-06-07,23
2020-06-14,22
2020-06-21,23
2020-06-28,19
2020-07-05,20
2020-07-12,22
2020-07-19,24
2020-07-26,25
2020-08-02,25
2020-08-09,23
2020-08-16,26
2020-08-23,28
2020-08-30,28
2020-09-06,34
2020-09-13,28
2020-09-20,23
2020-09-27,25
2020-10-04,26
2020-10-11,26
2020-10-18,32
2020-10-25,28
2020-11-01,28
2020-11-08,25
2020-11-15,31
2020-11-22,32
2020-11-29,31
2020-12-06,32
2020-12-13,54
2020-12-20,40
2020-12-27,65
2021-01-03,73
2021-01-10,65
2021-01-17,57
2021-01-24,51
2021-01-31,53
2021-02-07,76
2021-02-14,91
2021-02-21,78
2021-02-28,63
2021-03-07,58
2021-03-14,62
2021-03-21,53
2021-03-28,66
2021-04-04,66
2021-04-11,86
2021-04-18,98
2021-04-25,78
2021-05-02,89
2021-05-09,100
2021-05-16,90
2021-05-23,67
2021-05-30,59
2021-06-06,52
2021-06-13,51
2021-06-20,55
2021-06-27,52
2021-07-04,45
2021-07-11,36
2021-07-18,34
2021-07-25,37
2021-08-01,40
2021-08-08,39
2021-08-15,39
2021-08-22,49
2021-08-29,42
2021-09-05,42
2021-09-12,37
2021-09-19,38
2021-09-26,33
2021-10-03,39
2021-10-10,41
2021-10-17,41
2021-10-24,43
2021-10-31,41
2021-11-07,51
2021-11-14,57
2021-11-21,49
2021-11-28,45
2021-12-05,44
2021-12-12,39
2021-12-19,41
2021-12-26,46
2022-01-02,55
2022-01-09,53
2022-01-16,52
2022-01-23,50
2022-01-30,49
2022-02-06,49
2022-02-13,54
2022-02-20,49
2022-02-27,51
2022-03-06,53
2022-03-13,48
2022-03-20,45
2022-03-27,47
2022-04-03,49
2022-04-10,52
2022-04-17,57
2022-04-24,49
2022-05-01,46
2022-05-08,52
2022-05-15,44
2022-05-22,44
2022-05-29,38
2022-06-05,35
2022-06-12,43
2022-06-19,45
2022-06-26,35
2022-07-03,35
2022-07-10,36
2022-07-17,34
2022-07-24,33
2022-07-31,32
2022-08-07,36
2022-08-14,44
2022-08-21,34
2022-08-28,32
2022-09-04,30
2022-09-11,38
2022-09-18,37
2022-09-25,31
2022-10-02,30
2022-10-09,29
2022-10-16,28
2022-10-23,28
2022-10-30,23
2022-11-06,31
2022-11-13,33
2022-11-20,28
2022-11-27,30
2022-12-04,27
2022-12-11,29
2022-12-18,29
2022-12-25,23
2023-01-01,28
2023-01-08,28
2023-01-15,28
2023-01-22,28
2023-01-29,29
2023-02-05,23
2023-02-12,26
2023-02-19,26
2023-02-26,25
2023-03-05,24
2023-03-12,27
2023-03-19,27
2023-03-26,32
2023-04-02,27
2023-04-09,28
2023-04-16,29
2023-04-23,23
2023-04-30,23
2023-05-07,25
2023-05-14,24
2023-05-21,22
2023-05-28,24
2023-06-04,24
2023-06-11,25
2023-06-18,25
2023-06-25,27
2023-07-02,25
2023-07-09,27
2023-07-16,27
2023-07-23,26
2023-07-30,24
2023-08-06,24
2023-08-13,24
2023-08-20,24
2023-08-27,25
2023-09-03,24
2023-09-10,23
2023-09-17,24
2023-09-24,22
2023-10-01,25
2023-10-08,22
2023-10-15,22
2023-10-22,26
2023-10-29,25
2023-11-05,27
2023-11-12,27
2023-11-19,28
2023-11-26,27
2023-12-03,30
2023-12-10,26
2023-12-17,27
2023-12-24,26
2023-12-31,30
2024-01-07,32
2024-01-14,31
2024-01-21,28
2024-01-28,30
2024-02-04,65
2024-02-11,43
2024-02-18,37
2024-02-25,40
2024-03-03,43
2024-03-10,41
2024-03-17,35
2024-03-24,38
2024-03-31,34
2024-04-07,35
2024-04-14,33
