Category: All categories

Week,ocean protocol: (Worldwide)
2019-04-14,10
2019-04-21,14
2019-04-28,29
2019-05-05,19
2019-05-12,9
2019-05-19,10
2019-05-26,11
2019-06-02,9
2019-06-09,0
2019-06-16,6
2019-06-23,7
2019-06-30,7
2019-07-07,7
2019-07-14,0
2019-07-21,0
2019-07-28,0
2019-08-04,0
2019-08-11,0
2019-08-18,7
2019-08-25,10
2019-09-01,7
2019-09-08,7
2019-09-15,8
2019-09-22,9
2019-09-29,0
2019-10-06,8
2019-10-13,7
2019-10-20,8
2019-10-27,10
2019-11-03,11
2019-11-10,8
2019-11-17,7
2019-11-24,10
2019-12-01,8
2019-12-08,7
2019-12-15,13
2019-12-22,10
2019-12-29,9
2020-01-05,6
2020-01-12,13
2020-01-19,0
2020-01-26,7
2020-02-02,6
2020-02-09,0
2020-02-16,11
2020-02-23,7
2020-03-01,7
2020-03-08,10
2020-03-15,8
2020-03-22,7
2020-03-29,9
2020-04-05,9
2020-04-12,7
2020-04-19,5
2020-04-26,7
2020-05-03,11
2020-05-10,9
2020-05-17,12
2020-05-24,11
2020-05-31,11
2020-06-07,9
2020-06-14,9
2020-06-21,7
2020-06-28,15
2020-07-05,21
2020-07-12,22
2020-07-19,19
2020-07-26,19
2020-08-02,40
2020-08-09,39
2020-08-16,73
2020-08-23,41
2020-08-30,30
2020-09-06,16
2020-09-13,15
2020-09-20,15
2020-09-27,15
2020-10-04,18
2020-10-11,10
2020-10-18,15
2020-10-25,42
2020-11-01,35
2020-11-08,35
2020-11-15,35
2020-11-22,25
2020-11-29,20
2020-12-06,22
2020-12-13,25
2020-12-20,22
2020-12-27,21
2021-01-03,36
2021-01-10,36
2021-01-17,39
2021-01-24,30
2021-01-31,43
2021-02-07,77
2021-02-14,68
2021-02-21,43
2021-02-28,90
2021-03-07,97
2021-03-14,58
2021-03-21,48
2021-03-28,42
2021-04-04,53
2021-04-11,58
2021-04-18,46
2021-04-25,40
2021-05-02,46
2021-05-09,49
2021-05-16,45
2021-05-23,30
2021-05-30,26
2021-06-06,21
2021-06-13,19
2021-06-20,10
2021-06-27,11
2021-07-04,17
2021-07-11,16
2021-07-18,10
2021-07-25,14
2021-08-01,15
2021-08-08,21
2021-08-15,37
2021-08-22,35
2021-08-29,31
2021-09-05,29
2021-09-12,20
2021-09-19,24
2021-09-26,9
2021-10-03,17
2021-10-10,21
2021-10-17,22
2021-10-24,24
2021-10-31,72
2021-11-07,38
2021-11-14,37
2021-11-21,42
2021-11-28,84
2021-12-05,36
2021-12-12,30
2021-12-19,39
2021-12-26,47
2022-01-02,59
2022-01-09,38
2022-01-16,35
2022-01-23,26
2022-01-30,27
2022-02-06,29
2022-02-13,20
2022-02-20,22
2022-02-27,19
2022-03-06,14
2022-03-13,17
2022-03-20,34
2022-03-27,31
2022-04-03,24
2022-04-10,20
2022-04-17,27
2022-04-24,24
2022-05-01,19
2022-05-08,21
2022-05-15,22
2022-05-22,16
2022-05-29,19
2022-06-05,25
2022-06-12,13
2022-06-19,13
2022-06-26,14
2022-07-03,13
2022-07-10,17
2022-07-17,13
2022-07-24,15
2022-07-31,12
2022-08-07,16
2022-08-14,11
2022-08-21,10
2022-08-28,11
2022-09-04,17
2022-09-11,14
2022-09-18,16
2022-09-25,15
2022-10-02,12
2022-10-09,14
2022-10-16,17
2022-10-23,13
2022-10-30,22
2022-11-06,17
2022-11-13,20
2022-11-20,12
2022-11-27,15
2022-12-04,20
2022-12-11,20
2022-12-18,16
2022-12-25,12
2023-01-01,17
2023-01-08,39
2023-01-15,34
2023-01-22,43
2023-01-29,39
2023-02-05,60
2023-02-12,33
2023-02-19,32
2023-02-26,23
2023-03-05,31
2023-03-12,27
2023-03-19,27
2023-03-26,25
2023-04-02,24
2023-04-09,26
2023-04-16,25
2023-04-23,22
2023-04-30,17
2023-05-07,21
2023-05-14,14
2023-05-21,20
2023-05-28,32
2023-06-04,20
2023-06-11,28
2023-06-18,13
2023-06-25,15
2023-07-02,24
2023-07-09,22
2023-07-16,14
2023-07-23,10
2023-07-30,13
2023-08-06,14
2023-08-13,11
2023-08-20,16
2023-08-27,9
2023-09-03,7
2023-09-10,13
2023-09-17,17
2023-09-24,12
2023-10-01,13
2023-10-08,14
2023-10-15,9
2023-10-22,19
2023-10-29,26
2023-11-05,29
2023-11-12,26
2023-11-19,22
2023-11-26,26
2023-12-03,30
2023-12-10,19
2023-12-17,20
2023-12-24,25
2023-12-31,23
2024-01-07,14
2024-01-14,17
2024-01-21,18
2024-01-28,15
2024-02-04,17
2024-02-11,21
2024-02-18,50
2024-02-25,46
2024-03-03,68
2024-03-10,53
2024-03-17,43
2024-03-24,100
2024-03-31,47
2024-04-07,32
2024-04-14,30
