Category: All categories

Week,solana: (Worldwide)
2019-04-14,9
2019-04-21,7
2019-04-28,8
2019-05-05,8
2019-05-12,8
2019-05-19,8
2019-05-26,8
2019-06-02,8
2019-06-09,7
2019-06-16,8
2019-06-23,8
2019-06-30,8
2019-07-07,9
2019-07-14,8
2019-07-21,8
2019-07-28,9
2019-08-04,8
2019-08-11,8
2019-08-18,9
2019-08-25,7
2019-09-01,7
2019-09-08,8
2019-09-15,8
2019-09-22,7
2019-09-29,7
2019-10-06,7
2019-10-13,9
2019-10-20,7
2019-10-27,7
2019-11-03,8
2019-11-10,8
2019-11-17,8
2019-11-24,7
2019-12-01,7
2019-12-08,7
2019-12-15,8
2019-12-22,7
2019-12-29,7
2020-01-05,7
2020-01-12,8
2020-01-19,8
2020-01-26,7
2020-02-02,7
2020-02-09,7
2020-02-16,8
2020-02-23,8
2020-03-01,8
2020-03-08,9
2020-03-15,7
2020-03-22,6
2020-03-29,6
2020-04-05,7
2020-04-12,7
2020-04-19,6
2020-04-26,6
2020-05-03,6
2020-05-10,6
2020-05-17,7
2020-05-24,7
2020-05-31,7
2020-06-07,8
2020-06-14,7
2020-06-21,8
2020-06-28,7
2020-07-05,7
2020-07-12,7
2020-07-19,8
2020-07-26,8
2020-08-02,8
2020-08-09,8
2020-08-16,8
2020-08-23,8
2020-08-30,8
2020-09-06,8
2020-09-13,8
2020-09-20,7
2020-09-27,7
2020-10-04,7
2020-10-11,7
2020-10-18,7
2020-10-25,6
2020-11-01,7
2020-11-08,7
2020-11-15,7
2020-11-22,6
2020-11-29,7
2020-12-06,6
2020-12-13,6
2020-12-20,6
2020-12-27,7
2021-01-03,9
2021-01-10,7
2021-01-17,7
2021-01-24,7
2021-01-31,8
2021-02-07,8
2021-02-14,8
2021-02-21,10
2021-02-28,8
2021-03-07,9
2021-03-14,8
2021-03-21,8
2021-03-28,11
2021-04-04,10
2021-04-11,10
2021-04-18,13
2021-04-25,22
2021-05-02,17
2021-05-09,19
2021-05-16,21
2021-05-23,14
2021-05-30,14
2021-06-06,17
2021-06-13,14
2021-06-20,13
2021-06-27,12
2021-07-04,10
2021-07-11,11
2021-07-18,11
2021-07-25,12
2021-08-01,11
2021-08-08,13
2021-08-15,34
2021-08-22,30
2021-08-29,73
2021-09-05,90
2021-09-12,66
2021-09-19,40
2021-09-26,32
2021-10-03,39
2021-10-10,37
2021-10-17,45
2021-10-24,48
2021-10-31,68
2021-11-07,72
2021-11-14,56
2021-11-21,48
2021-11-28,55
2021-12-05,46
2021-12-12,45
2021-12-19,42
2021-12-26,42
2022-01-02,59
2022-01-09,53
2022-01-16,57
2022-01-23,63
2022-01-30,58
2022-02-06,48
2022-02-13,45
2022-02-20,41
2022-02-27,40
2022-03-06,34
2022-03-13,33
2022-03-20,35
2022-03-27,48
2022-04-03,44
2022-04-10,38
2022-04-17,38
2022-04-24,40
2022-05-01,44
2022-05-08,54
2022-05-15,42
2022-05-22,38
2022-05-29,46
2022-06-05,34
2022-06-12,37
2022-06-19,39
2022-06-26,30
2022-07-03,25
2022-07-10,24
2022-07-17,27
2022-07-24,25
2022-07-31,34
2022-08-07,24
2022-08-14,22
2022-08-21,20
2022-08-28,20
2022-09-04,20
2022-09-11,21
2022-09-18,19
2022-09-25,19
2022-10-02,17
2022-10-09,17
2022-10-16,17
2022-10-23,18
2022-10-30,20
2022-11-06,61
2022-11-13,37
2022-11-20,24
2022-11-27,18
2022-12-04,16
2022-12-11,16
2022-12-18,14
2022-12-25,26
2023-01-01,28
2023-01-08,30
2023-01-15,28
2023-01-22,21
2023-01-29,20
2023-02-05,17
2023-02-12,17
2023-02-19,18
2023-02-26,17
2023-03-05,16
2023-03-12,17
2023-03-19,18
2023-03-26,16
2023-04-02,14
2023-04-09,20
2023-04-16,18
2023-04-23,15
2023-04-30,14
2023-05-07,14
2023-05-14,13
2023-05-21,13
2023-05-28,14
2023-06-04,17
2023-06-11,17
2023-06-18,14
2023-06-25,15
2023-07-02,16
2023-07-09,22
2023-07-16,17
2023-07-23,15
2023-07-30,14
2023-08-06,14
2023-08-13,15
2023-08-20,14
2023-08-27,13
2023-09-03,15
2023-09-10,15
2023-09-17,13
2023-09-24,12
2023-10-01,15
2023-10-08,11
2023-10-15,17
2023-10-22,23
2023-10-29,36
2023-11-05,37
2023-11-12,43
2023-11-19,33
2023-11-26,29
2023-12-03,45
2023-12-10,45
2023-12-17,69
2023-12-24,88
2023-12-31,56
2024-01-07,47
2024-01-14,41
2024-01-21,40
2024-01-28,45
2024-02-04,43
2024-02-11,44
2024-02-18,35
2024-02-25,52
2024-03-03,69
2024-03-10,92
2024-03-17,100
2024-03-24,72
2024-03-31,70
2024-04-07,59
2024-04-14,50
