Category: All categories

Week,ETF: (Worldwide)
2020-12-27,30
2021-01-03,38
2021-01-10,37
2021-01-17,36
2021-01-24,38
2021-01-31,41
2021-02-07,42
2021-02-14,45
2021-02-21,40
2021-02-28,43
2021-03-07,36
2021-03-14,33
2021-03-21,29
2021-03-28,29
2021-04-04,29
2021-04-11,31
2021-04-18,31
2021-04-25,29
2021-05-02,31
2021-05-09,31
2021-05-16,27
2021-05-23,26
2021-05-30,25
2021-06-06,25
2021-06-13,24
2021-06-20,25
2021-06-27,25
2021-07-04,25
2021-07-11,24
2021-07-18,24
2021-07-25,24
2021-08-01,23
2021-08-08,24
2021-08-15,22
2021-08-22,24
2021-08-29,25
2021-09-05,23
2021-09-12,24
2021-09-19,24
2021-09-26,24
2021-10-03,24
2021-10-10,29
2021-10-17,41
2021-10-24,29
2021-10-31,30
2021-11-07,30
2021-11-14,29
2021-11-21,26
2021-11-28,28
2021-12-05,26
2021-12-12,25
2021-12-19,23
2021-12-26,30
2022-01-02,41
2022-01-09,34
2022-01-16,32
2022-01-23,35
2022-01-30,32
2022-02-06,29
2022-02-13,28
2022-02-20,32
2022-02-27,33
2022-03-06,33
2022-03-13,29
2022-03-20,28
2022-03-27,27
2022-04-03,26
2022-04-10,23
2022-04-17,25
2022-04-24,24
2022-05-01,24
2022-05-08,25
2022-05-15,21
2022-05-22,20
2022-05-29,19
2022-06-05,20
2022-06-12,23
2022-06-19,21
2022-06-26,19
2022-07-03,20
2022-07-10,19
2022-07-17,18
2022-07-24,19
2022-07-31,19
2022-08-07,20
2022-08-14,21
2022-08-21,20
2022-08-28,18
2022-09-04,17
2022-09-11,19
2022-09-18,19
2022-09-25,20
2022-10-02,19
2022-10-09,18
2022-10-16,18
2022-10-23,20
2022-10-30,20
2022-11-06,18
2022-11-13,19
2022-11-20,16
2022-11-27,18
2022-12-04,18
2022-12-11,18
2022-12-18,18
2022-12-25,20
2023-01-01,21
2023-01-08,23
2023-01-15,21
2023-01-22,22
2023-01-29,24
2023-02-05,22
2023-02-12,21
2023-02-19,20
2023-02-26,20
2023-03-05,22
2023-03-12,23
2023-03-19,21
2023-03-26,20
2023-04-02,19
2023-04-09,21
2023-04-16,20
2023-04-23,18
2023-04-30,18
2023-05-07,17
2023-05-14,18
2023-05-21,20
2023-05-28,21
2023-06-04,21
2023-06-11,24
2023-06-18,23
2023-06-25,23
2023-07-02,22
2023-07-09,24
2023-07-16,24
2023-07-23,24
2023-07-30,24
2023-08-06,23
2023-08-13,21
2023-08-20,21
2023-08-27,25
2023-09-03,23
2023-09-10,22
2023-09-17,21
2023-09-24,22
2023-10-01,23
2023-10-08,22
2023-10-15,24
2023-10-22,26
2023-10-29,24
2023-11-05,25
2023-11-12,26
2023-11-19,23
2023-11-26,26
2023-12-03,30
2023-12-10,30
2023-12-17,32
2023-12-24,36
2023-12-31,52
2024-01-07,100
2024-01-14,39
2024-01-21,36
2024-01-28,37
2024-02-04,36
2024-02-11,39
2024-02-18,37
2024-02-25,42
2024-03-03,47
2024-03-10,43
2024-03-17,39
2024-03-24,37
2024-03-31,37
2024-04-07,35
2024-04-14,33
2024-04-21,31
2024-04-28,31
