Category: All categories

Week,Blackrock: (Worldwide)
2020-12-27,29
2021-01-03,32
2021-01-10,37
2021-01-17,38
2021-01-24,42
2021-01-31,45
2021-02-07,36
2021-02-14,35
2021-02-21,32
2021-02-28,31
2021-03-07,33
2021-03-14,30
2021-03-21,32
2021-03-28,30
2021-04-04,35
2021-04-11,35
2021-04-18,45
2021-04-25,46
2021-05-02,34
2021-05-09,32
2021-05-16,30
2021-05-23,35
2021-05-30,30
2021-06-06,40
2021-06-13,38
2021-06-20,35
2021-06-27,31
2021-07-04,31
2021-07-11,37
2021-07-18,34
2021-07-25,36
2021-08-01,35
2021-08-08,35
2021-08-15,34
2021-08-22,34
2021-08-29,32
2021-09-05,36
2021-09-12,38
2021-09-19,38
2021-09-26,35
2021-10-03,36
2021-10-10,37
2021-10-17,39
2021-10-24,36
2021-10-31,36
2021-11-07,39
2021-11-14,39
2021-11-21,36
2021-11-28,34
2021-12-05,32
2021-12-12,34
2021-12-19,33
2021-12-26,33
2022-01-02,38
2022-01-09,38
2022-01-16,41
2022-01-23,39
2022-01-30,41
2022-02-06,44
2022-02-13,48
2022-02-20,35
2022-02-27,40
2022-03-06,53
2022-03-13,49
2022-03-20,49
2022-03-27,51
2022-04-03,47
2022-04-10,50
2022-04-17,47
2022-04-24,44
2022-05-01,45
2022-05-08,53
2022-05-15,40
2022-05-22,38
2022-05-29,44
2022-06-05,42
2022-06-12,61
2022-06-19,52
2022-06-26,46
2022-07-03,40
2022-07-10,47
2022-07-17,51
2022-07-24,46
2022-07-31,54
2022-08-07,66
2022-08-14,55
2022-08-21,50
2022-08-28,47
2022-09-04,44
2022-09-11,47
2022-09-18,43
2022-09-25,50
2022-10-02,45
2022-10-09,45
2022-10-16,43
2022-10-23,47
2022-10-30,46
2022-11-06,53
2022-11-13,52
2022-11-20,37
2022-11-27,52
2022-12-04,50
2022-12-11,42
2022-12-18,35
2022-12-25,47
2023-01-01,57
2023-01-08,57
2023-01-15,50
2023-01-22,48
2023-01-29,50
2023-02-05,51
2023-02-12,48
2023-02-19,48
2023-02-26,45
2023-03-05,47
2023-03-12,52
2023-03-19,50
2023-03-26,45
2023-04-02,73
2023-04-09,54
2023-04-16,43
2023-04-23,50
2023-04-30,45
2023-05-07,44
2023-05-14,44
2023-05-21,46
2023-05-28,45
2023-06-04,50
2023-06-11,62
2023-06-18,72
2023-06-25,62
2023-07-02,70
2023-07-09,71
2023-07-16,70
2023-07-23,62
2023-07-30,61
2023-08-06,65
2023-08-13,76
2023-08-20,62
2023-08-27,63
2023-09-03,61
2023-09-10,59
2023-09-17,56
2023-09-24,60
2023-10-01,56
2023-10-08,58
2023-10-15,63
2023-10-22,75
2023-10-29,59
2023-11-05,62
2023-11-12,64
2023-11-19,53
2023-11-26,56
2023-12-03,63
2023-12-10,62
2023-12-17,57
2023-12-24,49
2023-12-31,59
2024-01-07,93
2024-01-14,69
2024-01-21,69
2024-01-28,64
2024-02-04,62
2024-02-11,66
2024-02-18,63
2024-02-25,67
2024-03-03,78
2024-03-10,67
2024-03-17,69
2024-03-24,100
2024-03-31,64
2024-04-07,63
2024-04-14,66
2024-04-21,61
2024-04-28,50
