Category: All categories

Week,Halving: (Worldwide)
2020-12-27,1
2021-01-03,1
2021-01-10,1
2021-01-17,1
2021-01-24,1
2021-01-31,1
2021-02-07,1
2021-02-14,1
2021-02-21,1
2021-02-28,1
2021-03-07,1
2021-03-14,1
2021-03-21,1
2021-03-28,1
2021-04-04,1
2021-04-11,1
2021-04-18,1
2021-04-25,1
2021-05-02,1
2021-05-09,1
2021-05-16,1
2021-05-23,1
2021-05-30,1
2021-06-06,1
2021-06-13,1
2021-06-20,1
2021-06-27,1
2021-07-04,1
2021-07-11,1
2021-07-18,1
2021-07-25,1
2021-08-01,1
2021-08-08,1
2021-08-15,1
2021-08-22,1
2021-08-29,1
2021-09-05,1
2021-09-12,1
2021-09-19,1
2021-09-26,1
2021-10-03,1
2021-10-10,1
2021-10-17,1
2021-10-24,1
2021-10-31,1
2021-11-07,1
2021-11-14,1
2021-11-21,1
2021-11-28,1
2021-12-05,1
2021-12-12,1
2021-12-19,1
2021-12-26,1
2022-01-02,2
2022-01-09,2
2022-01-16,1
2022-01-23,1
2022-01-30,1
2022-02-06,1
2022-02-13,1
2022-02-20,1
2022-02-27,1
2022-03-06,1
2022-03-13,1
2022-03-20,1
2022-03-27,1
2022-04-03,1
2022-04-10,1
2022-04-17,1
2022-04-24,1
2022-05-01,1
2022-05-08,2
2022-05-15,1
2022-05-22,1
2022-05-29,1
2022-06-05,1
2022-06-12,2
2022-06-19,1
2022-06-26,1
2022-07-03,1
2022-07-10,1
2022-07-17,1
2022-07-24,1
2022-07-31,1
2022-08-07,1
2022-08-14,1
2022-08-21,1
2022-08-28,1
2022-09-04,1
2022-09-11,1
2022-09-18,1
2022-09-25,1
2022-10-02,1
2022-10-09,1
2022-10-16,1
2022-10-23,1
2022-10-30,1
2022-11-06,1
2022-11-13,1
2022-11-20,1
2022-11-27,1
2022-12-04,1
2022-12-11,1
2022-12-18,1
2022-12-25,1
2023-01-01,1
2023-01-08,1
2023-01-15,1
2023-01-22,1
2023-01-29,1
2023-02-05,1
2023-02-12,1
2023-02-19,1
2023-02-26,1
2023-03-05,1
2023-03-12,1
2023-03-19,1
2023-03-26,1
2023-04-02,1
2023-04-09,1
2023-04-16,1
2023-04-23,2
2023-04-30,1
2023-05-07,1
2023-05-14,1
2023-05-21,1
2023-05-28,1
2023-06-04,1
2023-06-11,1
2023-06-18,2
2023-06-25,2
2023-07-02,2
2023-07-09,2
2023-07-16,2
2023-07-23,2
2023-07-30,5
2023-08-06,1
2023-08-13,2
2023-08-20,2
2023-08-27,1
2023-09-03,1
2023-09-10,1
2023-09-17,1
2023-09-24,2
2023-10-01,2
2023-10-08,2
2023-10-15,2
2023-10-22,3
2023-10-29,2
2023-11-05,3
2023-11-12,3
2023-11-19,2
2023-11-26,2
2023-12-03,4
2023-12-10,3
2023-12-17,3
2023-12-24,3
2023-12-31,4
2024-01-07,5
2024-01-14,4
2024-01-21,4
2024-01-28,4
2024-02-04,5
2024-02-11,8
2024-02-18,6
2024-02-25,16
2024-03-03,18
2024-03-10,17
2024-03-17,15
2024-03-24,16
2024-03-31,24
2024-04-07,35
2024-04-14,100
2024-04-21,15
2024-04-28,5
