Category: All categories

Week,MicroStrategy: (Worldwide)
2020-12-27,17
2021-01-03,30
2021-01-10,28
2021-01-17,24
2021-01-24,24
2021-01-31,34
2021-02-07,56
2021-02-14,47
2021-02-21,49
2021-02-28,35
2021-03-07,29
2021-03-14,24
2021-03-21,19
2021-03-28,16
2021-04-04,18
2021-04-11,23
2021-04-18,19
2021-04-25,21
2021-05-02,16
2021-05-09,20
2021-05-16,29
2021-05-23,19
2021-05-30,15
2021-06-06,28
2021-06-13,26
2021-06-20,34
2021-06-27,21
2021-07-04,15
2021-07-11,16
2021-07-18,17
2021-07-25,21
2021-08-01,15
2021-08-08,18
2021-08-15,14
2021-08-22,17
2021-08-29,14
2021-09-05,14
2021-09-12,20
2021-09-19,15
2021-09-26,15
2021-10-03,17
2021-10-10,17
2021-10-17,21
2021-10-24,18
2021-10-31,16
2021-11-07,19
2021-11-14,15
2021-11-21,14
2021-11-28,21
2021-12-05,19
2021-12-12,15
2021-12-19,13
2021-12-26,14
2022-01-02,17
2022-01-09,15
2022-01-16,25
2022-01-23,32
2022-01-30,28
2022-02-06,20
2022-02-13,17
2022-02-20,15
2022-02-27,14
2022-03-06,14
2022-03-13,12
2022-03-20,14
2022-03-27,17
2022-04-03,18
2022-04-10,15
2022-04-17,15
2022-04-24,15
2022-05-01,17
2022-05-08,46
2022-05-15,23
2022-05-22,17
2022-05-29,16
2022-06-05,16
2022-06-12,65
2022-06-19,24
2022-06-26,23
2022-07-03,17
2022-07-10,15
2022-07-17,14
2022-07-24,14
2022-07-31,26
2022-08-07,18
2022-08-14,14
2022-08-21,12
2022-08-28,14
2022-09-04,16
2022-09-11,16
2022-09-18,18
2022-09-25,14
2022-10-02,12
2022-10-09,11
2022-10-16,11
2022-10-23,13
2022-10-30,11
2022-11-06,22
2022-11-13,19
2022-11-20,13
2022-11-27,11
2022-12-04,11
2022-12-11,12
2022-12-18,11
2022-12-25,13
2023-01-01,12
2023-01-08,15
2023-01-15,15
2023-01-22,12
2023-01-29,15
2023-02-05,12
2023-02-12,12
2023-02-19,11
2023-02-26,11
2023-03-05,12
2023-03-12,15
2023-03-19,15
2023-03-26,17
2023-04-02,16
2023-04-09,17
2023-04-16,13
2023-04-23,13
2023-04-30,16
2023-05-07,14
2023-05-14,12
2023-05-21,13
2023-05-28,12
2023-06-04,12
2023-06-11,16
2023-06-18,16
2023-06-25,18
2023-07-02,17
2023-07-09,19
2023-07-16,18
2023-07-23,14
2023-07-30,20
2023-08-06,16
2023-08-13,15
2023-08-20,13
2023-08-27,15
2023-09-03,13
2023-09-10,13
2023-09-17,12
2023-09-24,17
2023-10-01,13
2023-10-08,12
2023-10-15,15
2023-10-22,23
2023-10-29,19
2023-11-05,19
2023-11-12,20
2023-11-19,15
2023-11-26,23
2023-12-03,29
2023-12-10,20
2023-12-17,19
2023-12-24,25
2023-12-31,26
2024-01-07,35
2024-01-14,23
2024-01-21,20
2024-01-28,19
2024-02-04,24
2024-02-11,39
2024-02-18,23
2024-02-25,58
2024-03-03,69
2024-03-10,100
2024-03-17,68
2024-03-24,67
2024-03-31,56
2024-04-07,49
2024-04-14,42
2024-04-21,38
2024-04-28,36
