Category: All categories

Week,tokenomics: (Worldwide)
2020-12-27,7
2021-01-03,7
2021-01-10,6
2021-01-17,10
2021-01-24,7
2021-01-31,12
2021-02-07,15
2021-02-14,13
2021-02-21,20
2021-02-28,18
2021-03-07,19
2021-03-14,27
2021-03-21,31
2021-03-28,33
2021-04-04,31
2021-04-11,34
2021-04-18,48
2021-04-25,48
2021-05-02,61
2021-05-09,75
2021-05-16,53
2021-05-23,43
2021-05-30,48
2021-06-06,38
2021-06-13,38
2021-06-20,32
2021-06-27,23
2021-07-04,24
2021-07-11,30
2021-07-18,20
2021-07-25,23
2021-08-01,26
2021-08-08,23
2021-08-15,35
2021-08-22,33
2021-08-29,42
2021-09-05,47
2021-09-12,41
2021-09-19,32
2021-09-26,32
2021-10-03,41
2021-10-10,42
2021-10-17,44
2021-10-24,63
2021-10-31,70
2021-11-07,77
2021-11-14,68
2021-11-21,78
2021-11-28,71
2021-12-05,62
2021-12-12,52
2021-12-19,64
2021-12-26,66
2022-01-02,90
2022-01-09,95
2022-01-16,86
2022-01-23,84
2022-01-30,79
2022-02-06,82
2022-02-13,74
2022-02-20,66
2022-02-27,55
2022-03-06,65
2022-03-13,64
2022-03-20,73
2022-03-27,74
2022-04-03,72
2022-04-10,69
2022-04-17,67
2022-04-24,63
2022-05-01,67
2022-05-08,66
2022-05-15,55
2022-05-22,56
2022-05-29,48
2022-06-05,45
2022-06-12,39
2022-06-19,40
2022-06-26,39
2022-07-03,34
2022-07-10,30
2022-07-17,39
2022-07-24,39
2022-07-31,33
2022-08-07,35
2022-08-14,35
2022-08-21,33
2022-08-28,35
2022-09-04,33
2022-09-11,37
2022-09-18,32
2022-09-25,35
2022-10-02,34
2022-10-09,36
2022-10-16,59
2022-10-23,45
2022-10-30,39
2022-11-06,40
2022-11-13,36
2022-11-20,39
2022-11-27,31
2022-12-04,32
2022-12-11,30
2022-12-18,28
2022-12-25,34
2023-01-01,29
2023-01-08,39
2023-01-15,31
2023-01-22,36
2023-01-29,37
2023-02-05,34
2023-02-12,35
2023-02-19,33
2023-02-26,32
2023-03-05,31
2023-03-12,42
2023-03-19,36
2023-03-26,29
2023-04-02,31
2023-04-09,32
2023-04-16,35
2023-04-23,33
2023-04-30,35
2023-05-07,36
2023-05-14,30
2023-05-21,33
2023-05-28,29
2023-06-04,25
2023-06-11,25
2023-06-18,24
2023-06-25,25
2023-07-02,27
2023-07-09,37
2023-07-16,35
2023-07-23,35
2023-07-30,30
2023-08-06,35
2023-08-13,100
2023-08-20,41
2023-08-27,24
2023-09-03,26
2023-09-10,29
2023-09-17,30
2023-09-24,31
2023-10-01,23
2023-10-08,27
2023-10-15,30
2023-10-22,36
2023-10-29,35
2023-11-05,41
2023-11-12,42
2023-11-19,49
2023-11-26,45
2023-12-03,52
2023-12-10,52
2023-12-17,53
2023-12-24,54
2023-12-31,68
2024-01-07,50
2024-01-14,60
2024-01-21,59
2024-01-28,59
2024-02-04,65
2024-02-11,76
2024-02-18,80
2024-02-25,75
2024-03-03,89
2024-03-10,95
2024-03-17,82
2024-03-24,90
2024-03-31,81
2024-04-07,72
2024-04-14,71
2024-04-21,56
2024-04-28,54
