Category: All categories

Country,XRP: (4/14/19 - 4/14/24)
Gibraltar,
Jersey,
Isle of Man,
Guernsey,
Curaçao,
Ireland,100
Slovenia,96
Australia,95
Cayman Islands,
Malta,
Cyprus,92
Türkiye,86
Bermuda,
Netherlands,79
United Kingdom,77
Liechtenstein,
Sint Maarten,
Canada,74
Palau,
South Africa,71
Singapore,67
Switzerland,66
Bahrain,
St. Helena,
Luxembourg,
St. Martin,
Guam,
Philippines,61
U.S. Virgin Islands,
Faroe Islands,
New Zealand,56
Finland,55
Norway,55
Malaysia,54
Caribbean Netherlands,
Belgium,52
Kosovo,
United Arab Emirates,50
Andorra,
United States,50
Aruba,
Eswatini,
Estonia,
Nigeria,42
Austria,42
Germany,41
Antigua & Barbuda,
Turks & Caicos Islands,
Bahamas,
Croatia,36
North Macedonia,
Latvia,
Namibia,
Åland Islands,
Lebanon,
Montenegro,
Seychelles,
Equatorial Guinea,
Barbados,
Kuwait,
Qatar,
St. Lucia,
Vanuatu,
Djibouti,
British Virgin Islands,
Mongolia,
Iceland,
Greece,26
Lesotho,
Maldives,
Lithuania,25
Grenada,
French Polynesia,
Romania,25
St. Kitts & Nevis,
South Korea,25
Poland,25
Northern Mariana Islands,
New Caledonia,
Portugal,24
Afghanistan,
Denmark,23
Suriname,
French Guiana,
Bulgaria,22
Laos,
Pakistan,21
Albania,
Georgia,
Trinidad & Tobago,
China,
Gambia,
Sweden,20
Israel,20
Spain,20
Oman,
Belize,
Cambodia,
Jamaica,
St. Barthélemy,
France,18
Papua New Guinea,
Puerto Rico,
Dominica,
Serbia,17
Saudi Arabia,17
Armenia,
Czechia,16
Cape Verde,
Slovakia,16
Botswana,
Mauritius,
Moldova,
Brunei,
Bosnia & Herzegovina,
Jordan,
Hungary,15
Thailand,15
Benin,
Azerbaijan,
Madagascar,
Palestine,
Western Sahara,
San Marino,
Morocco,14
Brazil,13
Sri Lanka,
Macao,
Ukraine,13
Turkmenistan,
Zimbabwe,
Martinique,
Guadeloupe,
South Sudan,
Panama,
Réunion,
Hong Kong,12
Somalia,
Mexico,11
Timor-Leste,
Rwanda,
Fiji,
Indonesia,11
Kenya,
Guyana,
Vietnam,10
Ethiopia,
Niger,
Costa Rica,
Mauritania,
Italy,9
Myanmar (Burma),
Cuba,
Russia,9
Libya,
Nepal,
Burkina Faso,
Japan,9
Venezuela,
Ghana,
Tunisia,
Argentina,8
Mozambique,
Cameroon,
Dominican Republic,
Côte d’Ivoire,
Belarus,
Bhutan,
Kyrgyzstan,
Syria,
Burundi,
Uganda,
India,7
Kazakhstan,
Togo,
Iraq,
Angola,
Tanzania,
Liberia,
Colombia,6
Malawi,
Bangladesh,
Iran,6
Uruguay,
Tajikistan,
Senegal,
Algeria,
El Salvador,
Guinea,
Zambia,
Uzbekistan,
Gabon,
Yemen,
Haiti,
Chile,
Mali,
Egypt,
Sierra Leone,
Honduras,
Paraguay,
Congo - Brazzaville,
Peru,
Guatemala,
Bolivia,
Taiwan,3
Nicaragua,
Ecuador,
Congo - Kinshasa,
Sudan,
São Tomé & Príncipe,
Bouvet Island,
Monaco,
Christmas Island,
St. Pierre & Miquelon,
Comoros,
French Southern Territories,
Chad,
Solomon Islands,
Eritrea,
Svalbard & Jan Mayen,
Tokelau,
Kiribati,
Montserrat,
Tonga,
Falkland Islands (Islas Malvinas),
British Indian Ocean Territory,
Antarctica,
Tuvalu,
South Georgia & South Sandwich Islands,
Cook Islands,
Micronesia,
Mayotte,
U.S. Outlying Islands,
Norfolk Island,
American Samoa,
Niue,
Vatican City,
St. Vincent & Grenadines,
Heard & McDonald Islands,
Cocos (Keeling) Islands,
Guinea-Bissau,
Greenland,
Pitcairn Islands,
Wallis & Futuna,
Samoa,
Anguilla,
North Korea,
Nauru,
Central African Republic,
Marshall Islands,
