Category: All categories

Country,bnb: (4/14/19 - 4/14/24)
Bhutan,
Bolivia,100
Cook Islands,
New Zealand,41
St. Pierre & Miquelon,
St. Martin,
French Polynesia,
Australia,30
Bermuda,
Falkland Islands (Islas Malvinas),
Ireland,27
Martinique,
Guadeloupe,
French Guiana,
Gibraltar,
Bahamas,
Jersey,
South Africa,24
United Kingdom,23
St. Barthélemy,
Mayotte,
Réunion,
Turks & Caicos Islands,
Guernsey,
France,21
Belgium,20
Cayman Islands,
New Caledonia,
U.S. Virgin Islands,
Sint Maarten,
Canada,18
Bulgaria,17
Isle of Man,
Antigua & Barbuda,
Nigeria,15
Zimbabwe,
Kenya,14
St. Helena,
Madagascar,
Palau,
Jamaica,
Guam,
Barbados,
Caribbean Netherlands,
British Virgin Islands,
United States,12
Vanuatu,
Philippines,12
St. Lucia,
Malta,
Namibia,
Samoa,
Curaçao,
Switzerland,11
Luxembourg,
Fiji,
Benin,
St. Kitts & Nevis,
Botswana,
Liechtenstein,
Grenada,
Aruba,
Cyprus,
Andorra,
Sierra Leone,
St. Vincent & Grenadines,
Lesotho,
Pakistan,9
Faroe Islands,
Eswatini,
Togo,
Seychelles,
Northern Mariana Islands,
Venezuela,8
Netherlands,8
Tonga,
Puerto Rico,
United Arab Emirates,7
Singapore,7
Trinidad & Tobago,
American Samoa,
Dominica,
Djibouti,
Belize,
Italy,7
Germany,7
Mauritius,
Åland Islands,
Liberia,
China,
Austria,6
Malaysia,6
Rwanda,
Finland,6
Kosovo,
Cameroon,
Albania,
Côte d’Ivoire,
Maldives,
Burkina Faso,
Ghana,
Slovenia,
Greenland,
Norway,6
Spain,6
North Macedonia,
Portugal,6
Brunei,
Greece,5
Brazil,5
Hong Kong,5
Croatia,5
San Marino,
Morocco,5
Denmark,5
Sri Lanka,
Guinea,
Türkiye,5
Cuba,
Estonia,
Burundi,
Iceland,
Tanzania,
Sweden,5
Qatar,
Israel,4
Romania,4
Montenegro,
Papua New Guinea,
Western Sahara,
Cape Verde,
Lithuania,
Gambia,
Lebanon,
Latvia,
Macao,
Senegal,
Thailand,4
Bahrain,
Cambodia,
Guyana,
Bangladesh,4
Indonesia,4
Costa Rica,
Uganda,
Afghanistan,
Nepal,
Haiti,
Uruguay,
Laos,
Georgia,
Panama,
Ethiopia,
Suriname,
Dominican Republic,
Serbia,
Somalia,
Malawi,
Congo - Brazzaville,
Central African Republic,
Myanmar (Burma),
Mongolia,
Niger,
Vietnam,3
Tunisia,
Argentina,2
Taiwan,2
Colombia,2
Gabon,
Zambia,
El Salvador,
Belarus,
Czechia,2
Kuwait,
Mali,
Moldova,
Ecuador,
South Sudan,
Ukraine,2
Armenia,
South Korea,2
Mozambique,
Peru,2
Poland,2
Iran,2
India,2
Guinea-Bissau,
Mauritania,
Oman,
Equatorial Guinea,
Angola,
Bosnia & Herzegovina,
Slovakia,
Jordan,
Chile,2
Hungary,
Algeria,
Palestine,
Mexico,1
Chad,
Honduras,
Azerbaijan,
Nicaragua,
Congo - Kinshasa,
Russia,1
Uzbekistan,
Paraguay,
Saudi Arabia,1
Turkmenistan,
Timor-Leste,
Yemen,
Guatemala,
Kyrgyzstan,
Libya,
Egypt,
Tajikistan,
Kazakhstan,
Syria,
Japan,<1
Sudan,
Iraq,
U.S. Outlying Islands,
Nauru,
Solomon Islands,
São Tomé & Príncipe,
Svalbard & Jan Mayen,
Micronesia,
Tuvalu,
Tokelau,
South Georgia & South Sandwich Islands,
British Indian Ocean Territory,
Bouvet Island,
Eritrea,
Marshall Islands,
French Southern Territories,
Kiribati,
Vatican City,
Antarctica,
Cocos (Keeling) Islands,
Montserrat,
North Korea,
Heard & McDonald Islands,
Anguilla,
Wallis & Futuna,
Christmas Island,
Comoros,
Norfolk Island,
Pitcairn Islands,
Niue,
Monaco,
