Category: All categories

Country,cardano: (4/14/19 - 4/14/24)
Netherlands,100
Gibraltar,
Andorra,
Liechtenstein,
Italy,61
Switzerland,60
Austria,58
Luxembourg,
Slovenia,51
Caribbean Netherlands,
Belgium,45
North Macedonia,
Singapore,43
Cyprus,43
Curaçao,
Ireland,42
Isle of Man,
Cayman Islands,
Germany,41
Malta,
Australia,39
Croatia,39
Faroe Islands,
Guernsey,
Jersey,
Spain,36
Portugal,36
Åland Islands,
Bermuda,
Canada,32
Guam,
St. Helena,
Aruba,
St. Martin,
Estonia,
United Kingdom,28
New Zealand,27
Czechia,27
Iceland,
United States,25
San Marino,
Greece,25
U.S. Virgin Islands,
Montenegro,
Slovakia,24
Sint Maarten,
Norway,23
Barbados,
Bulgaria,22
Kosovo,
Finland,21
United Arab Emirates,21
Romania,21
Sweden,21
Puerto Rico,
Cuba,
St. Kitts & Nevis,
Antigua & Barbuda,
Equatorial Guinea,
Lebanon,
French Polynesia,
Maldives,
Lithuania,17
South Africa,17
Seychelles,
Albania,
Bahamas,
Türkiye,16
Namibia,
Latvia,
French Guiana,
Argentina,15
Eswatini,
Bahrain,
Serbia,15
Panama,
Mauritius,
Trinidad & Tobago,
Brazil,14
France,13
Benin,
St. Lucia,
China,
Suriname,
Philippines,12
Brunei,
Denmark,12
Nigeria,12
Martinique,
Somalia,
Costa Rica,
St. Vincent & Grenadines,
Qatar,
Venezuela,11
Poland,11
Malaysia,10
Grenada,
Bosnia & Herzegovina,
Réunion,
Belize,
Burkina Faso,
Colombia,10
Afghanistan,
Israel,10
Georgia,
New Caledonia,
Madagascar,
Kuwait,
El Salvador,
Western Sahara,
Hungary,9
Pakistan,9
Dominican Republic,
Peru,9
Hong Kong,9
Kenya,
Cape Verde,
Timor-Leste,
Mongolia,
Uruguay,
Togo,
Cambodia,
Ethiopia,
Burundi,
Mauritania,
Angola,
Indonesia,7
Mozambique,
Botswana,
Chile,7
Morocco,
Macao,
Moldova,
Cameroon,
Sri Lanka,
Gambia,
Laos,
Lesotho,
Ecuador,
Niger,
Mexico,6
Jamaica,
Nepal,
Jordan,
Honduras,
Côte d’Ivoire,
Ghana,
Malawi,
Liberia,
Bhutan,
Guatemala,
Armenia,
Azerbaijan,
Oman,
Thailand,5
Zimbabwe,
India,5
Paraguay,
Uganda,
Bolivia,
South Korea,4
Ukraine,4
Guyana,
Palestine,
Tanzania,
Tunisia,
Guadeloupe,
Rwanda,
Mali,
Guinea,
Papua New Guinea,
Myanmar (Burma),
Gabon,
Nicaragua,
Iran,3
Saudi Arabia,3
Vietnam,3
Russia,3
Sierra Leone,
Haiti,
Turkmenistan,
Senegal,
Tajikistan,
Zambia,
Kazakhstan,
Congo - Kinshasa,
Belarus,
Fiji,
Iraq,
Taiwan,2
Kyrgyzstan,
Uzbekistan,
Algeria,
Bangladesh,
Libya,
Syria,
Egypt,
Yemen,
Sudan,
Japan,<1
Heard & McDonald Islands,
Djibouti,
Cook Islands,
St. Pierre & Miquelon,
Marshall Islands,
South Sudan,
São Tomé & Príncipe,
Solomon Islands,
Monaco,
Cocos (Keeling) Islands,
Central African Republic,
Svalbard & Jan Mayen,
Bouvet Island,
Comoros,
South Georgia & South Sandwich Islands,
Turks & Caicos Islands,
Chad,
Christmas Island,
Dominica,
North Korea,
Tokelau,
Eritrea,
Palau,
Tonga,
St. Barthélemy,
Falkland Islands (Islas Malvinas),
Micronesia,
Tuvalu,
Pitcairn Islands,
British Indian Ocean Territory,
Nauru,
Northern Mariana Islands,
U.S. Outlying Islands,
Kiribati,
French Southern Territories,
Niue,
Vatican City,
Antarctica,
American Samoa,
British Virgin Islands,
Guinea-Bissau,
Norfolk Island,
Vanuatu,
Wallis & Futuna,
Samoa,
Anguilla,
Greenland,
Montserrat,
Mayotte,
Congo - Brazzaville,
