Category: All categories

Country,dogecoin: (4/14/19 - 4/14/24)
Türkiye,100
United States,86
Kosovo,
Canada,67
Singapore,61
Gibraltar,
Faroe Islands,
U.S. Virgin Islands,
Benin,
Netherlands,55
Guam,
Sint Maarten,
Bermuda,
Nigeria,53
Pakistan,51
Cyprus,
Aruba,
Cayman Islands,
North Macedonia,
Albania,
Jersey,
Liechtenstein,
Isle of Man,
St. Kitts & Nevis,
Australia,41
Austria,40
Turks & Caicos Islands,
Maldives,
Malta,
Togo,
Curaçao,
Burkina Faso,
Guernsey,
Somalia,
Slovenia,
Greenland,
Luxembourg,
Åland Islands,
St. Martin,
Switzerland,34
Estonia,
United Arab Emirates,34
Ireland,33
British Virgin Islands,
Germany,33
St. Helena,
Afghanistan,
Madagascar,
Belgium,32
Djibouti,
Georgia,
United Kingdom,31
Lebanon,
Côte d’Ivoire,
New Zealand,30
Finland,29
Norway,29
Andorra,
Northern Mariana Islands,
Bahamas,
Rwanda,
French Polynesia,
Iceland,
India,26
China,
Nepal,
Latvia,
Caribbean Netherlands,
Qatar,
Dominica,
Bahrain,
Lithuania,
Antigua & Barbuda,
St. Lucia,
South Africa,24
Cameroon,
Bulgaria,23
Venezuela,23
St. Vincent & Grenadines,
Denmark,23
Sweden,22
Burundi,
Eswatini,
Czechia,22
Brunei,
Suriname,
Armenia,
Malaysia,22
Puerto Rico,
Portugal,21
San Marino,
Grenada,
Romania,21
Mongolia,
Trinidad & Tobago,
Montenegro,
Namibia,
Azerbaijan,
Israel,20
Bhutan,
Botswana,
Western Sahara,
Sri Lanka,
Slovakia,19
Lesotho,
Cambodia,
Barbados,
Serbia,18
Ghana,
Jordan,
Croatia,18
Kuwait,
Cuba,
Spain,18
Hong Kong,18
Mauritius,
Poland,18
Morocco,17
Moldova,
Greece,17
Kenya,
Philippines,16
Oman,
Italy,16
Macao,
Jamaica,
Ethiopia,
Haiti,
Brazil,16
Bangladesh,15
Guyana,
Tanzania,
Hungary,15
Belize,
Panama,
Seychelles,
Indonesia,14
Uganda,
Tunisia,
El Salvador,
Bosnia & Herzegovina,
Dominican Republic,
Niger,
Zimbabwe,
Ukraine,13
Thailand,13
Liberia,
Laos,
France,12
Gambia,
Myanmar (Burma),
Syria,
Mozambique,
Costa Rica,
Palestine,
South Sudan,
Congo - Brazzaville,
St. Barthélemy,
Colombia,10
Mexico,10
Uzbekistan,
Argentina,10
Angola,
Tajikistan,
Gabon,
Turkmenistan,
Vietnam,9
Guinea,
Paraguay,
New Caledonia,
Russia,9
Guadeloupe,
Martinique,
Saudi Arabia,9
Iraq,
Peru,8
Cape Verde,
Malawi,
Fiji,
Senegal,
Sierra Leone,
South Korea,8
Iran,8
Mauritania,
Mali,
Kazakhstan,
Uruguay,
Honduras,
Réunion,
Bolivia,
Chile,7
Ecuador,
Kyrgyzstan,
Belarus,
Libya,
Algeria,
Nicaragua,
Zambia,
Congo - Kinshasa,
Yemen,
Guatemala,
Egypt,5
Papua New Guinea,
Chad,
Sudan,
Taiwan,
Japan,<1
Solomon Islands,
Anguilla,
Eritrea,
Christmas Island,
St. Pierre & Miquelon,
Falkland Islands (Islas Malvinas),
Comoros,
Svalbard & Jan Mayen,
Micronesia,
South Georgia & South Sandwich Islands,
Cook Islands,
Guinea-Bissau,
Equatorial Guinea,
Tokelau,
North Korea,
Timor-Leste,
Tonga,
French Guiana,
Palau,
Cocos (Keeling) Islands,
Tuvalu,
Heard & McDonald Islands,
Central African Republic,
Bouvet Island,
Pitcairn Islands,
U.S. Outlying Islands,
British Indian Ocean Territory,
Nauru,
Niue,
Vatican City,
Kiribati,
French Southern Territories,
Antarctica,
American Samoa,
Norfolk Island,
Vanuatu,
Wallis & Futuna,
Samoa,
Mayotte,
Monaco,
Montserrat,
Marshall Islands,
São Tomé & Príncipe,
