Category: All categories

Country,fetch.ai: (4/14/19 - 4/14/24)
St. Helena,
Netherlands,100
Nigeria,50
Slovenia,50
Türkiye,50
Belgium,50
Singapore,25
Austria,25
Ghana,
Switzerland,25
Portugal,25
United Kingdom,25
Germany,25
Lithuania,
Australia,25
United States,25
Ireland,25
Romania,25
United Arab Emirates,<1
Norway,<1
Canada,<1
Czechia,<1
Israel,<1
New Zealand,<1
Spain,<1
Finland,<1
France,<1
Greece,<1
Italy,<1
Denmark,
Poland,<1
Venezuela,
Pakistan,<1
Sweden,<1
India,<1
Hungary,<1
Philippines,<1
South Korea,<1
Iran,<1
Ukraine,<1
Argentina,<1
Vietnam,<1
Brazil,<1
Colombia,<1
Thailand,<1
Mexico,<1
Russia,<1
Indonesia,<1
Japan,<1
Lebanon,
Zimbabwe,
Cape Verde,
Costa Rica,
Cuba,
Curaçao,
Christmas Island,
Cayman Islands,
Cyprus,
Cook Islands,
Congo - Brazzaville,
Djibouti,
Dominica,
Congo - Kinshasa,
Dominican Republic,
Algeria,
Ecuador,
Egypt,
Eritrea,
Western Sahara,
Cameroon,
Estonia,
Ethiopia,
Côte d’Ivoire,
Fiji,
Falkland Islands (Islas Malvinas),
China,
Faroe Islands,
Micronesia,
Gabon,
Chile,
Georgia,
Guernsey,
Cocos (Keeling) Islands,
Gibraltar,
Guinea,
Guadeloupe,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Central African Republic,
Grenada,
Greenland,
Guatemala,
French Guiana,
Guam,
Guyana,
Hong Kong,
Heard & McDonald Islands,
Honduras,
Croatia,
Haiti,
Botswana,
Bouvet Island,
Isle of Man,
Bhutan,
British Indian Ocean Territory,
Brunei,
Barbados,
Iraq,
Iceland,
Bolivia,
Bermuda,
Jamaica,
Jersey,
Jordan,
Belize,
Kazakhstan,
Kenya,
Kyrgyzstan,
Cambodia,
Kiribati,
St. Kitts & Nevis,
Belarus,
Kuwait,
Laos,
Aruba,
Liberia,
Libya,
St. Lucia,
Liechtenstein,
Sri Lanka,
Lesotho,
St. Barthélemy,
Luxembourg,
Latvia,
Macao,
St. Martin,
Morocco,
Monaco,
Moldova,
Madagascar,
Maldives,
Bosnia & Herzegovina,
Marshall Islands,
North Macedonia,
Mali,
Malta,
Myanmar (Burma),
Montenegro,
Mongolia,
Comoros,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Mauritius,
Malawi,
Malaysia,
Mayotte,
Namibia,
New Caledonia,
Niger,
Norfolk Island,
Bahamas,
Nicaragua,
Niue,
Bahrain,
Bulgaria,
Nepal,
Nauru,
Bangladesh,
Oman,
Burkina Faso,
Panama,
Pitcairn Islands,
Peru,
Caribbean Netherlands,
Palau,
Papua New Guinea,
Benin,
Puerto Rico,
North Korea,
Burundi,
Paraguay,
Palestine,
French Polynesia,
Qatar,
Réunion,
Azerbaijan,
Antigua & Barbuda,
Rwanda,
Saudi Arabia,
Sudan,
Senegal,
French Southern Territories,
South Georgia & South Sandwich Islands,
Antarctica,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
El Salvador,
San Marino,
Somalia,
St. Pierre & Miquelon,
Serbia,
South Sudan,
São Tomé & Príncipe,
Suriname,
Slovakia,
American Samoa,
Armenia,
Eswatini,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Togo,
Andorra,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Trinidad & Tobago,
Tunisia,
Albania,
Tuvalu,
Taiwan,
Tanzania,
Uganda,
Åland Islands,
U.S. Outlying Islands,
Uruguay,
Anguilla,
Uzbekistan,
Vatican City,
St. Vincent & Grenadines,
Angola,
British Virgin Islands,
U.S. Virgin Islands,
Afghanistan,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
South Africa,
Zambia,
Northern Mariana Islands,
