Category: All categories

Country,litecoin: (4/14/19 - 4/14/24)
St. Kitts & Nevis,
Madagascar,
Aruba,
Gibraltar,
Nigeria,100
Liechtenstein,
Mongolia,
Benin,
Venezuela,85
Seychelles,
St. Helena,
Togo,
Cuba,
Guam,
Kosovo,
Malta,
Georgia,57
Ireland,56
Jersey,
Switzerland,55
Netherlands,53
Czechia,53
Cayman Islands,
Antigua & Barbuda,
Pakistan,50
Slovenia,50
Andorra,
Singapore,48
Côte d’Ivoire,
Cyprus,
Canada,47
Lesotho,
United States,47
United Kingdom,46
Bahrain,
Estonia,
Moldova,
Germany,43
Austria,42
Namibia,
Australia,42
Burundi,
North Macedonia,
Slovakia,41
Cameroon,
Burkina Faso,
Luxembourg,
Bermuda,
Türkiye,38
Isle of Man,
Finland,38
U.S. Virgin Islands,
Belgium,36
Sri Lanka,34
South Africa,33
Western Sahara,
Bangladesh,32
Bulgaria,32
Curaçao,
Barbados,
Botswana,
Somalia,
Malaysia,30
Guernsey,
Ethiopia,
Ghana,29
Norway,29
Croatia,29
Azerbaijan,
United Arab Emirates,28
Nepal,28
Latvia,
Brunei,
Paraguay,
Kenya,27
Bosnia & Herzegovina,
Lebanon,
Bhutan,
St. Lucia,
Bahamas,
Lithuania,27
Portugal,27
New Zealand,26
Uzbekistan,26
Haiti,
Grenada,
Spain,25
Serbia,25
Brazil,25
Tunisia,
Réunion,
Maldives,
Armenia,
Suriname,
Montenegro,
China,
Gabon,
Colombia,22
Poland,22
Dominican Republic,22
Philippines,22
Malawi,
Albania,
Zimbabwe,
Morocco,21
Senegal,
Afghanistan,
Jamaica,
Romania,21
Mauritius,
Argentina,20
Trinidad & Tobago,
Martinique,
Greece,18
Kuwait,
Laos,
Macao,
Angola,
Qatar,
Ukraine,17
El Salvador,
Uganda,
Niger,
Peru,17
Panama,
Iceland,
Mexico,17
Congo - Brazzaville,
Kyrgyzstan,
Syria,
South Sudan,
New Caledonia,
Sweden,16
Guinea,
Cambodia,
Eswatini,
Papua New Guinea,
Denmark,15
Italy,15
Zambia,
Mozambique,
Myanmar (Burma),
Costa Rica,
Russia,15
France,15
Turkmenistan,
Hungary,14
Puerto Rico,
Israel,14
Rwanda,
India,14
Algeria,14
Tajikistan,
Chile,13
Indonesia,12
Belize,
Oman,
Mauritania,
Mali,
Hong Kong,11
Kazakhstan,11
Honduras,
Belarus,
Ecuador,11
Nicaragua,
Tanzania,
Uruguay,
Palestine,
Egypt,10
Jordan,
Sudan,
Vietnam,9
Guyana,
Thailand,9
Congo - Kinshasa,
Guatemala,
Bolivia,
South Korea,8
Libya,
Saudi Arabia,7
Iran,7
Yemen,
Iraq,
Taiwan,3
Japan,1
French Polynesia,
Djibouti,
Christmas Island,
North Korea,
Palau,
Pitcairn Islands,
Nauru,
Eritrea,
Cape Verde,
Comoros,
South Georgia & South Sandwich Islands,
Cook Islands,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
Fiji,
San Marino,
Falkland Islands (Islas Malvinas),
St. Pierre & Miquelon,
Niue,
Norfolk Island,
São Tomé & Príncipe,
Faroe Islands,
Cocos (Keeling) Islands,
Central African Republic,
Mayotte,
Micronesia,
Sint Maarten,
Bouvet Island,
Guadeloupe,
Turks & Caicos Islands,
Chad,
Gambia,
Montserrat,
Northern Mariana Islands,
Tokelau,
Guinea-Bissau,
Timor-Leste,
Tonga,
Equatorial Guinea,
Greenland,
St. Barthélemy,
Tuvalu,
Marshall Islands,
French Guiana,
Monaco,
Heard & McDonald Islands,
U.S. Outlying Islands,
St. Martin,
Caribbean Netherlands,
French Southern Territories,
Vatican City,
St. Vincent & Grenadines,
Antarctica,
British Virgin Islands,
American Samoa,
British Indian Ocean Territory,
Vanuatu,
Wallis & Futuna,
Samoa,
Åland Islands,
Kiribati,
Liberia,
Dominica,
Anguilla,
