Category: All categories

Country,oasis network: (4/14/19 - 4/14/24)
St. Pierre & Miquelon,
Spain,100
China,75
Netherlands,62
Venezuela,62
Finland,50
Puerto Rico,37
Slovenia,37
United Arab Emirates,37
Australia,37
Belgium,37
Türkiye,37
El Salvador,37
Singapore,37
Ireland,37
Panama,37
Croatia,37
Cyprus,25
Nigeria,25
Uruguay,
Greece,25
Argentina,25
Portugal,25
Serbia,25
New Zealand,25
Switzerland,25
Romania,25
Azerbaijan,
Lithuania,25
Hong Kong,12
Canada,12
Vietnam,12
United States,12
Dominican Republic,12
Philippines,12
Colombia,12
Peru,12
South Korea,12
Bulgaria,12
Uzbekistan,
Thailand,12
United Kingdom,12
Ecuador,12
Norway,12
Austria,12
Malaysia,12
Bolivia,
France,12
Chile,12
India,12
Kenya,
Germany,<1
Pakistan,<1
Morocco,<1
Israel,<1
Iran,<1
Mexico,<1
Poland,<1
Sweden,<1
South Africa,<1
Indonesia,<1
Italy,<1
Kazakhstan,<1
Denmark,<1
Czechia,<1
Ukraine,<1
Bangladesh,<1
Russia,<1
Brazil,<1
Taiwan,<1
Egypt,<1
Saudi Arabia,<1
Japan,<1
Lebanon,
Zimbabwe,
Fiji,
Faroe Islands,
Micronesia,
Gabon,
Ethiopia,
Georgia,
Guernsey,
Ghana,
Gibraltar,
Guinea,
Guadeloupe,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Estonia,
Grenada,
Greenland,
Guatemala,
French Guiana,
Guam,
Guyana,
Western Sahara,
Heard & McDonald Islands,
Honduras,
Eritrea,
Haiti,
Hungary,
Algeria,
Isle of Man,
Dominica,
British Indian Ocean Territory,
Djibouti,
Cayman Islands,
Iraq,
Iceland,
Christmas Island,
Curaçao,
Jamaica,
Jersey,
Jordan,
Cuba,
Costa Rica,
Cape Verde,
Kyrgyzstan,
Cambodia,
Kiribati,
St. Kitts & Nevis,
Comoros,
Kuwait,
Laos,
Aruba,
Angola,
Libya,
St. Lucia,
Liechtenstein,
Sri Lanka,
Lesotho,
Cook Islands,
Luxembourg,
Latvia,
Macao,
St. Martin,
Congo - Brazzaville,
Monaco,
Moldova,
Madagascar,
Maldives,
Congo - Kinshasa,
Marshall Islands,
North Macedonia,
Mali,
Malta,
Myanmar (Burma),
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Mauritius,
Malawi,
Cameroon,
Mayotte,
Namibia,
New Caledonia,
Niger,
Falkland Islands (Islas Malvinas),
Côte d’Ivoire,
Nicaragua,
Niue,
Cocos (Keeling) Islands,
Central African Republic,
Nepal,
Nauru,
Botswana,
Oman,
Bouvet Island,
Bhutan,
Pitcairn Islands,
Brunei,
Barbados,
Palau,
Papua New Guinea,
Bermuda,
Belize,
North Korea,
Belarus,
Paraguay,
Palestine,
French Polynesia,
Qatar,
Réunion,
St. Barthélemy,
Bosnia & Herzegovina,
Rwanda,
Bahamas,
Sudan,
Senegal,
Bahrain,
South Georgia & South Sandwich Islands,
St. Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
Burkina Faso,
San Marino,
Somalia,
Caribbean Netherlands,
Benin,
South Sudan,
São Tomé & Príncipe,
Suriname,
Slovakia,
Burundi,
Antigua & Barbuda,
Eswatini,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Togo,
French Southern Territories,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Trinidad & Tobago,
Tunisia,
Antarctica,
Tuvalu,
American Samoa,
Tanzania,
Uganda,
Armenia,
U.S. Outlying Islands,
Andorra,
Albania,
Åland Islands,
Vatican City,
St. Vincent & Grenadines,
Anguilla,
British Virgin Islands,
U.S. Virgin Islands,
Afghanistan,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Liberia,
Zambia,
Norfolk Island,
