Category: All categories

Country,ocean protocol: (4/14/19 - 4/14/24)
Grenada,
St. Helena,100
Netherlands,100
Switzerland,71
Austria,71
Singapore,71
Cyprus,57
Slovenia,57
Bahrain,
China,57
Romania,57
Germany,57
Belgium,42
Australia,42
United Arab Emirates,42
New Zealand,42
Estonia,28
Qatar,28
Nigeria,28
United Kingdom,28
Ireland,28
Serbia,28
Finland,28
Portugal,28
Türkiye,28
Canada,28
Bulgaria,28
France,28
Pakistan,28
Spain,28
Nepal,14
Panama,
Kuwait,
United States,14
Philippines,14
Slovakia,14
Greece,14
Czechia,14
Norway,14
Croatia,14
Hungary,14
South Korea,14
India,14
Sweden,14
Hong Kong,14
Poland,14
Thailand,14
South Africa,<1
Italy,<1
Israel,<1
Ukraine,<1
Malaysia,<1
Denmark,<1
Russia,<1
Argentina,<1
Bangladesh,<1
Venezuela,
Vietnam,<1
Indonesia,<1
Brazil,<1
Chile,<1
Saudi Arabia,<1
Taiwan,<1
Egypt,<1
Iran,<1
Mexico,<1
Colombia,<1
Japan,<1
Lebanon,
Zimbabwe,
Eritrea,
Ethiopia,
Ecuador,
Fiji,
Falkland Islands (Islas Malvinas),
Algeria,
Faroe Islands,
Micronesia,
Gabon,
Dominican Republic,
Georgia,
Guernsey,
Ghana,
Gibraltar,
Guinea,
Guadeloupe,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Dominica,
Djibouti,
Greenland,
Guatemala,
French Guiana,
Guam,
Guyana,
Cayman Islands,
Heard & McDonald Islands,
Honduras,
Christmas Island,
Haiti,
Curaçao,
Cuba,
Isle of Man,
Costa Rica,
British Indian Ocean Territory,
Cape Verde,
Comoros,
Iraq,
Iceland,
Cook Islands,
Congo - Brazzaville,
Jamaica,
Jersey,
Jordan,
Congo - Kinshasa,
Kazakhstan,
Kenya,
Kyrgyzstan,
Cambodia,
Kiribati,
St. Kitts & Nevis,
Cameroon,
Côte d’Ivoire,
Laos,
Aruba,
Angola,
Libya,
St. Lucia,
Liechtenstein,
Sri Lanka,
Lesotho,
Lithuania,
Luxembourg,
Latvia,
Macao,
St. Martin,
Morocco,
Monaco,
Moldova,
Madagascar,
Maldives,
Cocos (Keeling) Islands,
Marshall Islands,
North Macedonia,
Mali,
Malta,
Myanmar (Burma),
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Mauritius,
Malawi,
Central African Republic,
Mayotte,
Western Sahara,
New Caledonia,
Niger,
Norfolk Island,
Botswana,
Nicaragua,
Niue,
Bouvet Island,
Bhutan,
Brunei,
Nauru,
Barbados,
Oman,
Bolivia,
Bermuda,
Pitcairn Islands,
Peru,
Belize,
Palau,
Papua New Guinea,
Belarus,
Puerto Rico,
North Korea,
St. Barthélemy,
Paraguay,
Palestine,
French Polynesia,
Bosnia & Herzegovina,
Réunion,
Bahamas,
Burkina Faso,
Rwanda,
Caribbean Netherlands,
Sudan,
Senegal,
Benin,
South Georgia & South Sandwich Islands,
Burundi,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
El Salvador,
San Marino,
Somalia,
St. Pierre & Miquelon,
Azerbaijan,
South Sudan,
São Tomé & Príncipe,
Suriname,
Antigua & Barbuda,
French Southern Territories,
Antarctica,
Eswatini,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Togo,
American Samoa,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Trinidad & Tobago,
Tunisia,
Armenia,
Tuvalu,
Andorra,
Tanzania,
Uganda,
Albania,
U.S. Outlying Islands,
Uruguay,
Åland Islands,
Uzbekistan,
Vatican City,
St. Vincent & Grenadines,
Anguilla,
British Virgin Islands,
U.S. Virgin Islands,
Afghanistan,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Liberia,
Zambia,
Namibia,
