Category: All categories

Country,pancakeswap: (4/14/19 - 4/14/24)
Benin,
China,100
Nigeria,93
St. Helena,76
Andorra,
Burkina Faso,
Venezuela,63
Gibraltar,
Togo,
Kosovo,
Western Sahara,
Türkiye,47
Philippines,46
Curaçao,
Cyprus,44
Liechtenstein,
Mongolia,
Slovenia,39
Singapore,39
French Polynesia,
Laos,
Aruba,
Netherlands,36
Malta,
Côte d’Ivoire,
Thailand,34
North Macedonia,
Vietnam,33
Morocco,33
Jersey,
United Arab Emirates,31
Bermuda,
Pakistan,30
New Caledonia,
St. Barthélemy,
Cameroon,
Estonia,
Luxembourg,
Iran,27
Isle of Man,
Cuba,
Puerto Rico,26
Cambodia,
Afghanistan,
Macao,
Hong Kong,24
Latvia,24
Australia,24
Portugal,24
Switzerland,23
Maldives,
Bahrain,
Argentina,23
Georgia,22
Cayman Islands,
Lesotho,
Bahamas,
Kuwait,21
Papua New Guinea,
Brazil,21
Romania,21
Belgium,20
Spain,20
Lebanon,
Albania,
Norway,19
Moldova,
Ukraine,19
Canada,18
Ghana,18
Indonesia,18
United Kingdom,18
Panama,
Croatia,17
Haiti,
Iceland,
Suriname,
Austria,17
Botswana,
Lithuania,16
Bulgaria,16
Qatar,
New Zealand,16
Ireland,15
Namibia,
Guam,
Trinidad & Tobago,
Eswatini,
Réunion,
France,15
Niger,
Bangladesh,15
Hungary,15
Dominican Republic,14
Malaysia,14
Rwanda,
Guadeloupe,
Montenegro,
Liberia,
South Korea,13
Myanmar (Burma),
Brunei,
Barbados,
Germany,12
Finland,12
Mauritius,
Somalia,
Sri Lanka,12
Azerbaijan,
United States,12
El Salvador,
Armenia,
Mali,
Italy,11
Russia,11
Serbia,11
Oman,
Ecuador,11
Libya,
Slovakia,10
Israel,10
Angola,
Kyrgyzstan,
Sweden,10
Greece,10
Gabon,
Uruguay,
Tanzania,
Jordan,
Belarus,10
Senegal,
Nepal,
Uganda,
Denmark,9
Saudi Arabia,9
South Africa,9
Chile,9
Costa Rica,
Czechia,9
Colombia,9
Guyana,
Peru,9
Martinique,
Mauritania,
Kenya,
Taiwan,8
Zimbabwe,
Algeria,8
Uzbekistan,
Kazakhstan,7
India,7
Jamaica,
Tunisia,
Paraguay,
Ethiopia,
Poland,7
Bosnia & Herzegovina,
Iraq,
Turkmenistan,
Palestine,
Bolivia,
Congo - Kinshasa,
Mozambique,
Yemen,
Tajikistan,
Honduras,
Madagascar,
Nicaragua,
Syria,
Sudan,
Japan,3
Mexico,3
Zambia,
Guatemala,
Egypt,3
Nauru,
Eritrea,
Palau,
Norfolk Island,
Niue,
Caribbean Netherlands,
North Korea,
Burundi,
Montserrat,
Northern Mariana Islands,
Bhutan,
Marshall Islands,
Bouvet Island,
Monaco,
St. Martin,
Central African Republic,
Cocos (Keeling) Islands,
St. Lucia,
Congo - Brazzaville,
Antigua & Barbuda,
South Georgia & South Sandwich Islands,
French Southern Territories,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
Cook Islands,
San Marino,
St. Kitts & Nevis,
St. Pierre & Miquelon,
Kiribati,
South Sudan,
São Tomé & Príncipe,
Comoros,
Cape Verde,
Antarctica,
British Indian Ocean Territory,
Christmas Island,
Sint Maarten,
Seychelles,
Heard & McDonald Islands,
Turks & Caicos Islands,
Chad,
American Samoa,
French Guiana,
Pitcairn Islands,
Tokelau,
Greenland,
Timor-Leste,
Tonga,
Grenada,
Equatorial Guinea,
Guinea-Bissau,
Tuvalu,
Gambia,
Guinea,
Guernsey,
Djibouti,
U.S. Outlying Islands,
Micronesia,
Faroe Islands,
Falkland Islands (Islas Malvinas),
Vatican City,
St. Vincent & Grenadines,
Åland Islands,
British Virgin Islands,
U.S. Virgin Islands,
Anguilla,
Vanuatu,
Wallis & Futuna,
Samoa,
Fiji,
Dominica,
Mayotte,
Malawi,
Belize,
