Category: All categories

Country,polkadot: (4/14/19 - 4/14/24)
São Tomé & Príncipe,
Liechtenstein,
Andorra,
Gibraltar,
Indonesia,100
Åland Islands,
Slovenia,94
Isle of Man,
Netherlands,83
Switzerland,83
Cayman Islands,
China,76
Singapore,76
Cyprus,72
Malta,
Luxembourg,
Malaysia,65
St. Helena,
Romania,62
Brunei,
Austria,55
Guernsey,
New Caledonia,
Ireland,51
Australia,50
Cameroon,
Jersey,
Belgium,47
Estonia,46
Croatia,45
Türkiye,45
Iceland,
United Kingdom,43
Curaçao,
North Macedonia,
Bermuda,
Spain,41
Bulgaria,41
Portugal,40
Germany,39
Aruba,
Latvia,
New Zealand,38
Canada,37
French Polynesia,
United Arab Emirates,37
Lithuania,36
Norway,35
Nigeria,35
Slovakia,34
Bahamas,
Czechia,33
Kosovo,
Poland,32
Montenegro,
Pakistan,30
Trinidad & Tobago,
Martinique,
United States,29
Hong Kong,28
Maldives,
Namibia,
Albania,
Barbados,
Georgia,
Lebanon,
Hungary,25
Serbia,24
South Africa,23
Sweden,23
Greece,23
Puerto Rico,
Finland,22
Jamaica,
Bahrain,
Benin,
France,21
Italy,20
Mauritius,
Qatar,
Moldova,
Burkina Faso,
Panama,
Denmark,18
Botswana,
Macao,
Sierra Leone,
Cambodia,
Guyana,
Israel,16
Philippines,16
Belize,
South Korea,16
Madagascar,
Ukraine,16
Kuwait,
Argentina,16
Guinea,
Kenya,15
Zimbabwe,
Venezuela,14
Morocco,14
Rwanda,
Togo,
Armenia,
Somalia,
Costa Rica,
Mongolia,
Nepal,
Chile,13
Vietnam,13
Laos,
Russia,12
Bosnia & Herzegovina,
Belarus,12
Uruguay,
Thailand,11
Malawi,
El Salvador,
Azerbaijan,
Côte d’Ivoire,
Colombia,10
Brazil,10
Senegal,
Réunion,
Sri Lanka,
Ethiopia,
Dominican Republic,
Ghana,
India,9
Tanzania,
Tunisia,
Taiwan,9
Oman,
Kazakhstan,8
Palestine,
Nicaragua,
Kyrgyzstan,
Myanmar (Burma),
Uzbekistan,
Paraguay,
Peru,6
Ecuador,
Bangladesh,6
Mali,
Cuba,
Angola,
Jordan,
Mexico,6
Guatemala,
Libya,
Saudi Arabia,6
Afghanistan,
Honduras,
Uganda,
Iran,5
Mozambique,
Iraq,
Bolivia,
Zambia,
Algeria,
Japan,3
Egypt,
Syria,
Marshall Islands,
Anguilla,
Kiribati,
Norfolk Island,
Niger,
Nauru,
British Indian Ocean Territory,
Haiti,
St. Kitts & Nevis,
Heard & McDonald Islands,
Pitcairn Islands,
Guam,
French Guiana,
Palau,
Papua New Guinea,
Mayotte,
Greenland,
North Korea,
Grenada,
Equatorial Guinea,
Guinea-Bissau,
Gambia,
Guadeloupe,
Gabon,
Micronesia,
Faroe Islands,
Falkland Islands (Islas Malvinas),
St. Lucia,
Sudan,
Fiji,
Western Sahara,
South Georgia & South Sandwich Islands,
Eritrea,
Svalbard & Jan Mayen,
Solomon Islands,
Lesotho,
St. Martin,
San Marino,
Dominica,
St. Pierre & Miquelon,
Djibouti,
South Sudan,
Christmas Island,
Suriname,
Cape Verde,
Comoros,
Cook Islands,
Eswatini,
Sint Maarten,
Seychelles,
Montserrat,
Turks & Caicos Islands,
Chad,
Congo - Brazzaville,
Congo - Kinshasa,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Cocos (Keeling) Islands,
Central African Republic,
Bouvet Island,
Tuvalu,
Bhutan,
Mauritania,
Northern Mariana Islands,
St. Barthélemy,
U.S. Outlying Islands,
Caribbean Netherlands,
Burundi,
Antigua & Barbuda,
Vatican City,
St. Vincent & Grenadines,
French Southern Territories,
British Virgin Islands,
U.S. Virgin Islands,
Antarctica,
Vanuatu,
Wallis & Futuna,
Samoa,
American Samoa,
Yemen,
Liberia,
Monaco,
Niue,
