Category: All categories

Country,singularitynet: (4/14/19 - 4/14/24)
Slovenia,100
Switzerland,66
Australia,66
Netherlands,66
Kuwait,
Ghana,
Norway,33
Ireland,33
Belgium,33
Finland,33
Türkiye,33
United Arab Emirates,33
Austria,33
Germany,33
Singapore,33
United Kingdom,33
Portugal,33
Croatia,33
Nigeria,33
Canada,33
Bulgaria,33
Greece,33
Sweden,33
Brazil,<1
Serbia,<1
Romania,<1
New Zealand,<1
Hong Kong,<1
United States,<1
Spain,<1
Hungary,
South Africa,<1
Czechia,<1
South Korea,<1
Israel,<1
Argentina,<1
Philippines,<1
France,<1
Russia,<1
Vietnam,<1
Ukraine,<1
Italy,<1
Poland,<1
Thailand,<1
Malaysia,<1
India,<1
Iran,<1
Japan,<1
Indonesia,<1
Taiwan,<1
Colombia,<1
Mexico,<1
Lebanon,
Zimbabwe,
Curaçao,
Christmas Island,
Cayman Islands,
Cyprus,
Costa Rica,
Cape Verde,
Djibouti,
Dominica,
Denmark,
Dominican Republic,
Algeria,
Ecuador,
Egypt,
Eritrea,
Western Sahara,
Comoros,
Estonia,
Ethiopia,
Cook Islands,
Fiji,
Falkland Islands (Islas Malvinas),
Congo - Brazzaville,
Faroe Islands,
Micronesia,
Gabon,
Congo - Kinshasa,
Georgia,
Guernsey,
Cameroon,
Gibraltar,
Guinea,
Guadeloupe,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Côte d’Ivoire,
Grenada,
Greenland,
Guatemala,
French Guiana,
Guam,
Guyana,
China,
Heard & McDonald Islands,
Honduras,
Chile,
Haiti,
Cocos (Keeling) Islands,
Central African Republic,
Isle of Man,
Botswana,
British Indian Ocean Territory,
Bouvet Island,
Bhutan,
Iraq,
Iceland,
Brunei,
Barbados,
Jamaica,
Jersey,
Jordan,
Bolivia,
Kazakhstan,
Kenya,
Kyrgyzstan,
Cambodia,
Kiribati,
St. Kitts & Nevis,
Bermuda,
Belize,
Laos,
Aruba,
Angola,
Libya,
St. Lucia,
Liechtenstein,
Sri Lanka,
Lesotho,
Lithuania,
Luxembourg,
Latvia,
Macao,
St. Martin,
Morocco,
Monaco,
Moldova,
Madagascar,
Maldives,
Belarus,
Marshall Islands,
North Macedonia,
Mali,
Malta,
Myanmar (Burma),
Montenegro,
Mongolia,
Northern Mariana Islands,
Cuba,
Mauritania,
Montserrat,
Martinique,
Mauritius,
Malawi,
St. Barthélemy,
Mayotte,
Namibia,
New Caledonia,
Niger,
Norfolk Island,
Bosnia & Herzegovina,
Nicaragua,
Niue,
Bahamas,
Bahrain,
Nepal,
Nauru,
Bangladesh,
Oman,
Pakistan,
Panama,
Pitcairn Islands,
Peru,
Burkina Faso,
Palau,
Papua New Guinea,
Caribbean Netherlands,
Puerto Rico,
North Korea,
Benin,
Paraguay,
Palestine,
French Polynesia,
Qatar,
Réunion,
Burundi,
Azerbaijan,
Rwanda,
Saudi Arabia,
Sudan,
Senegal,
Antigua & Barbuda,
South Georgia & South Sandwich Islands,
St. Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
El Salvador,
San Marino,
Somalia,
St. Pierre & Miquelon,
French Southern Territories,
South Sudan,
São Tomé & Príncipe,
Suriname,
Slovakia,
Antarctica,
American Samoa,
Eswatini,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Togo,
Armenia,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Trinidad & Tobago,
Tunisia,
Andorra,
Tuvalu,
Albania,
Tanzania,
Uganda,
Åland Islands,
U.S. Outlying Islands,
Uruguay,
Anguilla,
Uzbekistan,
Vatican City,
St. Vincent & Grenadines,
Venezuela,
British Virgin Islands,
U.S. Virgin Islands,
Afghanistan,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Liberia,
Zambia,
Mozambique,
