Category: All categories

Country,solana: (4/14/19 - 4/14/24)
Turks & Caicos Islands,
Andorra,
Malta,100
Spain,68
Gibraltar,
Mauritius,50
China,38
Georgia,38
Nigeria,31
Singapore,30
Cyprus,29
Switzerland,27
Liechtenstein,
Luxembourg,
Kosovo,
Slovenia,23
Cayman Islands,
St. Helena,
Montenegro,
Western Sahara,
Seychelles,
Türkiye,21
St. Martin,
Madagascar,
Isle of Man,
North Macedonia,
Philippines,20
Morocco,20
Netherlands,19
Jersey,
Croatia,19
United States,18
Austria,18
Equatorial Guinea,
Estonia,
Bermuda,
Belgium,17
Sint Maarten,
Hong Kong,16
Australia,16
Guernsey,
Antigua & Barbuda,
St. Kitts & Nevis,
Portugal,15
United Arab Emirates,15
Canada,15
Maldives,
Suriname,
Lebanon,
Curaçao,
Aruba,
New Caledonia,
Réunion,
Iceland,
Bahamas,
Latvia,
Bosnia & Herzegovina,
Germany,14
Lithuania,13
Czechia,13
New Zealand,13
Romania,13
Ireland,13
Grenada,
Mayotte,
United Kingdom,12
Benin,
French Polynesia,
France,11
Guam,
Pakistan,11
St. Barthélemy,
Puerto Rico,
Argentina,11
Bulgaria,11
French Guiana,
Uruguay,
Serbia,10
Albania,
U.S. Virgin Islands,
St. Vincent & Grenadines,
Greece,10
Norway,10
South Africa,10
Bahrain,
Burkina Faso,
Slovakia,9
Sweden,9
Faroe Islands,
Panama,
Myanmar (Burma),
Côte d’Ivoire,
Somalia,
Armenia,
Moldova,
Bolivia,
Guatemala,8
Namibia,
Cuba,
Uganda,
Mexico,8
Mongolia,
Lesotho,
Togo,
Kenya,8
Malaysia,8
Barbados,
Hungary,8
Venezuela,7
Brunei,
Cameroon,
Italy,7
Finland,7
Sri Lanka,
Eswatini,
Trinidad & Tobago,
Cambodia,
Ukraine,7
Dominican Republic,7
Denmark,7
Ghana,
Israel,7
Poland,6
Qatar,
Rwanda,
Costa Rica,
Botswana,
Laos,
Guadeloupe,
Sierra Leone,
El Salvador,
St. Lucia,
South Korea,6
Tunisia,
Kuwait,
Macao,
Belize,
Indonesia,6
Djibouti,
Ethiopia,
Russia,6
Brazil,6
Colombia,5
Belarus,5
Afghanistan,
South Sudan,
Jamaica,
Vietnam,5
Cape Verde,
Nepal,
Zimbabwe,
Tanzania,
Peru,5
Fiji,
Azerbaijan,
Taiwan,4
Martinique,
Turkmenistan,
Uzbekistan,
Gambia,
Bhutan,
Guinea,
Mauritania,
Paraguay,
India,4
Jordan,
Bangladesh,4
Thailand,4
Kyrgyzstan,
Oman,
Gabon,
Ecuador,
Angola,
Chile,4
Haiti,
Algeria,
Kazakhstan,3
Nicaragua,
Niger,
Guyana,
Senegal,
Papua New Guinea,
Honduras,
Mozambique,
Congo - Kinshasa,
Zambia,
Libya,
Malawi,
Mali,
Palestine,
Tajikistan,
Iran,2
Saudi Arabia,2
Egypt,2
Syria,
Sudan,
Japan,1
Iraq,
Yemen,
Micronesia,
Svalbard & Jan Mayen,
San Marino,
Heard & McDonald Islands,
St. Pierre & Miquelon,
Dominica,
Palau,
São Tomé & Príncipe,
Christmas Island,
Pitcairn Islands,
Comoros,
Cook Islands,
Congo - Brazzaville,
British Indian Ocean Territory,
Nauru,
Solomon Islands,
Cocos (Keeling) Islands,
Chad,
Central African Republic,
Greenland,
Eritrea,
Tokelau,
South Georgia & South Sandwich Islands,
Timor-Leste,
Tonga,
Bouvet Island,
Niue,
Norfolk Island,
Tuvalu,
Guinea-Bissau,
Kiribati,
Caribbean Netherlands,
Burundi,
U.S. Outlying Islands,
Montserrat,
French Southern Territories,
Northern Mariana Islands,
Vatican City,
Antarctica,
American Samoa,
British Virgin Islands,
Åland Islands,
Monaco,
Vanuatu,
Wallis & Futuna,
Samoa,
Anguilla,
Falkland Islands (Islas Malvinas),
Liberia,
Marshall Islands,
North Korea,
