Category: All categories

Country,tezos: (4/14/19 - 4/14/24)
St. Martin,
Faroe Islands,
Aruba,
Malta,
Guernsey,
Andorra,
Switzerland,100
New Caledonia,
Slovenia,91
Jersey,
Luxembourg,
St. Helena,
Cyprus,70
Isle of Man,
Singapore,58
Angola,
Netherlands,55
China,55
Türkiye,53
Ireland,46
Nigeria,46
Botswana,
France,44
Portugal,41
Austria,39
Barbados,
United Kingdom,39
Belgium,39
Estonia,
Bahamas,
Puerto Rico,32
Norway,32
Bulgaria,32
United States,32
North Macedonia,
Guyana,
Maldives,
Israel,27
United Arab Emirates,27
Albania,
Australia,27
Tanzania,
Rwanda,
Cameroon,
Cuba,
Slovakia,25
Spain,25
Mauritius,
Réunion,
Iceland,
Uganda,
Croatia,24
Canada,24
Afghanistan,
Germany,24
Romania,24
Burkina Faso,
Latvia,
Greece,22
Namibia,
Kenya,22
Hong Kong,22
Benin,
Trinidad & Tobago,
Kosovo,
Lithuania,20
South Korea,20
Denmark,20
New Zealand,20
Côte d’Ivoire,
Czechia,18
Georgia,
South Africa,17
Lebanon,
Morocco,15
Laos,
Mozambique,
Sweden,15
Panama,
Myanmar (Burma),
Malaysia,15
Finland,15
Hungary,15
Armenia,
Indonesia,13
Colombia,13
Zimbabwe,
Ukraine,13
Tunisia,
Italy,13
Costa Rica,
Montenegro,
Argentina,13
Taiwan,12
Jamaica,
Poland,12
Bahrain,
Moldova,
Ghana,
Serbia,12
Bosnia & Herzegovina,
Russia,10
Zambia,
Venezuela,10
Qatar,
Ethiopia,
Vietnam,10
Senegal,
Mongolia,
Philippines,10
Uruguay,
Thailand,8
Pakistan,8
Oman,
Honduras,
Iran,8
Brazil,8
Kyrgyzstan,
Mexico,6
Kuwait,
Cambodia,
Chile,6
Bangladesh,6
Belarus,
Dominican Republic,
Jordan,
Azerbaijan,
Sri Lanka,
India,5
Nepal,
El Salvador,
Paraguay,
Peru,5
Ecuador,
Syria,
Algeria,
Japan,5
Uzbekistan,
Guatemala,
Iraq,
Kazakhstan,
Saudi Arabia,3
Egypt,3
Bolivia,
Fiji,
Norfolk Island,
Bouvet Island,
Central African Republic,
Marshall Islands,
Cocos (Keeling) Islands,
Northern Mariana Islands,
Madagascar,
Mauritania,
Montserrat,
Martinique,
Bhutan,
Malawi,
Monaco,
Mayotte,
Brunei,
Macao,
Congo - Kinshasa,
Congo - Brazzaville,
Falkland Islands (Islas Malvinas),
Nicaragua,
Niue,
Bermuda,
Belize,
Cook Islands,
Nauru,
Lesotho,
Liechtenstein,
St. Lucia,
Libya,
Pitcairn Islands,
Comoros,
Cape Verde,
Palau,
Papua New Guinea,
St. Kitts & Nevis,
St. Barthélemy,
North Korea,
Kiribati,
Curaçao,
Palestine,
French Polynesia,
Christmas Island,
Cayman Islands,
Djibouti,
British Indian Ocean Territory,
Caribbean Netherlands,
Dominica,
Sudan,
Haiti,
Burundi,
South Georgia & South Sandwich Islands,
Heard & McDonald Islands,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
Guam,
San Marino,
Somalia,
St. Pierre & Miquelon,
French Guiana,
South Sudan,
São Tomé & Príncipe,
Suriname,
Antigua & Barbuda,
French Southern Territories,
Greenland,
Eswatini,
Sint Maarten,
Seychelles,
Grenada,
Turks & Caicos Islands,
Chad,
Togo,
Equatorial Guinea,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Antarctica,
Guinea-Bissau,
American Samoa,
Tuvalu,
Gambia,
Guadeloupe,
Guinea,
Gibraltar,
U.S. Outlying Islands,
Eritrea,
Åland Islands,
Western Sahara,
Vatican City,
St. Vincent & Grenadines,
Gabon,
British Virgin Islands,
U.S. Virgin Islands,
Micronesia,
Vanuatu,
Wallis & Futuna,
Samoa,
Anguilla,
Yemen,
Liberia,
Niger,
Mali,
