Category: All categories

Week,XRP: (Worldwide)
2020-12-27,44
2021-01-03,38
2021-01-10,24
2021-01-17,20
2021-01-24,26
2021-01-31,74
2021-02-07,40
2021-02-14,37
2021-02-21,39
2021-02-28,20
2021-03-07,19
2021-03-14,18
2021-03-21,23
2021-03-28,20
2021-04-04,74
2021-04-11,100
2021-04-18,56
2021-04-25,51
2021-05-02,57
2021-05-09,49
2021-05-16,49
2021-05-23,34
2021-05-30,30
2021-06-06,22
2021-06-13,17
2021-06-20,19
2021-06-27,14
2021-07-04,13
2021-07-11,13
2021-07-18,13
2021-07-25,19
2021-08-01,16
2021-08-08,30
2021-08-15,31
2021-08-22,22
2021-08-29,23
2021-09-05,25
2021-09-12,18
2021-09-19,17
2021-09-26,15
2021-10-03,19
2021-10-10,21
2021-10-17,19
2021-10-24,20
2021-10-31,25
2021-11-07,27
2021-11-14,19
2021-11-21,17
2021-11-28,18
2021-12-05,19
2021-12-12,19
2021-12-19,23
2021-12-26,16
2022-01-02,17
2022-01-09,14
2022-01-16,13
2022-01-23,13
2022-01-30,12
2022-02-06,22
2022-02-13,16
2022-02-20,15
2022-02-27,14
2022-03-06,14
2022-03-13,13
2022-03-20,14
2022-03-27,14
2022-04-03,11
2022-04-10,13
2022-04-17,11
2022-04-24,11
2022-05-01,9
2022-05-08,14
2022-05-15,10
2022-05-22,8
2022-05-29,8
2022-06-05,8
2022-06-12,11
2022-06-19,9
2022-06-26,9
2022-07-03,8
2022-07-10,8
2022-07-17,9
2022-07-24,8
2022-07-31,8
2022-08-07,8
2022-08-14,8
2022-08-21,8
2022-08-28,6
2022-09-04,7
2022-09-11,9
2022-09-18,24
2022-09-25,17
2022-10-02,14
2022-10-09,14
2022-10-16,11
2022-10-23,12
2022-10-30,13
2022-11-06,14
2022-11-13,14
2022-11-20,11
2022-11-27,11
2022-12-04,10
2022-12-11,11
2022-12-18,9
2022-12-25,10
2023-01-01,10
2023-01-08,12
2023-01-15,11
2023-01-22,11
2023-01-29,11
2023-02-05,10
2023-02-12,9
2023-02-19,9
2023-02-26,8
2023-03-05,10
2023-03-12,11
2023-03-19,24
2023-03-26,31
2023-04-02,19
2023-04-09,17
2023-04-16,15
2023-04-23,13
2023-04-30,11
2023-05-07,11
2023-05-14,12
2023-05-21,12
2023-05-28,18
2023-06-04,19
2023-06-11,22
2023-06-18,17
2023-06-25,14
2023-07-02,13
2023-07-09,65
2023-07-16,53
2023-07-23,29
2023-07-30,25
2023-08-06,22
2023-08-13,22
2023-08-20,17
2023-08-27,15
2023-09-03,14
2023-09-10,14
2023-09-17,14
2023-09-24,15
2023-10-01,16
2023-10-08,14
2023-10-15,16
2023-10-22,22
2023-10-29,25
2023-11-05,38
2023-11-12,25
2023-11-19,20
2023-11-26,19
2023-12-03,25
2023-12-10,21
2023-12-17,18
2023-12-24,20
2023-12-31,20
2024-01-07,20
2024-01-14,16
2024-01-21,15
2024-01-28,13
2024-02-04,13
2024-02-11,16
2024-02-18,15
2024-02-25,23
2024-03-03,26
2024-03-10,30
2024-03-17,21
2024-03-24,19
2024-03-31,16
2024-04-07,17
