Category: All categories

Week,bitcoin: (Worldwide)
2020-12-27,53
2021-01-03,88
2021-01-10,81
2021-01-17,55
2021-01-24,48
2021-01-31,43
2021-02-07,80
2021-02-14,73
2021-02-21,81
2021-02-28,54
2021-03-07,52
2021-03-14,53
2021-03-21,45
2021-03-28,46
2021-04-04,42
2021-04-11,53
2021-04-18,68
2021-04-25,51
2021-05-02,42
2021-05-09,60
2021-05-16,100
2021-05-23,71
2021-05-30,52
2021-06-06,53
2021-06-13,40
2021-06-20,50
2021-06-27,36
2021-07-04,28
2021-07-11,28
2021-07-18,34
2021-07-25,38
2021-08-01,33
2021-08-08,36
2021-08-15,32
2021-08-22,33
2021-08-29,27
2021-09-05,38
2021-09-12,28
2021-09-19,34
2021-09-26,27
2021-10-03,34
2021-10-10,35
2021-10-17,48
2021-10-24,37
2021-10-31,32
2021-11-07,38
2021-11-14,38
2021-11-21,35
2021-11-28,38
2021-12-05,38
2021-12-12,33
2021-12-19,32
2021-12-26,31
2022-01-02,41
2022-01-09,38
2022-01-16,39
2022-01-23,54
2022-01-30,39
2022-02-06,38
2022-02-13,31
2022-02-20,42
2022-02-27,37
2022-03-06,32
2022-03-13,29
2022-03-20,28
2022-03-27,30
2022-04-03,27
2022-04-10,26
2022-04-17,22
2022-04-24,24
2022-05-01,24
2022-05-08,56
2022-05-15,38
2022-05-22,30
2022-05-29,26
2022-06-05,25
2022-06-12,67
2022-06-19,51
2022-06-26,37
2022-07-03,33
2022-07-10,31
2022-07-17,31
2022-07-24,27
2022-07-31,25
2022-08-07,24
2022-08-14,23
2022-08-21,21
2022-08-28,23
2022-09-04,22
2022-09-11,22
2022-09-18,23
2022-09-25,21
2022-10-02,19
2022-10-09,18
2022-10-16,16
2022-10-23,18
2022-10-30,18
2022-11-06,34
2022-11-13,30
2022-11-20,23
2022-11-27,20
2022-12-04,18
2022-12-11,20
2022-12-18,18
2022-12-25,18
2023-01-01,18
2023-01-08,20
2023-01-15,24
2023-01-22,22
2023-01-29,21
2023-02-05,19
2023-02-12,20
2023-02-19,20
2023-02-26,18
2023-03-05,19
2023-03-12,27
2023-03-19,28
2023-03-26,23
2023-04-02,21
2023-04-09,25
2023-04-16,22
2023-04-23,21
2023-04-30,20
2023-05-07,20
2023-05-14,17
2023-05-21,17
2023-05-28,17
2023-06-04,19
2023-06-11,19
2023-06-18,21
2023-06-25,21
2023-07-02,19
2023-07-09,20
2023-07-16,20
2023-07-23,18
2023-07-30,17
2023-08-06,18
2023-08-13,20
2023-08-20,20
2023-08-27,19
2023-09-03,18
2023-09-10,16
2023-09-17,16
2023-09-24,15
2023-10-01,16
2023-10-08,16
2023-10-15,18
2023-10-22,26
2023-10-29,21
2023-11-05,22
2023-11-12,22
2023-11-19,20
2023-11-26,20
2023-12-03,31
2023-12-10,25
2023-12-17,24
2023-12-24,21
2023-12-31,29
2024-01-07,43
2024-01-14,26
2024-01-21,24
2024-01-28,20
2024-02-04,21
2024-02-11,30
2024-02-18,23
2024-02-25,44
2024-03-03,51
2024-03-10,48
2024-03-17,37
2024-03-24,34
2024-03-31,31
2024-04-07,32
