Category: All categories

Week,bnb: (Worldwide)
2020-12-27,41
2021-01-03,39
2021-01-10,41
2021-01-17,42
2021-01-24,38
2021-01-31,44
2021-02-07,55
2021-02-14,68
2021-02-21,67
2021-02-28,58
2021-03-07,58
2021-03-14,56
2021-03-21,56
2021-03-28,66
2021-04-04,76
2021-04-11,90
2021-04-18,100
2021-04-25,77
2021-05-02,84
2021-05-09,98
2021-05-16,80
2021-05-23,77
2021-05-30,73
2021-06-06,72
2021-06-13,69
2021-06-20,70
2021-06-27,66
2021-07-04,70
2021-07-11,69
2021-07-18,73
2021-07-25,76
2021-08-01,71
2021-08-08,72
2021-08-15,72
2021-08-22,69
2021-08-29,65
2021-09-05,64
2021-09-12,63
2021-09-19,63
2021-09-26,60
2021-10-03,62
2021-10-10,67
2021-10-17,64
2021-10-24,67
2021-10-31,75
2021-11-07,71
2021-11-14,72
2021-11-21,67
2021-11-28,69
2021-12-05,65
2021-12-12,62
2021-12-19,59
2021-12-26,72
2022-01-02,92
2022-01-09,85
2022-01-16,77
2022-01-23,81
2022-01-30,81
2022-02-06,79
2022-02-13,81
2022-02-20,74
2022-02-27,71
2022-03-06,74
2022-03-13,67
2022-03-20,66
2022-03-27,60
2022-04-03,66
2022-04-10,62
2022-04-17,59
2022-04-24,61
2022-05-01,60
2022-05-08,64
2022-05-15,59
2022-05-22,60
2022-05-29,55
2022-06-05,58
2022-06-12,59
2022-06-19,59
2022-06-26,57
2022-07-03,57
2022-07-10,56
2022-07-17,59
2022-07-24,55
2022-07-31,56
2022-08-07,55
2022-08-14,51
2022-08-21,50
2022-08-28,49
2022-09-04,42
2022-09-11,44
2022-09-18,46
2022-09-25,43
2022-10-02,49
2022-10-09,43
2022-10-16,40
2022-10-23,40
2022-10-30,44
2022-11-06,45
2022-11-13,41
2022-11-20,39
2022-11-27,38
2022-12-04,35
2022-12-11,41
2022-12-18,37
2022-12-25,44
2023-01-01,46
2023-01-08,49
2023-01-15,50
2023-01-22,46
2023-01-29,45
2023-02-05,47
2023-02-12,45
2023-02-19,47
2023-02-26,47
2023-03-05,45
2023-03-12,48
2023-03-19,48
2023-03-26,46
2023-04-02,45
2023-04-09,46
2023-04-16,46
2023-04-23,46
2023-04-30,46
2023-05-07,45
2023-05-14,45
2023-05-21,46
2023-05-28,46
2023-06-04,48
2023-06-11,49
2023-06-18,49
2023-06-25,51
2023-07-02,51
2023-07-09,57
2023-07-16,56
2023-07-23,55
2023-07-30,53
2023-08-06,52
2023-08-13,50
2023-08-20,47
2023-08-27,46
2023-09-03,44
2023-09-10,42
2023-09-17,43
2023-09-24,43
2023-10-01,43
2023-10-08,40
2023-10-15,40
2023-10-22,43
2023-10-29,39
2023-11-05,39
2023-11-12,38
2023-11-19,41
2023-11-26,38
2023-12-03,39
2023-12-10,40
2023-12-17,40
2023-12-24,50
2023-12-31,53
2024-01-07,52
2024-01-14,50
2024-01-21,55
2024-01-28,55
2024-02-04,54
2024-02-11,54
2024-02-18,58
2024-02-25,59
2024-03-03,63
2024-03-10,66
2024-03-17,59
2024-03-24,55
2024-03-31,59
2024-04-07,56
