Category: All categories

Week,cardano: (Worldwide)
2020-12-27,8
2021-01-03,18
2021-01-10,12
2021-01-17,15
2021-01-24,10
2021-01-31,26
2021-02-07,52
2021-02-14,47
2021-02-21,69
2021-02-28,68
2021-03-07,40
2021-03-14,64
2021-03-21,40
2021-03-28,36
2021-04-04,36
2021-04-11,54
2021-04-18,44
2021-04-25,44
2021-05-02,60
2021-05-09,100
2021-05-16,96
2021-05-23,55
2021-05-30,46
2021-06-06,33
2021-06-13,27
2021-06-20,29
2021-06-27,23
2021-07-04,22
2021-07-11,19
2021-07-18,20
2021-07-25,21
2021-08-01,23
2021-08-08,55
2021-08-15,61
2021-08-22,86
2021-08-29,67
2021-09-05,68
2021-09-12,62
2021-09-19,44
2021-09-26,34
2021-10-03,33
2021-10-10,31
2021-10-17,35
2021-10-24,36
2021-10-31,38
2021-11-07,41
2021-11-14,31
2021-11-21,39
2021-11-28,37
2021-12-05,31
2021-12-12,26
2021-12-19,26
2021-12-26,27
2022-01-02,28
2022-01-09,28
2022-01-16,45
2022-01-23,31
2022-01-30,27
2022-02-06,25
2022-02-13,22
2022-02-20,26
2022-02-27,21
2022-03-06,19
2022-03-13,18
2022-03-20,29
2022-03-27,27
2022-04-03,21
2022-04-10,17
2022-04-17,16
2022-04-24,17
2022-05-01,17
2022-05-08,24
2022-05-15,18
2022-05-22,15
2022-05-29,19
2022-06-05,18
2022-06-12,20
2022-06-19,17
2022-06-26,14
2022-07-03,13
2022-07-10,12
2022-07-17,15
2022-07-24,14
2022-07-31,11
2022-08-07,13
2022-08-14,13
2022-08-21,11
2022-08-28,13
2022-09-04,13
2022-09-11,12
2022-09-18,14
2022-09-25,10
2022-10-02,9
2022-10-09,10
2022-10-16,10
2022-10-23,11
2022-10-30,11
2022-11-06,12
2022-11-13,12
2022-11-20,9
2022-11-27,8
2022-12-04,7
2022-12-11,9
2022-12-18,8
2022-12-25,8
2023-01-01,8
2023-01-08,12
2023-01-15,11
2023-01-22,11
2023-01-29,12
2023-02-05,9
2023-02-12,10
2023-02-19,9
2023-02-26,8
2023-03-05,7
2023-03-12,9
2023-03-19,9
2023-03-26,9
2023-04-02,9
2023-04-09,12
2023-04-16,9
2023-04-23,8
2023-04-30,8
2023-05-07,7
2023-05-14,7
2023-05-21,7
2023-05-28,7
2023-06-04,11
2023-06-11,9
2023-06-18,8
2023-06-25,8
2023-07-02,8
2023-07-09,8
2023-07-16,8
2023-07-23,7
2023-07-30,7
2023-08-06,7
2023-08-13,7
2023-08-20,7
2023-08-27,7
2023-09-03,6
2023-09-10,6
2023-09-17,7
2023-09-24,6
2023-10-01,7
2023-10-08,6
2023-10-15,7
2023-10-22,9
2023-10-29,9
2023-11-05,14
2023-11-12,10
2023-11-19,9
2023-11-26,9
2023-12-03,21
2023-12-10,20
2023-12-17,14
2023-12-24,15
2023-12-31,14
2024-01-07,15
2024-01-14,10
2024-01-21,8
2024-01-28,8
2024-02-04,8
2024-02-11,12
2024-02-18,12
2024-02-25,19
2024-03-03,22
2024-03-10,18
2024-03-17,14
2024-03-24,12
2024-03-31,10
2024-04-07,11
