Category: All categories

Week,chainlink: (Worldwide)
2020-12-27,48
2021-01-03,71
2021-01-10,83
2021-01-17,77
2021-01-24,71
2021-01-31,75
2021-02-07,84
2021-02-14,89
2021-02-21,70
2021-02-28,57
2021-03-07,56
2021-03-14,58
2021-03-21,43
2021-03-28,51
2021-04-04,55
2021-04-11,85
2021-04-18,67
2021-04-25,60
2021-05-02,100
2021-05-09,82
2021-05-16,69
2021-05-23,60
2021-05-30,43
2021-06-06,37
2021-06-13,32
2021-06-20,34
2021-06-27,28
2021-07-04,27
2021-07-11,25
2021-07-18,26
2021-07-25,31
2021-08-01,33
2021-08-08,33
2021-08-15,34
2021-08-22,33
2021-08-29,35
2021-09-05,44
2021-09-12,33
2021-09-19,29
2021-09-26,33
2021-10-03,31
2021-10-10,33
2021-10-17,39
2021-10-24,42
2021-10-31,39
2021-11-07,46
2021-11-14,35
2021-11-21,33
2021-11-28,32
2021-12-05,36
2021-12-12,28
2021-12-19,25
2021-12-26,30
2022-01-02,52
2022-01-09,45
2022-01-16,33
2022-01-23,33
2022-01-30,31
2022-02-06,28
2022-02-13,27
2022-02-20,27
2022-02-27,27
2022-03-06,23
2022-03-13,26
2022-03-20,28
2022-03-27,30
2022-04-03,24
2022-04-10,24
2022-04-17,25
2022-04-24,24
2022-05-01,25
2022-05-08,33
2022-05-15,25
2022-05-22,21
2022-05-29,22
2022-06-05,28
2022-06-12,29
2022-06-19,22
2022-06-26,22
2022-07-03,18
2022-07-10,19
2022-07-17,19
2022-07-24,19
2022-07-31,18
2022-08-07,21
2022-08-14,18
2022-08-21,16
2022-08-28,15
2022-09-04,17
2022-09-11,18
2022-09-18,18
2022-09-25,25
2022-10-02,20
2022-10-09,19
2022-10-16,17
2022-10-23,18
2022-10-30,20
2022-11-06,23
2022-11-13,21
2022-11-20,17
2022-11-27,19
2022-12-04,20
2022-12-11,16
2022-12-18,14
2022-12-25,14
2023-01-01,14
2023-01-08,15
2023-01-15,18
2023-01-22,15
2023-01-29,15
2023-02-05,16
2023-02-12,15
2023-02-19,16
2023-02-26,15
2023-03-05,14
2023-03-12,17
2023-03-19,18
2023-03-26,17
2023-04-02,17
2023-04-09,19
2023-04-16,20
2023-04-23,17
2023-04-30,14
2023-05-07,15
2023-05-14,14
2023-05-21,14
2023-05-28,13
2023-06-04,18
2023-06-11,18
2023-06-18,15
2023-06-25,15
2023-07-02,15
2023-07-09,16
2023-07-16,26
2023-07-23,20
2023-07-30,15
2023-08-06,15
2023-08-13,15
2023-08-20,14
2023-08-27,17
2023-09-03,16
2023-09-10,15
2023-09-17,20
2023-09-24,24
2023-10-01,21
2023-10-08,16
2023-10-15,19
2023-10-22,40
2023-10-29,26
2023-11-05,48
2023-11-12,33
2023-11-19,25
2023-11-26,28
2023-12-03,35
2023-12-10,27
2023-12-17,24
2023-12-24,29
2023-12-31,25
2024-01-07,25
2024-01-14,27
2024-01-21,25
2024-01-28,29
2024-02-04,36
2024-02-11,36
2024-02-18,28
2024-02-25,36
2024-03-03,39
2024-03-10,37
2024-03-17,30
2024-03-24,28
2024-03-31,26
2024-04-07,27
