Category: All categories

Week,dogecoin: (Worldwide)
2020-12-27,3
2021-01-03,6
2021-01-10,3
2021-01-17,2
2021-01-24,57
2021-01-31,41
2021-02-07,53
2021-02-14,23
2021-02-21,13
2021-02-28,9
2021-03-07,9
2021-03-14,8
2021-03-21,5
2021-03-28,6
2021-04-04,6
2021-04-11,75
2021-04-18,73
2021-04-25,35
2021-05-02,100
2021-05-09,100
2021-05-16,46
2021-05-23,27
2021-05-30,25
2021-06-06,16
2021-06-13,12
2021-06-20,18
2021-06-27,11
2021-07-04,10
2021-07-11,9
2021-07-18,9
2021-07-25,8
2021-08-01,6
2021-08-08,10
2021-08-15,11
2021-08-22,8
2021-08-29,6
2021-09-05,6
2021-09-12,5
2021-09-19,5
2021-09-26,4
2021-10-03,7
2021-10-10,6
2021-10-17,7
2021-10-24,12
2021-10-31,8
2021-11-07,7
2021-11-14,6
2021-11-21,5
2021-11-28,5
2021-12-05,5
2021-12-12,8
2021-12-19,5
2021-12-26,5
2022-01-02,6
2022-01-09,8
2022-01-16,6
2022-01-23,7
2022-01-30,5
2022-02-06,5
2022-02-13,4
2022-02-20,4
2022-02-27,3
2022-03-06,3
2022-03-13,3
2022-03-20,3
2022-03-27,4
2022-04-03,4
2022-04-10,4
2022-04-17,3
2022-04-24,5
2022-05-01,3
2022-05-08,5
2022-05-15,3
2022-05-22,3
2022-05-29,3
2022-06-05,2
2022-06-12,4
2022-06-19,4
2022-06-26,3
2022-07-03,2
2022-07-10,2
2022-07-17,2
2022-07-24,2
2022-07-31,2
2022-08-07,2
2022-08-14,2
2022-08-21,2
2022-08-28,2
2022-09-04,2
2022-09-11,2
2022-09-18,2
2022-09-25,1
2022-10-02,1
2022-10-09,1
2022-10-16,1
2022-10-23,5
2022-10-30,8
2022-11-06,4
2022-11-13,3
2022-11-20,3
2022-11-27,3
2022-12-04,2
2022-12-11,2
2022-12-18,2
2022-12-25,2
2023-01-01,2
2023-01-08,2
2023-01-15,2
2023-01-22,2
2023-01-29,2
2023-02-05,2
2023-02-12,2
2023-02-19,2
2023-02-26,1
2023-03-05,1
2023-03-12,2
2023-03-19,2
2023-03-26,1
2023-04-02,8
2023-04-09,3
2023-04-16,2
2023-04-23,2
2023-04-30,1
2023-05-07,1
2023-05-14,1
2023-05-21,1
2023-05-28,1
2023-06-04,1
2023-06-11,1
2023-06-18,1
2023-06-25,1
2023-07-02,1
2023-07-09,1
2023-07-16,1
2023-07-23,2
2023-07-30,1
2023-08-06,1
2023-08-13,1
2023-08-20,1
2023-08-27,1
2023-09-03,1
2023-09-10,1
2023-09-17,1
2023-09-24,1
2023-10-01,1
2023-10-08,1
2023-10-15,1
2023-10-22,1
2023-10-29,1
2023-11-05,2
2023-11-12,2
2023-11-19,1
2023-11-26,1
2023-12-03,3
2023-12-10,2
2023-12-17,1
2023-12-24,1
2023-12-31,2
2024-01-07,2
2024-01-14,1
2024-01-21,1
2024-01-28,1
2024-02-04,1
2024-02-11,1
2024-02-18,1
2024-02-25,4
2024-03-03,7
2024-03-10,5
2024-03-17,3
2024-03-24,5
2024-03-31,3
2024-04-07,3
