Category: All categories

Week,ethereum: (Worldwide)
2020-12-27,22
2021-01-03,58
2021-01-10,46
2021-01-17,40
2021-01-24,37
2021-01-31,46
2021-02-07,52
2021-02-14,49
2021-02-21,51
2021-02-28,34
2021-03-07,37
2021-03-14,32
2021-03-21,28
2021-03-28,34
2021-04-04,36
2021-04-11,46
2021-04-18,47
2021-04-25,48
2021-05-02,90
2021-05-09,100
2021-05-16,88
2021-05-23,71
2021-05-30,47
2021-06-06,39
2021-06-13,34
2021-06-20,39
2021-06-27,31
2021-07-04,28
2021-07-11,26
2021-07-18,29
2021-07-25,32
2021-08-01,44
2021-08-08,46
2021-08-15,36
2021-08-22,34
2021-08-29,39
2021-09-05,40
2021-09-12,29
2021-09-19,32
2021-09-26,27
2021-10-03,31
2021-10-10,33
2021-10-17,41
2021-10-24,39
2021-10-31,43
2021-11-07,46
2021-11-14,42
2021-11-21,36
2021-11-28,40
2021-12-05,37
2021-12-12,37
2021-12-19,32
2021-12-26,32
2022-01-02,39
2022-01-09,37
2022-01-16,36
2022-01-23,44
2022-01-30,37
2022-02-06,33
2022-02-13,30
2022-02-20,33
2022-02-27,29
2022-03-06,25
2022-03-13,24
2022-03-20,26
2022-03-27,28
2022-04-03,23
2022-04-10,22
2022-04-17,19
2022-04-24,19
2022-05-01,20
2022-05-08,33
2022-05-15,24
2022-05-22,21
2022-05-29,21
2022-06-05,20
2022-06-12,45
2022-06-19,31
2022-06-26,24
2022-07-03,20
2022-07-10,20
2022-07-17,29
2022-07-24,24
2022-07-31,22
2022-08-07,25
2022-08-14,24
2022-08-21,21
2022-08-28,21
2022-09-04,22
2022-09-11,43
2022-09-18,25
2022-09-25,18
2022-10-02,14
2022-10-09,14
2022-10-16,12
2022-10-23,16
2022-10-30,16
2022-11-06,22
2022-11-13,18
2022-11-20,15
2022-11-27,13
2022-12-04,11
2022-12-11,12
2022-12-18,12
2022-12-25,11
2023-01-01,12
2023-01-08,14
2023-01-15,17
2023-01-22,14
2023-01-29,14
2023-02-05,12
2023-02-12,13
2023-02-19,13
2023-02-26,11
2023-03-05,10
2023-03-12,15
2023-03-19,15
2023-03-26,13
2023-04-02,13
2023-04-09,18
2023-04-16,15
2023-04-23,12
2023-04-30,12
2023-05-07,11
2023-05-14,9
2023-05-21,9
2023-05-28,9
2023-06-04,10
2023-06-11,10
2023-06-18,10
2023-06-25,11
2023-07-02,10
2023-07-09,10
2023-07-16,10
2023-07-23,9
2023-07-30,8
2023-08-06,8
2023-08-13,9
2023-08-20,8
2023-08-27,8
2023-09-03,7
2023-09-10,7
2023-09-17,7
2023-09-24,7
2023-10-01,8
2023-10-08,7
2023-10-15,7
2023-10-22,11
2023-10-29,9
2023-11-05,13
2023-11-12,12
2023-11-19,11
2023-11-26,11
2023-12-03,18
2023-12-10,14
2023-12-17,12
2023-12-24,14
2023-12-31,14
2024-01-07,19
2024-01-14,14
2024-01-21,12
2024-01-28,10
2024-02-04,11
2024-02-11,15
2024-02-18,16
2024-02-25,25
2024-03-03,30
2024-03-10,28
2024-03-17,22
2024-03-24,17
2024-03-31,15
2024-04-07,14
