Category: All categories

Week,fetch.ai: (Worldwide)
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,5
2021-02-07,5
2021-02-14,11
2021-02-21,9
2021-02-28,8
2021-03-07,11
2021-03-14,13
2021-03-21,13
2021-03-28,14
2021-04-04,9
2021-04-11,13
2021-04-18,9
2021-04-25,13
2021-05-02,11
2021-05-09,0
2021-05-16,13
2021-05-23,5
2021-05-30,7
2021-06-06,7
2021-06-13,0
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,14
2021-08-01,8
2021-08-08,15
2021-08-15,50
2021-08-22,30
2021-08-29,29
2021-09-05,48
2021-09-12,26
2021-09-19,23
2021-09-26,12
2021-10-03,24
2021-10-10,27
2021-10-17,20
2021-10-24,22
2021-10-31,35
2021-11-07,24
2021-11-14,14
2021-11-21,13
2021-11-28,16
2021-12-05,16
2021-12-12,20
2021-12-19,23
2021-12-26,21
2022-01-02,28
2022-01-09,24
2022-01-16,24
2022-01-23,21
2022-01-30,20
2022-02-06,17
2022-02-13,15
2022-02-20,8
2022-02-27,15
2022-03-06,6
2022-03-13,6
2022-03-20,13
2022-03-27,6
2022-04-03,7
2022-04-10,6
2022-04-17,8
2022-04-24,7
2022-05-01,5
2022-05-08,4
2022-05-15,4
2022-05-22,4
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,7
2022-06-26,0
2022-07-03,0
2022-07-10,0
2022-07-17,0
2022-07-24,0
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,4
2022-08-28,0
2022-09-04,5
2022-09-11,5
2022-09-18,7
2022-09-25,0
2022-10-02,5
2022-10-09,0
2022-10-16,0
2022-10-23,0
2022-10-30,0
2022-11-06,0
2022-11-13,0
2022-11-20,0
2022-11-27,0
2022-12-04,10
2022-12-11,8
2022-12-18,9
2022-12-25,4
2023-01-01,8
2023-01-08,31
2023-01-15,20
2023-01-22,17
2023-01-29,17
2023-02-05,49
2023-02-12,26
2023-02-19,19
2023-02-26,15
2023-03-05,12
2023-03-12,13
2023-03-19,9
2023-03-26,13
2023-04-02,9
2023-04-09,12
2023-04-16,15
2023-04-23,14
2023-04-30,9
2023-05-07,7
2023-05-14,11
2023-05-21,10
2023-05-28,8
2023-06-04,8
2023-06-11,5
2023-06-18,6
2023-06-25,7
2023-07-02,5
2023-07-09,5
2023-07-16,7
2023-07-23,0
2023-07-30,4
2023-08-06,0
2023-08-13,0
2023-08-20,5
2023-08-27,8
2023-09-03,5
2023-09-10,6
2023-09-17,4
2023-09-24,5
2023-10-01,5
2023-10-08,4
2023-10-15,0
2023-10-22,13
2023-10-29,14
2023-11-05,9
2023-11-12,9
2023-11-19,18
2023-11-26,10
2023-12-03,14
2023-12-10,16
2023-12-17,13
2023-12-24,19
2023-12-31,18
2024-01-07,11
2024-01-14,7
2024-01-21,13
2024-01-28,8
2024-02-04,12
2024-02-11,16
2024-02-18,49
2024-02-25,54
2024-03-03,100
2024-03-10,57
2024-03-17,44
2024-03-24,69
2024-03-31,40
2024-04-07,29
