Category: All categories

Week,kucoin: (Worldwide)
2020-12-27,6
2021-01-03,11
2021-01-10,8
2021-01-17,7
2021-01-24,9
2021-01-31,14
2021-02-07,24
2021-02-14,24
2021-02-21,21
2021-02-28,15
2021-03-07,24
2021-03-14,31
2021-03-21,25
2021-03-28,28
2021-04-04,41
2021-04-11,46
2021-04-18,39
2021-04-25,34
2021-05-02,54
2021-05-09,76
2021-05-16,40
2021-05-23,27
2021-05-30,22
2021-06-06,17
2021-06-13,16
2021-06-20,13
2021-06-27,14
2021-07-04,19
2021-07-11,16
2021-07-18,13
2021-07-25,17
2021-08-01,19
2021-08-08,23
2021-08-15,28
2021-08-22,32
2021-08-29,32
2021-09-05,38
2021-09-12,32
2021-09-19,27
2021-09-26,27
2021-10-03,37
2021-10-10,36
2021-10-17,42
2021-10-24,76
2021-10-31,100
2021-11-07,91
2021-11-14,71
2021-11-21,70
2021-11-28,73
2021-12-05,48
2021-12-12,42
2021-12-19,40
2021-12-26,44
2022-01-02,64
2022-01-09,59
2022-01-16,48
2022-01-23,45
2022-01-30,43
2022-02-06,46
2022-02-13,37
2022-02-20,36
2022-02-27,36
2022-03-06,35
2022-03-13,31
2022-03-20,33
2022-03-27,44
2022-04-03,42
2022-04-10,36
2022-04-17,36
2022-04-24,34
2022-05-01,33
2022-05-08,67
2022-05-15,39
2022-05-22,55
2022-05-29,46
2022-06-05,30
2022-06-12,30
2022-06-19,28
2022-06-26,31
2022-07-03,31
2022-07-10,23
2022-07-17,26
2022-07-24,26
2022-07-31,23
2022-08-07,23
2022-08-14,24
2022-08-21,22
2022-08-28,22
2022-09-04,25
2022-09-11,28
2022-09-18,23
2022-09-25,22
2022-10-02,19
2022-10-09,19
2022-10-16,18
2022-10-23,20
2022-10-30,22
2022-11-06,29
2022-11-13,24
2022-11-20,21
2022-11-27,26
2022-12-04,19
2022-12-11,15
2022-12-18,15
2022-12-25,15
2023-01-01,14
2023-01-08,19
2023-01-15,19
2023-01-22,19
2023-01-29,21
2023-02-05,21
2023-02-12,23
2023-02-19,22
2023-02-26,19
2023-03-05,21
2023-03-12,20
2023-03-19,22
2023-03-26,19
2023-04-02,18
2023-04-09,22
2023-04-16,32
2023-04-23,23
2023-04-30,22
2023-05-07,18
2023-05-14,16
2023-05-21,14
2023-05-28,16
2023-06-04,16
2023-06-11,16
2023-06-18,17
2023-06-25,18
2023-07-02,17
2023-07-09,21
2023-07-16,17
2023-07-23,17
2023-07-30,15
2023-08-06,14
2023-08-13,13
2023-08-20,12
2023-08-27,13
2023-09-03,11
2023-09-10,10
2023-09-17,11
2023-09-24,11
2023-10-01,11
2023-10-08,13
2023-10-15,11
2023-10-22,15
2023-10-29,16
2023-11-05,18
2023-11-12,18
2023-11-19,19
2023-11-26,17
2023-12-03,25
2023-12-10,24
2023-12-17,25
2023-12-24,24
2023-12-31,25
2024-01-07,24
2024-01-14,19
2024-01-21,17
2024-01-28,20
2024-02-04,18
2024-02-11,20
2024-02-18,26
2024-02-25,35
2024-03-03,41
2024-03-10,41
2024-03-17,32
2024-03-24,58
2024-03-31,30
2024-04-07,24
