Category: All categories

Week,litecoin: (Worldwide)
2020-12-27,52
2021-01-03,100
2021-01-10,70
2021-01-17,52
2021-01-24,46
2021-01-31,53
2021-02-07,82
2021-02-14,95
2021-02-21,73
2021-02-28,49
2021-03-07,56
2021-03-14,48
2021-03-21,35
2021-03-28,44
2021-04-04,53
2021-04-11,81
2021-04-18,70
2021-04-25,54
2021-05-02,86
2021-05-09,92
2021-05-16,69
2021-05-23,58
2021-05-30,35
2021-06-06,30
2021-06-13,24
2021-06-20,27
2021-06-27,22
2021-07-04,20
2021-07-11,18
2021-07-18,20
2021-07-25,20
2021-08-01,20
2021-08-08,29
2021-08-15,26
2021-08-22,24
2021-08-29,25
2021-09-05,28
2021-09-12,34
2021-09-19,20
2021-09-26,17
2021-10-03,23
2021-10-10,23
2021-10-17,27
2021-10-24,25
2021-10-31,26
2021-11-07,48
2021-11-14,33
2021-11-21,26
2021-11-28,24
2021-12-05,26
2021-12-12,20
2021-12-19,21
2021-12-26,21
2022-01-02,23
2022-01-09,20
2022-01-16,22
2022-01-23,22
2022-01-30,21
2022-02-06,20
2022-02-13,18
2022-02-20,19
2022-02-27,18
2022-03-06,16
2022-03-13,16
2022-03-20,17
2022-03-27,18
2022-04-03,15
2022-04-10,15
2022-04-17,14
2022-04-24,14
2022-05-01,15
2022-05-08,18
2022-05-15,15
2022-05-22,14
2022-05-29,12
2022-06-05,12
2022-06-12,18
2022-06-19,13
2022-06-26,12
2022-07-03,11
2022-07-10,10
2022-07-17,12
2022-07-24,11
2022-07-31,10
2022-08-07,11
2022-08-14,11
2022-08-21,10
2022-08-28,9
2022-09-04,9
2022-09-11,9
2022-09-18,10
2022-09-25,9
2022-10-02,8
2022-10-09,8
2022-10-16,8
2022-10-23,8
2022-10-30,11
2022-11-06,12
2022-11-13,11
2022-11-20,14
2022-11-27,11
2022-12-04,10
2022-12-11,9
2022-12-18,9
2022-12-25,9
2023-01-01,10
2023-01-08,12
2023-01-15,12
2023-01-22,10
2023-01-29,13
2023-02-05,11
2023-02-12,10
2023-02-19,9
2023-02-26,8
2023-03-05,9
2023-03-12,10
2023-03-19,11
2023-03-26,10
2023-04-02,9
2023-04-09,10
2023-04-16,10
2023-04-23,9
2023-04-30,8
2023-05-07,9
2023-05-14,10
2023-05-21,10
2023-05-28,10
2023-06-04,10
2023-06-11,10
2023-06-18,11
2023-06-25,13
2023-07-02,16
2023-07-09,13
2023-07-16,12
2023-07-23,12
2023-07-30,18
2023-08-06,9
2023-08-13,10
2023-08-20,9
2023-08-27,9
2023-09-03,8
2023-09-10,8
2023-09-17,8
2023-09-24,7
2023-10-01,8
2023-10-08,7
2023-10-15,7
2023-10-22,9
2023-10-29,8
2023-11-05,10
2023-11-12,9
2023-11-19,8
2023-11-26,8
2023-12-03,12
2023-12-10,9
2023-12-17,9
2023-12-24,10
2023-12-31,10
2024-01-07,11
2024-01-14,9
2024-01-21,8
2024-01-28,8
2024-02-04,8
2024-02-11,10
2024-02-18,9
2024-02-25,14
2024-03-03,17
2024-03-10,18
2024-03-17,12
2024-03-24,15
2024-03-31,14
2024-04-07,12
