Category: All categories

Week,ocean protocol: (Worldwide)
2020-12-27,21
2021-01-03,36
2021-01-10,36
2021-01-17,39
2021-01-24,26
2021-01-31,41
2021-02-07,80
2021-02-14,69
2021-02-21,44
2021-02-28,94
2021-03-07,97
2021-03-14,56
2021-03-21,50
2021-03-28,47
2021-04-04,55
2021-04-11,63
2021-04-18,42
2021-04-25,42
2021-05-02,49
2021-05-09,50
2021-05-16,43
2021-05-23,32
2021-05-30,23
2021-06-06,19
2021-06-13,23
2021-06-20,12
2021-06-27,11
2021-07-04,15
2021-07-11,14
2021-07-18,11
2021-07-25,14
2021-08-01,16
2021-08-08,22
2021-08-15,40
2021-08-22,34
2021-08-29,21
2021-09-05,29
2021-09-12,22
2021-09-19,20
2021-09-26,14
2021-10-03,16
2021-10-10,23
2021-10-17,23
2021-10-24,28
2021-10-31,77
2021-11-07,41
2021-11-14,36
2021-11-21,46
2021-11-28,83
2021-12-05,37
2021-12-12,32
2021-12-19,41
2021-12-26,50
2022-01-02,62
2022-01-09,42
2022-01-16,37
2022-01-23,25
2022-01-30,28
2022-02-06,31
2022-02-13,22
2022-02-20,20
2022-02-27,15
2022-03-06,13
2022-03-13,18
2022-03-20,32
2022-03-27,32
2022-04-03,23
2022-04-10,22
2022-04-17,30
2022-04-24,25
2022-05-01,18
2022-05-08,21
2022-05-15,20
2022-05-22,18
2022-05-29,23
2022-06-05,25
2022-06-12,14
2022-06-19,13
2022-06-26,13
2022-07-03,11
2022-07-10,16
2022-07-17,13
2022-07-24,13
2022-07-31,12
2022-08-07,17
2022-08-14,10
2022-08-21,12
2022-08-28,11
2022-09-04,19
2022-09-11,16
2022-09-18,21
2022-09-25,17
2022-10-02,14
2022-10-09,14
2022-10-16,17
2022-10-23,15
2022-10-30,23
2022-11-06,16
2022-11-13,20
2022-11-20,11
2022-11-27,17
2022-12-04,22
2022-12-11,22
2022-12-18,18
2022-12-25,20
2023-01-01,19
2023-01-08,38
2023-01-15,35
2023-01-22,47
2023-01-29,40
2023-02-05,59
2023-02-12,35
2023-02-19,33
2023-02-26,23
2023-03-05,30
2023-03-12,29
2023-03-19,26
2023-03-26,28
2023-04-02,25
2023-04-09,27
2023-04-16,24
2023-04-23,21
2023-04-30,16
2023-05-07,20
2023-05-14,14
2023-05-21,21
2023-05-28,31
2023-06-04,19
2023-06-11,28
2023-06-18,14
2023-06-25,16
2023-07-02,24
2023-07-09,21
2023-07-16,13
2023-07-23,13
2023-07-30,14
2023-08-06,9
2023-08-13,15
2023-08-20,16
2023-08-27,8
2023-09-03,5
2023-09-10,12
2023-09-17,19
2023-09-24,10
2023-10-01,13
2023-10-08,13
2023-10-15,10
2023-10-22,21
2023-10-29,27
2023-11-05,30
2023-11-12,24
2023-11-19,22
2023-11-26,26
2023-12-03,26
2023-12-10,20
2023-12-17,21
2023-12-24,24
2023-12-31,22
2024-01-07,17
2024-01-14,17
2024-01-21,18
2024-01-28,15
2024-02-04,16
2024-02-11,20
2024-02-18,51
2024-02-25,49
2024-03-03,68
2024-03-10,56
2024-03-17,48
2024-03-24,100
2024-03-31,46
2024-04-07,33
