Category: All categories

Week,pancakeswap: (Worldwide)
2020-12-27,1
2021-01-03,1
2021-01-10,1
2021-01-17,1
2021-01-24,1
2021-01-31,2
2021-02-07,5
2021-02-14,12
2021-02-21,9
2021-02-28,8
2021-03-07,9
2021-03-14,14
2021-03-21,17
2021-03-28,19
2021-04-04,21
2021-04-11,25
2021-04-18,82
2021-04-25,54
2021-05-02,62
2021-05-09,100
2021-05-16,51
2021-05-23,31
2021-05-30,28
2021-06-06,25
2021-06-13,27
2021-06-20,19
2021-06-27,21
2021-07-04,28
2021-07-11,20
2021-07-18,20
2021-07-25,22
2021-08-01,21
2021-08-08,22
2021-08-15,24
2021-08-22,27
2021-08-29,27
2021-09-05,23
2021-09-12,26
2021-09-19,30
2021-09-26,24
2021-10-03,29
2021-10-10,38
2021-10-17,37
2021-10-24,69
2021-10-31,76
2021-11-07,67
2021-11-14,60
2021-11-21,53
2021-11-28,56
2021-12-05,40
2021-12-12,42
2021-12-19,38
2021-12-26,41
2022-01-02,58
2022-01-09,47
2022-01-16,45
2022-01-23,37
2022-01-30,32
2022-02-06,36
2022-02-13,31
2022-02-20,24
2022-02-27,20
2022-03-06,20
2022-03-13,19
2022-03-20,20
2022-03-27,23
2022-04-03,19
2022-04-10,19
2022-04-17,20
2022-04-24,17
2022-05-01,15
2022-05-08,15
2022-05-15,12
2022-05-22,12
2022-05-29,10
2022-06-05,10
2022-06-12,9
2022-06-19,7
2022-06-26,8
2022-07-03,7
2022-07-10,6
2022-07-17,7
2022-07-24,6
2022-07-31,7
2022-08-07,8
2022-08-14,8
2022-08-21,7
2022-08-28,7
2022-09-04,6
2022-09-11,6
2022-09-18,6
2022-09-25,6
2022-10-02,5
2022-10-09,5
2022-10-16,5
2022-10-23,6
2022-10-30,7
2022-11-06,7
2022-11-13,6
2022-11-20,5
2022-11-27,5
2022-12-04,5
2022-12-11,4
2022-12-18,4
2022-12-25,4
2023-01-01,5
2023-01-08,5
2023-01-15,6
2023-01-22,5
2023-01-29,6
2023-02-05,6
2023-02-12,6
2023-02-19,8
2023-02-26,6
2023-03-05,5
2023-03-12,5
2023-03-19,6
2023-03-26,5
2023-04-02,6
2023-04-09,6
2023-04-16,6
2023-04-23,7
2023-04-30,8
2023-05-07,9
2023-05-14,7
2023-05-21,6
2023-05-28,6
2023-06-04,6
2023-06-11,5
2023-06-18,4
2023-06-25,4
2023-07-02,5
2023-07-09,5
2023-07-16,4
2023-07-23,5
2023-07-30,5
2023-08-06,5
2023-08-13,5
2023-08-20,4
2023-08-27,4
2023-09-03,3
2023-09-10,3
2023-09-17,3
2023-09-24,3
2023-10-01,3
2023-10-08,3
2023-10-15,3
2023-10-22,3
2023-10-29,4
2023-11-05,4
2023-11-12,4
2023-11-19,4
2023-11-26,4
2023-12-03,5
2023-12-10,5
2023-12-17,6
2023-12-24,7
2023-12-31,6
2024-01-07,5
2024-01-14,5
2024-01-21,5
2024-01-28,5
2024-02-04,4
2024-02-11,5
2024-02-18,6
2024-02-25,7
2024-03-03,10
2024-03-10,12
2024-03-17,8
2024-03-24,9
2024-03-31,6
2024-04-07,6
