Category: All categories

Week,polkadot: (Worldwide)
2020-12-27,44
2021-01-03,44
2021-01-10,67
2021-01-17,79
2021-01-24,44
2021-01-31,79
2021-02-07,78
2021-02-14,100
2021-02-21,98
2021-02-28,58
2021-03-07,52
2021-03-14,47
2021-03-21,39
2021-03-28,57
2021-04-04,50
2021-04-11,57
2021-04-18,53
2021-04-25,45
2021-05-02,61
2021-05-09,68
2021-05-16,57
2021-05-23,45
2021-05-30,40
2021-06-06,31
2021-06-13,40
2021-06-20,35
2021-06-27,28
2021-07-04,26
2021-07-11,25
2021-07-18,26
2021-07-25,25
2021-08-01,34
2021-08-08,35
2021-08-15,39
2021-08-22,39
2021-08-29,47
2021-09-05,39
2021-09-12,44
2021-09-19,33
2021-09-26,28
2021-10-03,34
2021-10-10,55
2021-10-17,58
2021-10-24,47
2021-10-31,98
2021-11-07,92
2021-11-14,53
2021-11-21,44
2021-11-28,47
2021-12-05,42
2021-12-12,43
2021-12-19,47
2021-12-26,43
2022-01-02,48
2022-01-09,49
2022-01-16,43
2022-01-23,47
2022-01-30,40
2022-02-06,42
2022-02-13,33
2022-02-20,31
2022-02-27,32
2022-03-06,28
2022-03-13,28
2022-03-20,31
2022-03-27,32
2022-04-03,31
2022-04-10,28
2022-04-17,27
2022-04-24,26
2022-05-01,26
2022-05-08,32
2022-05-15,26
2022-05-22,25
2022-05-29,21
2022-06-05,21
2022-06-12,25
2022-06-19,21
2022-06-26,22
2022-07-03,20
2022-07-10,22
2022-07-17,24
2022-07-24,26
2022-07-31,23
2022-08-07,23
2022-08-14,23
2022-08-21,19
2022-08-28,18
2022-09-04,18
2022-09-11,17
2022-09-18,17
2022-09-25,18
2022-10-02,18
2022-10-09,16
2022-10-16,17
2022-10-23,18
2022-10-30,19
2022-11-06,18
2022-11-13,17
2022-11-20,15
2022-11-27,14
2022-12-04,15
2022-12-11,15
2022-12-18,15
2022-12-25,15
2023-01-01,15
2023-01-08,17
2023-01-15,18
2023-01-22,17
2023-01-29,18
2023-02-05,18
2023-02-12,17
2023-02-19,17
2023-02-26,17
2023-03-05,19
2023-03-12,17
2023-03-19,17
2023-03-26,16
2023-04-02,17
2023-04-09,17
2023-04-16,16
2023-04-23,16
2023-04-30,16
2023-05-07,15
2023-05-14,15
2023-05-21,14
2023-05-28,14
2023-06-04,14
2023-06-11,16
2023-06-18,16
2023-06-25,16
2023-07-02,16
2023-07-09,16
2023-07-16,18
2023-07-23,18
2023-07-30,18
2023-08-06,16
2023-08-13,15
2023-08-20,14
2023-08-27,14
2023-09-03,14
2023-09-10,13
2023-09-17,14
2023-09-24,13
2023-10-01,13
2023-10-08,13
2023-10-15,14
2023-10-22,17
2023-10-29,16
2023-11-05,19
2023-11-12,19
2023-11-19,15
2023-11-26,15
2023-12-03,24
2023-12-10,22
2023-12-17,22
2023-12-24,28
2023-12-31,22
2024-01-07,23
2024-01-14,20
2024-01-21,18
2024-01-28,17
2024-02-04,17
2024-02-11,20
2024-02-18,19
2024-02-25,27
2024-03-03,34
2024-03-10,34
2024-03-17,27
2024-03-24,26
2024-03-31,22
2024-04-07,21
