Category: All categories

Week,solana: (Worldwide)
2020-12-27,7
2021-01-03,9
2021-01-10,7
2021-01-17,7
2021-01-24,7
2021-01-31,7
2021-02-07,8
2021-02-14,8
2021-02-21,10
2021-02-28,8
2021-03-07,9
2021-03-14,7
2021-03-21,8
2021-03-28,10
2021-04-04,11
2021-04-11,10
2021-04-18,12
2021-04-25,21
2021-05-02,17
2021-05-09,18
2021-05-16,21
2021-05-23,15
2021-05-30,13
2021-06-06,16
2021-06-13,13
2021-06-20,13
2021-06-27,10
2021-07-04,10
2021-07-11,11
2021-07-18,11
2021-07-25,11
2021-08-01,12
2021-08-08,12
2021-08-15,34
2021-08-22,30
2021-08-29,70
2021-09-05,89
2021-09-12,65
2021-09-19,39
2021-09-26,32
2021-10-03,41
2021-10-10,35
2021-10-17,44
2021-10-24,49
2021-10-31,64
2021-11-07,67
2021-11-14,55
2021-11-21,48
2021-11-28,54
2021-12-05,45
2021-12-12,44
2021-12-19,41
2021-12-26,41
2022-01-02,59
2022-01-09,52
2022-01-16,55
2022-01-23,62
2022-01-30,58
2022-02-06,46
2022-02-13,43
2022-02-20,42
2022-02-27,39
2022-03-06,34
2022-03-13,32
2022-03-20,36
2022-03-27,46
2022-04-03,44
2022-04-10,36
2022-04-17,38
2022-04-24,39
2022-05-01,40
2022-05-08,52
2022-05-15,41
2022-05-22,39
2022-05-29,45
2022-06-05,34
2022-06-12,36
2022-06-19,37
2022-06-26,29
2022-07-03,26
2022-07-10,24
2022-07-17,27
2022-07-24,24
2022-07-31,33
2022-08-07,24
2022-08-14,23
2022-08-21,19
2022-08-28,20
2022-09-04,20
2022-09-11,22
2022-09-18,19
2022-09-25,19
2022-10-02,16
2022-10-09,17
2022-10-16,16
2022-10-23,17
2022-10-30,19
2022-11-06,60
2022-11-13,36
2022-11-20,22
2022-11-27,17
2022-12-04,16
2022-12-11,16
2022-12-18,14
2022-12-25,25
2023-01-01,27
2023-01-08,30
2023-01-15,28
2023-01-22,21
2023-01-29,20
2023-02-05,17
2023-02-12,17
2023-02-19,20
2023-02-26,16
2023-03-05,16
2023-03-12,17
2023-03-19,17
2023-03-26,15
2023-04-02,14
2023-04-09,19
2023-04-16,18
2023-04-23,15
2023-04-30,13
2023-05-07,13
2023-05-14,13
2023-05-21,13
2023-05-28,13
2023-06-04,17
2023-06-11,16
2023-06-18,12
2023-06-25,14
2023-07-02,16
2023-07-09,21
2023-07-16,18
2023-07-23,14
2023-07-30,13
2023-08-06,12
2023-08-13,15
2023-08-20,14
2023-08-27,14
2023-09-03,14
2023-09-10,15
2023-09-17,12
2023-09-24,11
2023-10-01,15
2023-10-08,13
2023-10-15,17
2023-10-22,23
2023-10-29,35
2023-11-05,37
2023-11-12,43
2023-11-19,31
2023-11-26,28
2023-12-03,43
2023-12-10,44
2023-12-17,67
2023-12-24,85
2023-12-31,55
2024-01-07,45
2024-01-14,42
2024-01-21,39
2024-01-28,44
2024-02-04,43
2024-02-11,41
2024-02-18,37
2024-02-25,49
2024-03-03,68
2024-03-10,90
2024-03-17,100
2024-03-24,72
2024-03-31,70
2024-04-07,61
