Category: All categories

Week,tezos: (Worldwide)
2020-12-27,24
2021-01-03,35
2021-01-10,29
2021-01-17,30
2021-01-24,28
2021-01-31,33
2021-02-07,58
2021-02-14,46
2021-02-21,35
2021-02-28,27
2021-03-07,26
2021-03-14,24
2021-03-21,25
2021-03-28,29
2021-04-04,44
2021-04-11,45
2021-04-18,38
2021-04-25,33
2021-05-02,48
2021-05-09,43
2021-05-16,39
2021-05-23,30
2021-05-30,23
2021-06-06,26
2021-06-13,21
2021-06-20,25
2021-06-27,19
2021-07-04,17
2021-07-11,16
2021-07-18,16
2021-07-25,15
2021-08-01,18
2021-08-08,18
2021-08-15,22
2021-08-22,51
2021-08-29,54
2021-09-05,46
2021-09-12,62
2021-09-19,48
2021-09-26,39
2021-10-03,57
2021-10-10,41
2021-10-17,31
2021-10-24,36
2021-10-31,32
2021-11-07,33
2021-11-14,31
2021-11-21,25
2021-11-28,35
2021-12-05,55
2021-12-12,32
2021-12-19,26
2021-12-26,26
2022-01-02,39
2022-01-09,40
2022-01-16,31
2022-01-23,29
2022-01-30,47
2022-02-06,100
2022-02-13,46
2022-02-20,40
2022-02-27,27
2022-03-06,31
2022-03-13,31
2022-03-20,33
2022-03-27,30
2022-04-03,28
2022-04-10,25
2022-04-17,24
2022-04-24,21
2022-05-01,23
2022-05-08,25
2022-05-15,19
2022-05-22,20
2022-05-29,21
2022-06-05,18
2022-06-12,21
2022-06-19,19
2022-06-26,20
2022-07-03,20
2022-07-10,23
2022-07-17,20
2022-07-24,19
2022-07-31,20
2022-08-07,21
2022-08-14,15
2022-08-21,20
2022-08-28,15
2022-09-04,17
2022-09-11,15
2022-09-18,14
2022-09-25,13
2022-10-02,13
2022-10-09,12
2022-10-16,13
2022-10-23,14
2022-10-30,14
2022-11-06,14
2022-11-13,17
2022-11-20,13
2022-11-27,9
2022-12-04,9
2022-12-11,13
2022-12-18,13
2022-12-25,12
2023-01-01,11
2023-01-08,12
2023-01-15,13
2023-01-22,13
2023-01-29,14
2023-02-05,10
2023-02-12,11
2023-02-19,19
2023-02-26,14
2023-03-05,10
2023-03-12,10
2023-03-19,9
2023-03-26,11
2023-04-02,10
2023-04-09,10
2023-04-16,9
2023-04-23,8
2023-04-30,8
2023-05-07,9
2023-05-14,9
2023-05-21,11
2023-05-28,9
2023-06-04,8
2023-06-11,8
2023-06-18,8
2023-06-25,8
2023-07-02,9
2023-07-09,10
2023-07-16,9
2023-07-23,8
2023-07-30,8
2023-08-06,8
2023-08-13,8
2023-08-20,8
2023-08-27,8
2023-09-03,7
2023-09-10,6
2023-09-17,7
2023-09-24,8
2023-10-01,10
2023-10-08,8
2023-10-15,6
2023-10-22,8
2023-10-29,7
2023-11-05,8
2023-11-12,8
2023-11-19,7
2023-11-26,8
2023-12-03,10
2023-12-10,8
2023-12-17,8
2023-12-24,10
2023-12-31,8
2024-01-07,8
2024-01-14,9
2024-01-21,7
2024-01-28,6
2024-02-04,7
2024-02-11,8
2024-02-18,8
2024-02-25,12
2024-03-03,15
2024-03-10,11
2024-03-17,9
2024-03-24,10
2024-03-31,7
2024-04-07,7
