Category: All categories

Week,uniswap: (Worldwide)
2020-12-27,12
2021-01-03,13
2021-01-10,12
2021-01-17,15
2021-01-24,24
2021-01-31,29
2021-02-07,29
2021-02-14,29
2021-02-21,23
2021-02-28,20
2021-03-07,27
2021-03-14,32
2021-03-21,36
2021-03-28,39
2021-04-04,25
2021-04-11,33
2021-04-18,38
2021-04-25,35
2021-05-02,59
2021-05-09,100
2021-05-16,43
2021-05-23,29
2021-05-30,25
2021-06-06,22
2021-06-13,21
2021-06-20,16
2021-06-27,17
2021-07-04,20
2021-07-11,19
2021-07-18,15
2021-07-25,16
2021-08-01,19
2021-08-08,20
2021-08-15,19
2021-08-22,20
2021-08-29,20
2021-09-05,21
2021-09-12,18
2021-09-19,16
2021-09-26,19
2021-10-03,21
2021-10-10,26
2021-10-17,27
2021-10-24,58
2021-10-31,56
2021-11-07,52
2021-11-14,44
2021-11-21,30
2021-11-28,25
2021-12-05,21
2021-12-12,21
2021-12-19,26
2021-12-26,25
2022-01-02,26
2022-01-09,22
2022-01-16,20
2022-01-23,18
2022-01-30,18
2022-02-06,19
2022-02-13,16
2022-02-20,13
2022-02-27,17
2022-03-06,13
2022-03-13,15
2022-03-20,13
2022-03-27,15
2022-04-03,14
2022-04-10,14
2022-04-17,14
2022-04-24,14
2022-05-01,12
2022-05-08,13
2022-05-15,10
2022-05-22,9
2022-05-29,10
2022-06-05,10
2022-06-12,9
2022-06-19,10
2022-06-26,8
2022-07-03,9
2022-07-10,9
2022-07-17,9
2022-07-24,9
2022-07-31,8
2022-08-07,9
2022-08-14,9
2022-08-21,8
2022-08-28,8
2022-09-04,7
2022-09-11,8
2022-09-18,8
2022-09-25,8
2022-10-02,8
2022-10-09,8
2022-10-16,9
2022-10-23,10
2022-10-30,9
2022-11-06,9
2022-11-13,11
2022-11-20,8
2022-11-27,9
2022-12-04,8
2022-12-11,9
2022-12-18,8
2022-12-25,6
2023-01-01,8
2023-01-08,9
2023-01-15,9
2023-01-22,8
2023-01-29,10
2023-02-05,10
2023-02-12,11
2023-02-19,10
2023-02-26,9
2023-03-05,9
2023-03-12,9
2023-03-19,13
2023-03-26,10
2023-04-02,12
2023-04-09,10
2023-04-16,16
2023-04-23,12
2023-04-30,22
2023-05-07,19
2023-05-14,13
2023-05-21,14
2023-05-28,12
2023-06-04,10
2023-06-11,10
2023-06-18,9
2023-06-25,9
2023-07-02,10
2023-07-09,10
2023-07-16,11
2023-07-23,10
2023-07-30,11
2023-08-06,10
2023-08-13,10
2023-08-20,10
2023-08-27,9
2023-09-03,8
2023-09-10,7
2023-09-17,7
2023-09-24,7
2023-10-01,7
2023-10-08,6
2023-10-15,7
2023-10-22,9
2023-10-29,9
2023-11-05,10
2023-11-12,10
2023-11-19,11
2023-11-26,11
2023-12-03,13
2023-12-10,14
2023-12-17,13
2023-12-24,13
2023-12-31,13
2024-01-07,12
2024-01-14,12
2024-01-21,11
2024-01-28,11
2024-02-04,12
2024-02-11,13
2024-02-18,20
2024-02-25,21
2024-03-03,31
2024-03-10,25
2024-03-17,22
2024-03-24,24
2024-03-31,23
2024-04-07,30
